subtype,hemisphere,year,clade
NORO_GII4,global,2001,Grimsby_1995
NORO_GII4,global,2002,Grimsby_1995
NORO_GII4,global,2003,Farmington_Hills_2002
NORO_GII4,global,2004,Sakai_2003
NORO_GII4,global,2005,Hunter_2004
NORO_GII4,global,2006,Den_Haag_2006
NORO_GII4,global,2007,Den_Haag_2006
NORO_GII4,global,2008,Den_Haag_2006
NORO_GII4,global,2009,New_Orleans_2009
NORO_GII4,global,2010,Den_Haag_2006
NORO_GII4,global,2011,New_Orleans_2009
NORO_GII4,global,2012,Sydney_2012
NORO_GII4,global,2013,Sydney_2012
NORO_GII4,global,2014,Sydney_2012
NORO_GII4,global,2015,Sydney_2012
