scenario,dataset,strategy,combo,method,correct,total,accuracy,available_predictions
baseline_current_evescape,baseline,current_total_escape,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,mutation_min_shift,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,mutation_positive_site_max,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,mutation_raw_site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_max_positive,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,mutation_min_shift,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,mutation_positive_site_max,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,mutation_raw_site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,site_max_positive,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,site_positive_sum,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,mutation_min_shift,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,mutation_positive_site_max,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,mutation_raw_site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_max_positive,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_positive_sum,D,fit,8,24,0.3333333333333333,24
baseline_current_evescape,baseline,current_total_escape,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,mutation_min_shift,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,mutation_positive_site_max,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,mutation_raw_site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_max_positive,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_positive_sum,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_positive_site_max,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_raw_site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_max_positive,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_positive_sum,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,mutation_min_shift,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,mutation_positive_site_max,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,mutation_raw_site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_max_positive,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_positive_sum,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,mutation_positive_site_max,E,fit,10,24,0.4166666666666667,24
baseline_current_evescape,baseline,current_total_escape,E,fit,9,24,0.375,24
