configuration,dataset,year,hemisphere,combo,method,T_E,T_G,T_D,truth_clade,pred_clade,correct
Baseline,baseline,2013,south,E+G+D,fit,1.0,1.0,1.0,3C.3a,3C.3a,True
Baseline,baseline,2013,north,E+G+D,fit,1.0,1.0,1.0,3C.3a,3C.3a,True
Baseline,baseline,2014,south,E+G+D,fit,3.0,0.3,0.2,3C.3a,3C.3a,True
Baseline,baseline,2014,north,E+G+D,fit,6.0,6.0,0.5,3C.2,3C.3a,False
Baseline,baseline,2015,south,E+G+D,fit,6.0,6.0,0.5,3C.2,3C.2,True
Baseline,baseline,2015,north,E+G+D,fit,6.0,6.0,0.5,3C.2,3C.2,True
Baseline,baseline,2016,south,E+G+D,fit,5.0,5.0,0.5,3C.2a,3C.2,False
Baseline,baseline,2016,north,E+G+D,fit,6.0,6.0,0.5,3C.2a1,3C.2a,False
Baseline,baseline,2017,south,E+G+D,fit,5.0,6.0,0.5,3C.2a1,3C.3a,False
Baseline,baseline,2017,north,E+G+D,fit,6.0,6.0,0.5,3C.2a2,3C.2a,False
Baseline,baseline,2018,south,E+G+D,fit,6.0,6.0,0.5,3C.2a2,3C.2a2,True
Baseline,baseline,2018,north,E+G+D,fit,6.0,5.0,0.5,3C.2a1b.1,3C.2a2,False
Baseline,baseline,2019,south,E+G+D,fit,6.0,6.0,0.5,3C.3a1,3C.2a2,False
Baseline,baseline,2019,north,E+G+D,fit,6.0,5.0,0.5,3C.3a1,3C.2a1b.2,False
Baseline,baseline,2020,south,E+G+D,fit,5.0,6.0,0.5,3C.3a1,3C.3a1,True
Baseline,baseline,2020,north,E+G+D,fit,2.0,6.0,0.6,3C.2a1b.2a.2,3C.3a1,False
Baseline,baseline,2021,south,E+G+D,fit,1.0,10.0,0.8,3C.2a1b.2a.2c,3C.3a1,False
Baseline,baseline,2021,north,E+G+D,fit,1.0,10.0,0.8,3C.2a1b.2a.2a.1a,3C.2a1b.2a.1a,False
Baseline,baseline,2022,south,E+G+D,fit,1.0,10.0,0.8,3C.2a1b.2a.2a.1,3C.2a1b.2a.2d,False
Baseline,baseline,2022,north,E+G+D,fit,1.0,10.0,0.8,3C.2a1b.2a.2b,3C.2a1b.2a.2a.1a,False
