subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.67031,0.219565,-0.946749,0.8748,-0.946749,0.8748,-1.679951,0.865938
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.801528,0.780435,-2.290252,0.1252,-2.290252,0.1252,-2.944887,0.134062
H3N2,2015,south,3C.2,0.360759,-1.631835,0.121284,-0.157614,0.768819,-0.217622,0.700169,-0.902543,0.75038,-0.946749,0.685118,-0.876038,0.7148,-1.601384,0.701816
H3N2,2015,south,3C.3a,0.635443,-0.217622,0.878716,-1.925381,0.231181,-1.631835,0.299831,-2.569295,0.24962,-2.290252,0.314882,-2.360963,0.2852,-3.023454,0.298184
H3N2,2016,north,3C.2,0.665537,-0.658417,0.748862,-1.631835,0.403146,-1.631835,0.403146,-2.580015,0.339088,-2.580015,0.339088,-2.449762,0.347947,-3.27897,0.33846
H3N2,2016,north,3C.2a,0.239548,-0.729127,0.251138,-0.217622,0.596854,-0.217622,0.596854,-0.890816,0.660912,-0.890816,0.660912,-0.799846,0.652053,-1.586965,0.66154
H3N2,2016,south,3C.2,0.740166,-0.729127,0.740877,-0.157614,0.947301,-0.693147,0.754219,-0.902543,0.942024,-1.426349,0.739366,-1.275372,0.795263,-1.969992,0.797991
H3N2,2016,south,3C.3a,0.241201,-0.658417,0.259123,-1.925381,0.052699,-0.693147,0.245781,-2.569295,0.057976,-1.347782,0.260634,-1.511074,0.204737,-2.22253,0.202009
H3N2,2017,north,3C.2,0.053462,-0.649553,0.057071,-1.533388,0.021209,-1.539049,0.026482,-2.178219,0.022887,-2.183881,0.028766,-2.369527,0.02551,-2.857618,0.031499
H3N2,2017,north,3C.2a,0.256619,-0.752116,0.247239,-2.080115,0.058929,-0.007342,0.58803,-2.838986,0.056737,-0.766213,0.569915,-0.913986,0.524905,-1.604353,0.529456
H3N2,2017,north,3C.2a1,0.337576,-0.726536,0.333665,-0.04418,0.593752,-1.96729,0.108965,-0.774492,0.588233,-2.697602,0.108668,-2.397924,0.156566,-3.354491,0.121015
H3N2,2017,north,3C.2a2,0.113544,-0.7078,0.114351,-1.634215,0.040724,-0.952193,0.101142,-2.343656,0.041197,-1.661633,0.102993,-1.797066,0.096037,-2.416825,0.103957
H3N2,2017,north,3C.2a3,0.147149,-0.708623,0.148072,-0.035301,0.261123,-1.6129,0.067699,-0.745657,0.263911,-2.323257,0.068875,-2.027757,0.09882,-2.947801,0.079222
H3N2,2017,north,3C.3a,0.090631,-0.620502,0.099602,-1.926715,0.024263,-0.664139,0.107683,-2.539496,0.027035,-1.27692,0.120782,-1.549791,0.098162,-1.931238,0.134851
H3N2,2017,south,3C.2,0.2253,-0.711099,0.221931,-2.993207,0.019695,-1.394123,0.110757,-4.415318,0.00888,-2.328329,0.085103,-2.163517,0.101213,-3.214672,0.06282
H3N2,2017,south,3C.2a,0.277008,-0.721857,0.269946,-0.205834,0.393205,-1.364258,0.140305,-0.871812,0.377635,-2.304132,0.107198,-2.021186,0.143477,-2.98375,0.097302
H3N2,2017,south,3C.2a1,0.128347,-0.722074,0.125048,-0.467638,0.140221,-1.181819,0.078019,-1.146618,0.132929,-2.06218,0.063264,-1.862121,0.077939,-2.78781,0.054841
H3N2,2017,south,3C.3a,0.355494,-0.621306,0.383076,-0.327338,0.446879,-0.048889,0.670919,-0.880256,0.480556,-0.615643,0.744435,-0.718602,0.677371,-1.145295,0.785037
H3N2,2018,north,3C.2,0.048538,-0.637231,0.052891,-3.494154,0.002614,-0.107641,0.07268,-4.125376,0.002804,-0.695123,0.082104,-1.058096,0.056293,-1.695328,0.060715
H3N2,2018,north,3C.2a1,0.149708,-0.659513,0.159539,-0.236697,0.209517,-1.77851,0.042163,-0.892546,0.219243,-2.775643,0.03162,-2.387506,0.045947,-3.04702,0.048465
H3N2,2018,north,3C.2a1b.1,0.172515,-0.68738,0.178791,-0.039839,0.293964,-1.355601,0.074161,-0.726581,0.298253,-2.244955,0.061948,-1.857846,0.089922,-2.545227,0.092243
H3N2,2018,north,3C.2a2,0.526901,-0.723398,0.526754,-0.72352,0.453188,-0.107641,0.788972,-1.450334,0.441739,-0.790714,0.810022,-0.804786,0.787243,-1.528184,0.778993
H3N2,2018,north,3C.2a3,0.08538,-0.76321,0.082025,-1.313295,0.040717,-1.866355,0.022024,-2.084573,0.037962,-3.00721,0.014306,-2.628393,0.020595,-3.391603,0.019583
H3N2,2018,south,3C.2,0.067641,-0.647998,0.071208,-1.434753,0.022158,-0.219908,0.085164,-2.08275,0.023218,-0.867906,0.088911,-0.93658,0.079921,-1.584578,0.083484
H3N2,2018,south,3C.2a,0.07036,-0.80339,0.063411,-3.830925,0.002099,-3.257873,0.004246,-4.634315,0.001883,-4.061263,0.003795,-4.030099,0.003769,-4.833489,0.003371
H3N2,2018,south,3C.2a1,0.4293,-0.705495,0.426688,-0.035008,0.570135,-0.134541,0.58868,-0.740503,0.564039,-0.840036,0.580244,-0.763218,0.603257,-1.468713,0.594943
H3N2,2018,south,3C.2a1b.1,0.050986,-0.682745,0.051842,-0.543601,0.040718,-0.479497,0.049517,-1.226346,0.04121,-1.162242,0.049931,-1.166156,0.047885,-1.848901,0.048311
H3N2,2018,south,3C.2a2,0.149558,-0.672032,0.153707,-0.508091,0.123757,-0.028648,0.227991,-1.180123,0.1266,-0.70068,0.232371,-0.713583,0.220856,-1.385615,0.225224
H3N2,2018,south,3C.2a3,0.17981,-0.687995,0.181871,-0.067106,0.231254,-2.029036,0.037082,-0.755102,0.232821,-2.717031,0.037196,-2.670251,0.037527,-3.358246,0.037663
H3N2,2018,south,3C.3a,0.049286,-0.659865,0.051273,-1.925927,0.009879,-2.3572,0.007321,-2.585792,0.01023,-3.017065,0.007553,-3.086341,0.006785,-3.746206,0.007004
H3N2,2019,north,3C.2a1,0.033562,-0.745917,0.032338,-2.059256,0.00853,-0.488692,0.041456,-2.811199,0.007806,-1.197577,0.043376,-1.31822,0.036777,-2.064137,0.035294
