subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-0.217622,0.882341,-1.925381,0.237363,-0.217622,0.882341,-2.569295,0.256131,-0.876038,0.889486,-0.946749,0.8748,-1.609241,0.881523
H3N2,2015,north,3C.3a,0.352688,-1.631835,0.117659,-0.157614,0.762637,-1.631835,0.117659,-0.902543,0.743869,-2.360963,0.110514,-2.290252,0.1252,-3.015598,0.118477
H3N2,2015,south,3C.2,0.360759,-1.631835,0.121284,-0.157614,0.768819,-0.217622,0.700169,-0.902543,0.75038,-0.946749,0.685118,-0.876038,0.7148,-1.601384,0.701816
H3N2,2015,south,3C.3a,0.635443,-0.217622,0.878716,-1.925381,0.231181,-1.631835,0.299831,-2.569295,0.24962,-2.290252,0.314882,-2.360963,0.2852,-3.023454,0.298184
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-2.569295,0.344137,-2.580015,0.339088,-2.449762,0.347947,-3.15326,0.347947
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-0.902543,0.655863,-0.890816,0.660912,-0.799846,0.652053,-1.503344,0.652053
H3N2,2016,south,3C.2,0.740166,-0.658417,0.76709,-0.157614,0.947301,-0.693147,0.754219,-0.801528,0.952122,-1.347782,0.768491,-1.275372,0.795263,-1.868976,0.828611
H3N2,2016,south,3C.3a,0.241201,-0.729127,0.23291,-1.925381,0.052699,-0.693147,0.245781,-2.67031,0.047878,-1.426349,0.231509,-1.511074,0.204737,-2.323545,0.171389
H3N2,2017,north,3C.2,0.053462,-0.629215,0.056916,-1.533388,0.021209,-1.539049,0.026482,-2.1473,0.02286,-2.168264,0.028239,-2.369527,0.02551,-2.998742,0.027205
H3N2,2017,north,3C.2a,0.256619,-0.685686,0.258195,-2.080115,0.058929,-0.007342,0.58803,-2.763944,0.059225,-0.693028,0.592616,-0.913986,0.524905,-1.599672,0.529051
H3N2,2017,north,3C.2a1,0.337576,-0.671886,0.34437,-0.04418,0.593752,-1.96729,0.108965,-0.710823,0.607084,-2.639176,0.111341,-2.397924,0.156566,-3.069811,0.159995
H3N2,2017,north,3C.2a2,0.113544,-0.673965,0.115588,-1.634215,0.040724,-0.952193,0.101142,-2.303444,0.041531,-1.626158,0.103132,-1.797066,0.096037,-2.471031,0.097937
H3N2,2017,north,3C.2a3,0.147149,-0.732638,0.141262,-0.035301,0.261123,-1.6129,0.067699,-0.778046,0.247422,-2.345538,0.065098,-2.027757,0.09882,-2.760395,0.095032
H3N2,2017,north,3C.3a,0.090631,-0.771738,0.083669,-1.926715,0.024263,-0.664139,0.107683,-2.718994,0.021878,-1.435878,0.099574,-1.549791,0.098162,-2.321529,0.09078
H3N2,2017,south,3C.2,0.2253,-0.629871,0.242221,-2.993207,0.019695,-1.394123,0.110757,-4.306263,0.010267,-2.239311,0.099251,-2.163517,0.101213,-2.802193,0.106791
H3N2,2017,south,3C.2a,0.277008,-0.699312,0.277834,-0.205834,0.393205,-1.364258,0.140305,-0.848682,0.400649,-2.269038,0.118455,-2.021186,0.143477,-2.716558,0.14304
H3N2,2017,south,3C.2a1,0.128347,-0.751078,0.122235,-0.467638,0.140221,-1.181819,0.078019,-1.198155,0.130883,-2.078539,0.066402,-1.862121,0.077939,-2.611783,0.073596
H3N2,2017,south,3C.3a,0.355494,-0.696074,0.35771,-0.327338,0.446879,-0.048889,0.670919,-0.963921,0.458201,-0.719503,0.715893,-0.718602,0.677371,-1.412107,0.676572
H3N2,2018,north,3C.2,0.048538,-0.629897,0.053251,-3.494154,0.002614,-0.107641,0.07268,-4.117287,0.002834,-0.693797,0.081708,-1.058096,0.056293,-1.687994,0.060969
H3N2,2018,north,3C.2a1,0.149708,-0.662511,0.158973,-0.236697,0.209517,-1.77851,0.042163,-0.895864,0.219056,-2.782306,0.031217,-2.387506,0.045947,-3.050018,0.048167
H3N2,2018,north,3C.2a1b.1,0.172515,-0.701031,0.176269,-0.039839,0.293964,-1.355601,0.074161,-0.74175,0.294488,-2.259244,0.060694,-1.857846,0.089922,-2.558877,0.090705
H3N2,2018,north,3C.2a2,0.526901,-0.718226,0.529189,-0.72352,0.453188,-0.107641,0.788972,-1.44457,0.44539,-0.782126,0.811989,-0.804786,0.787243,-1.523012,0.780557
H3N2,2018,north,3C.2a3,0.08538,-0.759068,0.082319,-1.313295,0.040717,-1.866355,0.022024,-2.079939,0.038232,-2.995001,0.014393,-2.628393,0.020595,-3.387461,0.019603
H3N2,2018,south,3C.2,0.067641,-0.773847,0.061518,-1.434753,0.022158,-0.219908,0.085164,-2.217937,0.019741,-0.993755,0.076764,-0.93658,0.079921,-1.710426,0.072016
H3N2,2018,south,3C.2a,0.07036,-0.662056,0.07156,-3.830925,0.002099,-3.257873,0.004246,-4.489588,0.002118,-3.919929,0.00428,-4.030099,0.003769,-4.692155,0.003798
H3N2,2018,south,3C.2a1,0.4293,-0.668343,0.433884,-0.035008,0.570135,-0.134541,0.58868,-0.700634,0.571317,-0.802884,0.589663,-0.763218,0.603257,-1.431561,0.604075
H3N2,2018,south,3C.2a1b.1,0.050986,-0.705522,0.049649,-0.543601,0.040718,-0.479497,0.049517,-1.250508,0.039152,-1.185019,0.04779,-1.166156,0.047885,-1.871679,0.0462
H3N2,2018,south,3C.2a2,0.149558,-0.627128,0.157515,-0.508091,0.123757,-0.028648,0.227991,-1.128172,0.129792,-0.655776,0.237981,-0.713583,0.220856,-1.340711,0.23046
H3N2,2018,south,3C.2a3,0.17981,-0.679974,0.179628,-0.067106,0.231254,-2.029036,0.037082,-0.745627,0.228765,-2.709009,0.036714,-2.670251,0.037527,-3.350224,0.037143
H3N2,2018,south,3C.3a,0.049286,-0.742655,0.046245,-1.925927,0.009879,-2.3572,0.007321,-2.674227,0.009114,-3.099855,0.006808,-3.086341,0.006785,-3.828996,0.006308
H3N2,2019,north,3C.2a1,0.033562,-0.65973,0.034861,-2.059256,0.00853,-0.488692,0.041456,-2.710812,0.008683,-1.148422,0.041905,-1.31822,0.036777,-1.97795,0.03719
