subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-1.10794,0.458071,-1.10794,0.458071,-1.10794,0.458071,-2.215881,0.29417,-2.215881,0.29417,-2.215881,0.29417,-3.323821,0.170467
H3N2,2013,north,3C.3a,0.366154,-0.400834,0.541929,-0.400834,0.541929,-0.400834,0.541929,-0.801667,0.70583,-0.801667,0.70583,-0.801667,0.70583,-1.202501,0.829533
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.360963,0.292278,-1.508774,0.645788,-0.946749,0.8748,-1.725237,0.855584
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.876038,0.707722,-1.508774,0.354212,-2.290252,0.1252,-2.903749,0.144416
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.876038,0.7148,-0.801667,0.700169,-0.876038,0.7148,-1.489535,0.747213
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.360963,0.2852,-2.215881,0.299831,-2.360963,0.2852,-3.139451,0.252787
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-0.946749,0.914146,-2.21406,0.460912,-2.449762,0.347947,-3.0216,0.403146
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-2.290252,0.085854,-1.035548,0.539088,-0.799846,0.652053,-1.607386,0.596854
H3N2,2016,south,3C.2,0.740166,-0.217622,0.92659,-0.157614,0.947301,-0.693147,0.754219,-0.799846,0.941097,-1.038986,0.881334,-1.275372,0.795263,-1.943016,0.802832
H3N2,2016,south,3C.3a,0.241201,-1.631835,0.07341,-1.925381,0.052699,-0.693147,0.245781,-2.449762,0.058903,-1.92287,0.118666,-1.511074,0.204737,-2.225859,0.197168
H3N2,2017,north,3C.2,0.053462,-0.851753,0.064796,-1.533388,0.021209,-1.539049,0.026482,-2.037489,0.025576,-2.239611,0.02687,-2.369527,0.02551,-2.791032,0.030372
H3N2,2017,north,3C.2a,0.256619,-2.007305,0.097935,-2.080115,0.058929,-0.007342,0.58803,-2.489345,0.078132,-0.748149,0.573123,-0.913986,0.524905,-1.555423,0.501574
H3N2,2017,north,3C.2a1,0.337576,-1.260568,0.271847,-0.04418,0.593752,-1.96729,0.108965,-0.797183,0.558227,-2.683886,0.108806,-2.397924,0.156566,-2.967138,0.160812
H3N2,2017,north,3C.2a2,0.113544,-1.19673,0.097463,-1.634215,0.040724,-0.952193,0.101142,-2.127042,0.049665,-1.666482,0.101227,-1.797066,0.096037,-2.371084,0.098169
H3N2,2017,north,3C.2a3,0.147149,-0.660927,0.215839,-0.035301,0.261123,-1.6129,0.067699,-0.759061,0.252785,-2.30441,0.069317,-2.027757,0.09882,-2.656461,0.095637
H3N2,2017,north,3C.3a,0.090631,-0.020909,0.252121,-1.926715,0.024263,-0.664139,0.107683,-2.234202,0.035615,-1.2655,0.120658,-1.549791,0.098162,-2.001145,0.113436
H3N2,2017,south,3C.2,0.2253,-1.12305,0.143479,-2.993207,0.019695,-1.394123,0.110757,-1.892444,0.131517,-2.105676,0.104372,-2.163517,0.101213,-2.941346,0.086038
H3N2,2017,south,3C.2a,0.277008,-1.40884,0.132557,-0.205834,0.393205,-1.364258,0.140305,-2.065767,0.135969,-2.086018,0.130874,-2.021186,0.143477,-2.739071,0.1295
