subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-0.217622,0.882341,-1.925381,0.237363,-0.217622,0.882341,-2.569295,0.256131,-0.876038,0.889486,-0.946749,0.8748,-1.609241,0.881523
H3N2,2015,north,3C.3a,0.352688,-1.631835,0.117659,-0.157614,0.762637,-1.631835,0.117659,-0.902543,0.743869,-2.360963,0.110514,-2.290252,0.1252,-3.015598,0.118477
H3N2,2015,south,3C.2,0.360759,-1.631835,0.121284,-0.157614,0.768819,-0.217622,0.700169,-0.902543,0.75038,-0.946749,0.685118,-0.876038,0.7148,-1.601384,0.701816
H3N2,2015,south,3C.3a,0.635443,-0.217622,0.878716,-1.925381,0.231181,-1.631835,0.299831,-2.569295,0.24962,-2.290252,0.314882,-2.360963,0.2852,-3.023454,0.298184
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-2.569295,0.344137,-2.580015,0.339088,-2.449762,0.347947,-3.15326,0.347947
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-0.902543,0.655863,-0.890816,0.660912,-0.799846,0.652053,-1.503344,0.652053
H3N2,2016,south,3C.2,0.740166,-0.658417,0.76709,-0.157614,0.947301,-0.693147,0.754219,-0.801528,0.952122,-1.347782,0.768491,-1.275372,0.795263,-1.868976,0.828611
H3N2,2016,south,3C.3a,0.241201,-0.729127,0.23291,-1.925381,0.052699,-0.693147,0.245781,-2.67031,0.047878,-1.426349,0.231509,-1.511074,0.204737,-2.323545,0.171389
H3N2,2017,north,3C.2,0.053462,-0.673414,0.054211,-1.533388,0.021209,-1.539049,0.026482,-2.201931,0.021772,-2.212464,0.026442,-2.369527,0.02551,-3.042941,0.025539
H3N2,2017,north,3C.2a,0.256619,-0.646371,0.267348,-2.080115,0.058929,-0.007342,0.58803,-2.71515,0.062554,-0.653713,0.603245,-0.913986,0.524905,-1.560357,0.539919
H3N2,2017,north,3C.2a1,0.337576,-0.696262,0.334574,-0.04418,0.593752,-1.96729,0.108965,-0.741222,0.592382,-2.663552,0.106344,-2.397924,0.156566,-3.094186,0.153207
H3N2,2017,north,3C.2a2,0.113544,-0.659019,0.116804,-1.634215,0.040724,-0.952193,0.101142,-2.284891,0.042558,-1.611212,0.102455,-1.797066,0.096037,-2.456085,0.097542
H3N2,2017,north,3C.2a3,0.147149,-0.700236,0.145261,-0.035301,0.261123,-1.6129,0.067699,-0.737317,0.259228,-2.313136,0.065809,-2.027757,0.09882,-2.727993,0.096316
H3N2,2017,north,3C.3a,0.090631,-0.789824,0.081802,-1.926715,0.024263,-0.664139,0.107683,-2.742036,0.021506,-1.453963,0.095706,-1.549791,0.098162,-2.339615,0.087476
H3N2,2017,south,3C.2,0.2253,-0.653127,0.239193,-2.993207,0.019695,-1.394123,0.110757,-4.33869,0.010023,-2.262566,0.10097,-2.163517,0.101213,-2.825448,0.108222
H3N2,2017,south,3C.2a,0.277008,-0.657781,0.292725,-0.205834,0.393205,-1.364258,0.140305,-0.789737,0.428556,-2.227507,0.128573,-2.021186,0.143477,-2.675027,0.154659
H3N2,2017,south,3C.2a1,0.128347,-0.703532,0.129564,-0.467638,0.140221,-1.181819,0.078019,-1.129296,0.141395,-2.030993,0.072509,-1.862121,0.077939,-2.564237,0.080054
H3N2,2017,south,3C.3a,0.355494,-0.761896,0.338518,-0.327338,0.446879,-0.048889,0.670919,-1.0593,0.420027,-0.785324,0.697948,-0.718602,0.677371,-1.477929,0.657064
H3N2,2018,north,3C.2,0.048538,-0.619124,0.053342,-3.494154,0.002614,-0.107641,0.07268,-4.08336,0.002937,-0.683025,0.080684,-1.058096,0.056293,-1.677221,0.060344
H3N2,2018,north,3C.2a1,0.149708,-0.687648,0.153628,-0.236697,0.209517,-1.77851,0.042163,-0.921998,0.21381,-2.807442,0.029739,-2.387506,0.045947,-3.075154,0.045992
H3N2,2018,north,3C.2a1b.1,0.172515,-0.728707,0.169911,-0.039839,0.293964,-1.355601,0.074161,-0.784159,0.282796,-2.28692,0.057672,-1.857846,0.089922,-2.586553,0.08639
H3N2,2018,north,3C.2a2,0.526901,-0.687855,0.540586,-0.72352,0.453188,-0.107641,0.788972,-1.409116,0.462338,-0.751756,0.81768,-0.804786,0.787243,-1.492642,0.787854
H3N2,2018,north,3C.2a3,0.08538,-0.747398,0.082534,-1.313295,0.040717,-1.866355,0.022024,-2.084796,0.038119,-2.98333,0.014225,-2.628393,0.020595,-3.375791,0.019419
H3N2,2018,south,3C.2,0.067641,-0.697625,0.065708,-1.434753,0.022158,-0.219908,0.085164,-2.133499,0.020994,-0.917532,0.082235,-0.93658,0.079921,-1.634204,0.077118
H3N2,2018,south,3C.2a,0.07036,-0.682445,0.069395,-3.830925,0.002099,-3.257873,0.004246,-4.510712,0.002027,-3.940318,0.004163,-4.030099,0.003769,-4.712544,0.003693
H3N2,2018,south,3C.2a1,0.4293,-0.646134,0.439068,-0.035008,0.570135,-0.134541,0.58868,-0.669751,0.575894,-0.780675,0.598474,-0.763218,0.603257,-1.409352,0.612853
H3N2,2018,south,3C.2a1b.1,0.050986,-0.766958,0.046211,-0.543601,0.040718,-0.479497,0.049517,-1.329802,0.035349,-1.246454,0.044612,-1.166156,0.047885,-1.933114,0.04311
H3N2,2018,south,3C.2a2,0.149558,-0.672129,0.149036,-0.508091,0.123757,-0.028648,0.227991,-1.175036,0.121046,-0.700777,0.225836,-0.713583,0.220856,-1.385712,0.218611
H3N2,2018,south,3C.2a3,0.17981,-0.637815,0.185437,-0.067106,0.231254,-2.029036,0.037082,-0.691594,0.235998,-2.66685,0.038014,-2.670251,0.037527,-3.308066,0.038442
H3N2,2018,south,3C.3a,0.049286,-0.756421,0.045144,-1.925927,0.009879,-2.3572,0.007321,-2.698754,0.008692,-3.113621,0.006665,-3.086341,0.006785,-3.842762,0.006173
H3N2,2019,north,3C.2a1,0.033562,-0.660489,0.034923,-2.059256,0.00853,-0.488692,0.041456,-2.716184,0.008713,-1.149181,0.041964,-1.31822,0.036777,-1.978709,0.037258
