subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-1.10794,0.458071,-1.10794,0.458071,-1.10794,0.458071,-2.215881,0.29417,-2.215881,0.29417,-2.215881,0.29417,-3.323821,0.170467
H3N2,2013,north,3C.3a,0.366154,-0.400834,0.541929,-0.400834,0.541929,-0.400834,0.541929,-0.801667,0.70583,-0.801667,0.70583,-0.801667,0.70583,-1.202501,0.829533
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.360963,0.292278,-1.508774,0.645788,-0.946749,0.8748,-1.725237,0.855584
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.876038,0.707722,-1.508774,0.354212,-2.290252,0.1252,-2.903749,0.144416
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.876038,0.7148,-0.801667,0.700169,-0.876038,0.7148,-1.489535,0.747213
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.360963,0.2852,-2.215881,0.299831,-2.360963,0.2852,-3.139451,0.252787
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-0.946749,0.914146,-2.21406,0.460912,-2.449762,0.347947,-3.0216,0.403146
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-2.290252,0.085854,-1.035548,0.539088,-0.799846,0.652053,-1.607386,0.596854
H3N2,2016,south,3C.2,0.740166,-0.217622,0.92659,-0.157614,0.947301,-0.693147,0.754219,-0.799846,0.941097,-1.038986,0.881334,-1.275372,0.795263,-1.535703,0.935648
H3N2,2016,south,3C.3a,0.241201,-1.631835,0.07341,-1.925381,0.052699,-0.693147,0.245781,-2.449762,0.058903,-1.92287,0.118666,-1.511074,0.204737,-3.091338,0.064352
H3N2,2017,north,3C.2,0.053462,-1.053832,0.052463,-1.533388,0.021209,-1.539049,0.026482,-2.045828,0.025363,-2.247949,0.026551,-2.369527,0.02551,-2.803002,0.029877
H3N2,2017,north,3C.2a,0.256619,-1.792871,0.120264,-2.080115,0.058929,-0.007342,0.58803,-2.482765,0.078647,-0.741569,0.57483,-0.913986,0.524905,-1.545855,0.50413
H3N2,2017,north,3C.2a1,0.337576,-1.325915,0.252358,-0.04418,0.593752,-1.96729,0.108965,-0.799489,0.556931,-2.686192,0.108164,-2.397924,0.156566,-2.970466,0.15956
H3N2,2017,north,3C.2a2,0.113544,-1.218268,0.094528,-1.634215,0.040724,-0.952193,0.101142,-2.127827,0.049625,-1.667267,0.100783,-1.797066,0.096037,-2.372214,0.097619
H3N2,2017,north,3C.2a3,0.147149,-0.586855,0.230341,-0.035301,0.261123,-1.6129,0.067699,-0.755082,0.253788,-2.300432,0.069343,-2.027757,0.09882,-2.650786,0.095751
H3N2,2017,north,3C.3a,0.090631,-0.020126,0.250046,-1.926715,0.024263,-0.664139,0.107683,-2.233332,0.035645,-1.26463,0.120328,-1.549791,0.098162,-1.999958,0.113062
H3N2,2017,south,3C.2,0.2253,-1.220353,0.130598,-2.993207,0.019695,-1.394123,0.110757,-1.989746,0.119556,-2.109272,0.103984,-2.163517,0.101213,-2.947419,0.085491
H3N2,2017,south,3C.2a,0.277008,-1.359814,0.139669,-0.205834,0.393205,-1.364258,0.140305,-2.016742,0.143079,-2.084338,0.131077,-2.021186,0.143477,-2.736221,0.129829
