subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.67031,0.219565,-0.946749,0.8748,-0.946749,0.8748,-1.679951,0.865938
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.801528,0.780435,-2.290252,0.1252,-2.290252,0.1252,-2.944887,0.134062
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.801528,0.786284,-0.876038,0.7148,-0.876038,0.7148,-1.530673,0.730543
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.67031,0.213716,-2.360963,0.2852,-2.360963,0.2852,-3.094165,0.269457
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-2.290252,0.420271,-2.290252,0.420271,-2.449762,0.347947,-3.034148,0.397488
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-0.946749,0.579729,-0.946749,0.579729,-0.799846,0.652053,-1.596364,0.602512
H3N2,2016,south,3C.2,0.740166,-1.631835,0.427277,-0.157614,0.947301,-0.693147,0.754219,-0.902543,0.942024,-1.422275,0.740877,-1.275372,0.795263,-2.084437,0.754219
H3N2,2016,south,3C.3a,0.241201,-0.217622,0.572723,-1.925381,0.052699,-0.693147,0.245781,-2.569295,0.057976,-1.351564,0.259123,-1.511074,0.204737,-2.084437,0.245781
H3N2,2017,north,3C.2,0.053462,-0.271968,0.116167,-1.533388,0.021209,-1.539049,0.026482,-2.197883,0.022159,-2.203544,0.027959,-2.369527,0.02551,-2.986406,0.027264
H3N2,2017,north,3C.2a,0.256619,-2.0662,0.092704,-2.080115,0.058929,-0.007342,0.58803,-2.822696,0.056944,-0.749922,0.574208,-0.913986,0.524905,-1.581246,0.533443
H3N2,2017,north,3C.2a1,0.337576,-1.23887,0.278924,-0.04418,0.593752,-1.96729,0.108965,-0.759998,0.589316,-2.683108,0.10929,-2.397924,0.156566,-3.190936,0.140311
H3N2,2017,north,3C.2a2,0.113544,-1.876374,0.049592,-1.634215,0.040724,-0.952193,0.101142,-2.37103,0.03958,-1.689007,0.099335,-1.797066,0.096037,-2.481089,0.095977
H3N2,2017,north,3C.2a3,0.147149,-0.678474,0.212935,-0.035301,0.261123,-1.6129,0.067699,-0.727709,0.265311,-2.305308,0.069509,-2.027757,0.09882,-2.801098,0.090319
H3N2,2017,north,3C.3a,0.090631,-0.034649,0.249678,-1.926715,0.024263,-0.664139,0.107683,-2.539727,0.026689,-1.277151,0.119698,-1.549791,0.098162,-2.095194,0.112687
H3N2,2017,south,3C.2,0.2253,-1.445271,0.10566,-2.993207,0.019695,-1.394123,0.110757,-2.214665,0.096522,-2.117115,0.103227,-2.163517,0.101213,-2.960707,0.084422
H3N2,2017,south,3C.2a,0.277008,-1.403939,0.135392,-0.205834,0.393205,-1.364258,0.140305,-2.060867,0.138405,-2.085851,0.13095,-2.021186,0.143477,-2.738788,0.129589
H3N2,2017,south,3C.2a1,0.128347,-1.09191,0.085704,-0.467638,0.140221,-1.181819,0.078019,-1.772212,0.085587,-1.892189,0.073638,-1.862121,0.077939,-2.575665,0.070681
H3N2,2017,south,3C.3a,0.355494,-0.049465,0.673244,-0.327338,0.446879,-0.048889,0.670919,-0.719178,0.679485,-0.670271,0.692185,-0.718602,0.677371,-1.2799,0.715308
H3N2,2018,north,3C.2,0.048538,-0.203362,0.083291,-3.494154,0.002614,-0.107641,0.07268,-4.15076,0.002698,-0.764247,0.075954,-1.058096,0.056293,-1.645479,0.06301
H3N2,2018,north,3C.2a1,0.149708,-0.307852,0.23141,-0.236697,0.209517,-1.77851,0.042163,-0.904663,0.213758,-2.446476,0.043564,-2.387506,0.045947,-3.075786,0.046494
H3N2,2018,north,3C.2a1b.1,0.172515,-0.231072,0.287944,-0.039839,0.293964,-1.355601,0.074161,-0.699872,0.302305,-2.015633,0.077237,-1.857846,0.089922,-2.561404,0.089614
H3N2,2018,north,3C.2a2,0.526901,-1.042567,0.390646,-0.72352,0.453188,-0.107641,0.788972,-1.431979,0.444015,-0.8161,0.782852,-0.804786,0.787243,-1.512244,0.781485
H3N2,2018,north,3C.2a3,0.08538,-3.287115,0.006708,-1.313295,0.040717,-1.866355,0.022024,-2.090963,0.037225,-2.644023,0.020392,-2.628393,0.020595,-3.388422,0.019397
H3N2,2018,south,3C.2,0.067641,-0.496442,0.080922,-1.434753,0.022158,-0.219908,0.085164,-2.116915,0.022313,-0.90207,0.085929,-0.93658,0.079921,-1.683352,0.077303
H3N2,2018,south,3C.2a,0.07036,-3.727347,0.003327,-3.830925,0.002099,-3.257873,0.004246,-4.620926,0.001898,-4.047874,0.003846,-4.030099,0.003769,-4.219685,0.006365
H3N2,2018,south,3C.2a1,0.4293,-0.524737,0.499259,-0.035008,0.570135,-0.134541,0.58868,-0.718922,0.57312,-0.818455,0.592929,-0.763218,0.603257,-1.498128,0.590461
H3N2,2018,south,3C.2a1b.1,0.050986,-0.121611,0.088734,-0.543601,0.040718,-0.479497,0.049517,-1.186918,0.042627,-1.122813,0.051941,-1.166156,0.047885,-1.846877,0.049479
H3N2,2018,south,3C.2a2,0.149558,-1.464157,0.067981,-0.508091,0.123757,-0.028648,0.227991,-1.231718,0.119561,-0.752274,0.220696,-0.713583,0.220856,-1.464954,0.212641
H3N2,2018,south,3C.2a3,0.17981,-0.710477,0.173665,-0.067106,0.231254,-2.029036,0.037082,-0.761113,0.230131,-2.723042,0.036975,-2.670251,0.037527,-3.039611,0.05294
H3N2,2018,south,3C.3a,0.049286,-0.117707,0.086112,-1.925927,0.009879,-2.3572,0.007321,-2.568423,0.010351,-2.999696,0.007685,-3.086341,0.006785,-3.333998,0.010811
H3N2,2019,north,3C.2a1,0.033562,-2.26119,0.007431,-2.059256,0.00853,-0.488692,0.041456,-2.807626,0.00794,-1.237063,0.040029,-1.31822,0.036777,-2.030965,0.036515
