subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.693147,0.631579,-1.10794,0.458071,-1.10794,0.458071,-1.801087,0.458071,-1.801087,0.458071,-2.215881,0.29417,-2.909028,0.29417
H3N2,2013,north,3C.3a,0.366154,-0.693147,0.368421,-0.400834,0.541929,-0.400834,0.541929,-1.093981,0.541929,-1.093981,0.541929,-0.801667,0.70583,-1.494814,0.70583
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-5.489641,0.008989,-0.946749,0.8748,-0.946749,0.8748,-1.853475,0.823956
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.18634,0.991011,-2.290252,0.1252,-2.290252,0.1252,-2.796284,0.176044
H3N2,2015,south,3C.2,0.360759,-1.631835,0.121284,-0.157614,0.768819,-0.217622,0.700169,-3.721874,0.088356,-0.946749,0.685118,-0.876038,0.7148,-1.617773,0.700169
H3N2,2015,south,3C.3a,0.635443,-0.217622,0.878716,-1.925381,0.231181,-1.631835,0.299831,-1.954107,0.911644,-2.290252,0.314882,-2.360963,0.2852,-3.031987,0.299831
H3N2,2016,north,3C.2,0.665537,-0.658417,0.748862,-1.631835,0.403146,-1.631835,0.403146,-2.580015,0.339088,-2.580015,0.339088,-2.449762,0.347947,-3.108179,0.364157
H3N2,2016,north,3C.2a,0.239548,-0.729127,0.251138,-0.217622,0.596854,-0.217622,0.596854,-0.890816,0.660912,-0.890816,0.660912,-0.799846,0.652053,-1.528974,0.635843
H3N2,2016,south,3C.2,0.740166,-1.631835,0.427277,-0.157614,0.947301,-0.693147,0.754219,-0.890816,0.943238,-1.422275,0.740877,-1.275372,0.795263,-2.093298,0.754219
H3N2,2016,south,3C.3a,0.241201,-0.217622,0.572723,-1.925381,0.052699,-0.693147,0.245781,-2.580015,0.056762,-1.351564,0.259123,-1.511074,0.204737,-2.093298,0.245781
H3N2,2017,north,3C.2,0.053462,-0.758227,0.04977,-1.533388,0.021209,-1.539049,0.026482,-2.291615,0.019411,-2.304753,0.025032,-2.369527,0.02551,-3.080138,0.024505
H3N2,2017,north,3C.2a,0.256619,-0.733548,0.244865,-2.080115,0.058929,-0.007342,0.58803,-2.813663,0.055279,-0.745476,0.571373,-0.913986,0.524905,-1.572213,0.531338
H3N2,2017,north,3C.2a1,0.337576,-0.65401,0.348781,-0.04418,0.593752,-1.96729,0.108965,-0.69819,0.603089,-2.61705,0.115661,-2.397924,0.156566,-3.129129,0.147331
H3N2,2017,north,3C.2a2,0.113544,-0.623955,0.120892,-1.634215,0.040724,-0.952193,0.101142,-2.25817,0.042627,-1.568777,0.110979,-1.797066,0.096037,-2.36823,0.106057
H3N2,2017,north,3C.2a3,0.147149,-0.688578,0.146867,-0.035301,0.261123,-1.6129,0.067699,-0.723878,0.256218,-2.300971,0.069158,-2.027757,0.09882,-2.797267,0.089496
H3N2,2017,north,3C.3a,0.090631,-0.70681,0.088824,-1.926715,0.024263,-0.664139,0.107683,-2.633525,0.023377,-1.372479,0.107797,-1.549791,0.098162,-2.188992,0.101274
H3N2,2017,south,3C.2,0.2253,-0.484165,0.253375,-2.993207,0.019695,-1.394123,0.110757,-1.253559,0.234734,-2.28952,0.090214,-2.163517,0.101213,-2.853701,0.097706
H3N2,2017,south,3C.2a,0.277008,-1.538572,0.108536,-0.205834,0.393205,-1.364258,0.140305,-2.1955,0.112519,-2.299546,0.109812,-2.021186,0.143477,-2.743341,0.134147
H3N2,2017,south,3C.2a1,0.128347,-1.950224,0.033319,-0.467638,0.140221,-1.181819,0.078019,-2.630526,0.033744,-2.071764,0.063895,-1.862121,0.077939,-2.59978,0.07175
H3N2,2017,south,3C.3a,0.355494,-0.070262,0.604771,-0.327338,0.446879,-0.048889,0.670919,-0.739974,0.619003,-0.646439,0.736079,-0.718602,0.677371,-1.345819,0.696397
H3N2,2018,north,3C.2,0.048538,-0.61201,0.054396,-3.494154,0.002614,-0.107641,0.07268,-4.106164,0.002883,-0.675911,0.083109,-1.058096,0.056293,-1.670107,0.062063
H3N2,2018,north,3C.2a1,0.149708,-0.719314,0.150705,-0.236697,0.209517,-1.77851,0.042163,-0.956011,0.207548,-2.839108,0.029468,-2.387506,0.045947,-3.106821,0.045503
H3N2,2018,north,3C.2a1b.1,0.172515,-0.688306,0.179133,-0.039839,0.293964,-1.355601,0.074161,-0.728145,0.300373,-2.24652,0.061416,-1.857846,0.089922,-2.546152,0.091857
H3N2,2018,north,3C.2a2,0.526901,-0.718256,0.530972,-0.72352,0.453188,-0.107641,0.788972,-1.441776,0.449405,-0.782156,0.811245,-0.804786,0.787243,-1.523042,0.780456
H3N2,2018,north,3C.2a3,0.08538,-0.732845,0.084794,-1.313295,0.040717,-1.866355,0.022024,-2.046139,0.039792,-2.968777,0.014762,-2.628393,0.020595,-3.361237,0.020121
H3N2,2018,south,3C.2,0.067641,-0.59188,0.075328,-1.434753,0.022158,-0.219908,0.085164,-2.026633,0.024699,-0.811788,0.094055,-0.93658,0.079921,-1.52846,0.088328
H3N2,2018,south,3C.2a,0.07036,-0.717261,0.069123,-3.830925,0.002099,-3.257873,0.004246,-4.548186,0.002064,-3.975134,0.004137,-4.030099,0.003769,-4.74736,0.003675
H3N2,2018,south,3C.2a1,0.4293,-0.704755,0.427057,-0.035008,0.570135,-0.134541,0.58868,-0.739763,0.567692,-0.839296,0.580748,-0.763218,0.603257,-1.467973,0.595552
H3N2,2018,south,3C.2a1b.1,0.050986,-0.734892,0.049214,-0.543601,0.040718,-0.479497,0.049517,-1.278493,0.03934,-1.214389,0.0474,-1.166156,0.047885,-1.901048,0.04587
H3N2,2018,south,3C.2a2,0.149558,-0.68264,0.152103,-0.508091,0.123757,-0.028648,0.227991,-1.190731,0.125982,-0.711288,0.229948,-0.713583,0.220856,-1.396223,0.22291
H3N2,2018,south,3C.2a3,0.17981,-0.703382,0.179116,-0.067106,0.231254,-2.029036,0.037082,-0.770488,0.23058,-2.732417,0.036633,-2.670251,0.037527,-3.373633,0.037098
H3N2,2018,south,3C.3a,0.049286,-0.724709,0.04806,-1.925927,0.009879,-2.3572,0.007321,-2.650636,0.009643,-3.081909,0.007079,-3.086341,0.006785,-3.81105,0.006566
H3N2,2019,north,3C.2a1,0.033562,-0.701929,0.034359,-2.059256,0.00853,-0.488692,0.041456,-2.761185,0.008495,-1.190621,0.042281,-1.31822,0.036777,-2.020149,0.037406
H3N2,2019,north,3C.2a1b.1,0.369184,-0.701929,0.377954,-0.021926,0.719666,-1.209909,0.221696,-0.723855,0.716725,-1.911838,0.226106,-1.681018,0.281452,-2.382947,0.286266
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.645595,0.009088,-0.224148,0.013361,-0.967334,0.006422,-0.869743,0.014078,-1.612929,0.006929,-1.572629,0.007129,-2.218225,0.007671
H3N2,2019,north,3C.2a1b.2,0.292906,-0.753293,0.284851,-1.802553,0.096228,-0.016083,0.580385,-2.555845,0.091036,-0.769375,0.562295,-0.823226,0.526531,-1.576519,0.508725
H3N2,2019,north,3C.2a2,0.135774,-0.681828,0.141822,-3.439986,0.008675,-2.35342,0.025984,-4.121814,0.008815,-3.035247,0.027039,-3.299309,0.020519,-3.981136,0.021294
H3N2,2019,north,3C.2a3,0.021358,-0.753293,0.02077,-0.156874,0.036378,-1.20843,0.012844,-0.910167,0.034415,-1.961723,0.012444,-1.790356,0.014596,-2.543648,0.014102
H3N2,2019,north,3C.3a1,0.11823,-0.621659,0.131155,-0.698493,0.117162,-0.761107,0.111213,-1.320152,0.126436,-1.382766,0.122906,-1.454965,0.112996,-2.076625,0.124535
H3N2,2019,south,3C.2a1,0.028986,-0.714507,0.029255,-1.394487,0.009053,-1.956275,0.005101,-2.108994,0.008938,-3.069058,0.00336,-2.726123,0.00376,-3.44063,0.003719
H3N2,2019,south,3C.2a1b.1,0.155518,-0.715992,0.156734,-1.001863,0.071928,-0.650992,0.100953,-1.717855,0.070913,-1.356735,0.099914,-1.381082,0.077439,-2.097074,0.076477
H3N2,2019,south,3C.2a1b.2,0.010591,-0.715992,0.010674,-1.079542,0.004532,-1.059242,0.004571,-1.795534,0.004468,-1.88149,0.004026,-1.797664,0.003477,-2.513656,0.003434
H3N2,2019,south,3C.2a2,0.695095,-0.706092,0.707497,-0.008336,0.868246,-0.021295,0.846946,-0.714428,0.864514,-0.714302,0.848973,-0.445576,0.882084,-1.151668,0.879792
H3N2,2019,south,3C.2a3,0.017837,-0.715992,0.017977,-2.606525,0.001658,-1.495539,0.004976,-3.322518,0.001634,-2.460296,0.003801,-2.3715,0.003299,-3.087492,0.003258
H3N2,2019,south,3C.3a1,0.068562,-0.596548,0.077864,-0.66113,0.044584,-0.823516,0.037454,-1.257678,0.049531,-1.454992,0.039926,-1.512333,0.029941,-2.108881,0.03332
H3N2,2020,north,3C.2a1b.1,0.038557,-1.617766,0.014372,-3.93136,0.00115,-2.990509,0.002936,-4.664057,0.001096,-9.2547,8e-06,-3.978048,0.001982,-10.162429,6e-06
H3N2,2020,north,3C.2a1b.1a,0.045477,-0.828747,0.037315,-0.984184,0.025844,-0.963365,0.026292,-1.68444,0.025443,-2.333702,0.009819,-1.691517,0.023004,-3.052991,0.00907
H3N2,2020,north,3C.2a1b.1b,0.152249,-0.500355,0.173486,-0.469477,0.144765,-0.452535,0.146704,-1.1507,0.145257,-0.680588,0.171698,-1.112116,0.137468,-1.348452,0.166979
H3N2,2020,north,3C.2a1b.2,0.052892,-1.617766,0.019716,-1.677709,0.015023,-1.507988,0.017738,-2.410406,0.014318,-5.093363,0.000723,-2.303998,0.014501,-5.862759,0.000635
H3N2,2020,north,3C.2a1b.2a,0.175482,-1.617766,0.065412,-0.203385,0.217723,-1.086752,0.089678,-0.936082,0.207502,-3.764571,0.009059,-1.685537,0.089299,-4.386026,0.009229
H3N2,2020,north,3C.2a1b.2b,0.291152,-0.80468,0.244715,-0.015636,0.435843,-0.183974,0.36698,-0.714686,0.429596,-0.852474,0.276491,-0.638231,0.422252,-1.359483,0.315816
H3N2,2020,north,3C.3a1,0.240237,-0.014518,0.444985,-0.827714,0.15965,-0.040067,0.349672,-1.410369,0.176787,-0.00541,0.532202,-0.750234,0.311494,-0.711296,0.498264
H3N2,2020,south,3C.2a1b.1,0.139527,-1.233245,0.062207,-1.275721,0.135709,-0.851561,0.082307,-1.991336,0.134201,-1.567177,0.075589,-1.609925,0.089178,-2.324115,0.076602
H3N2,2020,south,3C.2a1b.1b,0.037857,-1.233245,0.016879,-2.106323,0.016046,-1.124852,0.016992,-2.821938,0.015868,-1.840468,0.015605,-1.958428,0.017077,-2.652572,0.014965
H3N2,2020,south,3C.2a1b.2,0.1592,-1.233245,0.070978,-0.136181,0.483936,-0.531771,0.129301,-0.851796,0.478559,-1.247387,0.118747,-1.104802,0.168622,-1.864166,0.138446
H3N2,2020,south,3C.2a1b.2b,0.114895,-0.983858,0.065734,-0.349115,0.282274,-0.766878,0.073766,-1.055237,0.2818,-1.473,0.068391,-1.403535,0.090268,-2.132204,0.076424
H3N2,2020,south,3C.3a,0.004298,-1.233245,0.001916,-0.03355,0.014478,-2.73323,0.000386,-0.749166,0.014317,-3.448846,0.000355,-3.226329,0.000546,-4.002547,0.00044
H3N2,2020,south,3C.3a1,0.519921,-0.016915,0.782285,-3.288682,0.067557,-0.030286,0.697249,-3.885223,0.075254,-0.626826,0.721313,-0.963445,0.634309,-1.436954,0.693122
H3N2,2021,north,3C.2a1b.2a.1a,0.297101,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2021,south,3C.2a1b.1a,0.181626,-1.81057,0.054197,-0.619567,0.201579,-0.382289,0.180997,-2.890252,0.043097,-1.117068,0.17273,-0.852592,0.232347,-1.680427,0.200261
H3N2,2021,south,3C.2a1b.1b,0.18057,-0.080239,0.304031,-0.652838,0.193849,-1.045646,0.092693,-0.284755,0.580051,-1.678659,0.097935,-1.610987,0.108203,-2.217899,0.116317
H3N2,2021,south,3C.2a1b.2a,0.025343,-1.81057,0.007562,-0.729866,0.02519,-1.921683,0.005418,-4.119424,0.001759,-2.656461,0.00517,-2.742269,0.004899,-3.487133,0.004588
H3N2,2021,south,3C.2a1b.2a.1,0.012672,-1.81057,0.003781,-0.691518,0.013087,-2.159956,0.002134,-3.453873,0.001711,-2.894735,0.002037,-2.847684,0.002205,-3.627107,0.001994
H3N2,2021,south,3C.2a1b.2b,0.145723,-0.085331,0.244112,-0.745734,0.142562,-0.587279,0.118303,-1.690452,0.114779,-1.221796,0.124806,-1.46587,0.100959,-1.996328,0.117153
H3N2,2021,south,3C.3a1,0.424498,-0.6955,0.386316,-0.725607,0.423732,-0.032036,0.600456,-1.947365,0.258603,-0.725301,0.597321,-0.837341,0.551388,-1.501625,0.559688
H3N2,2022,north,3C.2a1b.1a,0.005616,-0.740562,0.00539,-0.733526,0.005472,-2.371487,0.000681,-1.479489,0.005019,-3.112049,0.000628,-3.205304,0.000539,-3.945866,0.000496
H3N2,2022,north,3C.2a1b.2a.2a,0.019509,-0.740562,0.018722,-0.672571,0.020202,-2.112926,0.003064,-1.418534,0.018531,-2.853488,0.002827,-2.739166,0.002986,-3.479729,0.002749
H3N2,2022,north,3C.2a1b.2a.2a.1,0.076559,-0.740562,0.073468,-0.62938,0.082778,-0.214955,0.08023,-1.375343,0.07593,-0.955517,0.074012,-0.712267,0.088955,-1.45283,0.081876
H3N2,2022,north,3C.2a1b.2a.2a.1a,0.401123,-0.617732,0.435236,-0.639302,0.429425,-0.069268,0.486282,-1.249034,0.451389,-0.687,0.50722,-0.594765,0.52418,-1.212497,0.545522
H3N2,2022,north,3C.2a1b.2a.2a.2,0.104345,-0.666409,0.10784,-0.734626,0.101551,-0.789291,0.061572,-1.398109,0.101159,-1.4557,0.061171,-1.627099,0.048567,-2.293509,0.048143
H3N2,2022,north,3C.2a1b.2a.2a.3,0.317765,-0.69994,0.317578,-0.692304,0.322625,-0.140262,0.358826,-1.393001,0.309639,-0.840201,0.344739,-0.8306,0.32801,-1.53054,0.314425
H3N2,2022,north,3C.2a1b.2a.2c,0.039905,-0.653758,0.041767,-0.757817,0.037946,-1.713465,0.009345,-1.407298,0.038333,-2.367223,0.009402,-2.637315,0.006763,-3.291073,0.00679
H3N2,2022,south,3C.2a1b.2a.1,0.178808,-0.648052,0.367513,-0.722402,0.338062,-1.237129,0.196963,-1.365575,0.356954,-1.885181,0.211442,-2.03102,0.160637,-2.679072,0.173552
H3N2,2022,south,3C.2a1b.2a.1a,0.07947,-0.656585,0.161951,-0.740091,0.147615,-1.061753,0.10432,-1.392698,0.154401,-1.718337,0.111037,-1.919524,0.079815,-2.576109,0.085499
H3N2,2022,south,3C.2a1b.2a.2a.2,0.072848,-0.719347,0.139424,-0.685561,0.142898,-1.642493,0.053502,-1.40786,0.139404,-2.36184,0.053482,-2.310577,0.049484,-3.029924,0.049783
H3N2,2022,south,3C.2a1b.2a.2d,0.178808,-0.752354,0.331112,-0.628283,0.371425,-0.050565,0.645215,-1.38742,0.349241,-0.802918,0.624039,-0.544815,0.710063,-1.297169,0.691165
H3N2,2023,north,3C.2a1b.1a,0.002165,-0.719404,0.002176,-0.734865,0.002077,-2.127015,0.000349,-1.45427,0.002039,-2.84642,0.000343,-2.965695,0.000275,-3.6851,0.00027
H3N2,2023,north,3C.2a1b.2a.1a,0.018406,-0.580668,0.021252,-0.724812,0.01783,-1.767815,0.004245,-1.305481,0.020113,-2.348483,0.004792,-2.570283,0.003466,-3.150952,0.003917
H3N2,2023,north,3C.2a1b.2a.2a.1,0.086209,-0.719404,0.086646,-0.697028,0.085867,-2.0692,0.014708,-1.416432,0.084314,-2.788605,0.014453,-2.775342,0.013224,-3.494747,0.013009
H3N2,2023,north,3C.2a1b.2a.2a.1b,0.161727,-0.719404,0.162546,-0.594438,0.178487,-0.130145,0.191819,-1.313843,0.17526,-0.849549,0.188498,-0.535282,0.23305,-1.254686,0.22925
H3N2,2023,north,3C.2a1b.2a.2a.3,0.035323,-0.685977,0.036709,-0.731957,0.033975,-2.08416,0.005937,-1.417934,0.034494,-2.770137,0.006032,-2.912291,0.004725,-3.598268,0.004806
H3N2,2023,north,3C.2a1b.2a.2a.3a.1,0.091758,-0.714558,0.092671,-0.659608,0.094878,-0.14497,0.10723,-1.374166,0.093615,-0.859528,0.105885,-0.730834,0.108739,-1.445392,0.107485
H3N2,2023,north,3C.2a1b.2a.2a.3b,0.012722,-0.719404,0.012786,-0.72926,0.012269,-0.151292,0.014773,-1.448664,0.012047,-0.870696,0.014517,-0.969694,0.011873,-1.689099,0.011679
H3N2,2023,north,3C.2a1b.2a.2b,0.568277,-0.695089,0.585214,-0.681949,0.574618,-0.149735,0.66094,-1.377038,0.578116,-0.844824,0.665481,-0.806048,0.624648,-1.501137,0.629585
H3N2,2023,south,3C.2a1b.1a,0.00331,-0.732257,0.003164,-0.78236,0.002961,-2.066652,0.000637,-1.519054,0.002767,-6.891849,9e-06,-3.085117,0.000409,-3.817375,0.000387
H3N2,2023,south,3C.2a1b.2a.1a,0.018431,-0.675466,0.018644,-0.739653,0.017206,-0.020959,0.027436,-1.413174,0.017125,-0.343526,0.036316,-0.877126,0.020707,-1.552592,0.02075
H3N2,2023,south,3C.2a1b.2a.2a,0.055829,-0.625134,0.059391,-0.669548,0.055905,-1.879422,0.012957,-1.287431,0.058826,-4.327089,0.002048,-2.496121,0.012425,-3.121255,0.013094
H3N2,2023,south,3C.2a1b.2a.2a.1,0.469983,-0.681919,0.472369,-0.647209,0.481252,-0.022968,0.698216,-1.327889,0.475574,-0.450267,0.832299,-0.571547,0.71674,-1.253466,0.713636
H3N2,2023,south,3C.2a1b.2a.2a.1a,0.160777,-0.599386,0.175495,-0.606786,0.171423,-1.095979,0.081682,-1.196351,0.18556,-1.89445,0.067177,-1.532415,0.0938,-2.131801,0.101429
H3N2,2023,south,3C.2a1b.2a.2a.2,0.023978,-0.732257,0.022916,-0.669698,0.024007,-1.865412,0.005644,-1.406392,0.022431,-6.312919,0.000121,-2.482583,0.005409,-3.21484,0.005121
H3N2,2023,south,3C.2a1b.2a.2a.3,0.113805,-0.732257,0.108768,-0.715058,0.10889,-0.584345,0.096442,-1.451751,0.101743,-2.501284,0.025919,-1.352352,0.079495,-2.084609,0.075265
H3N2,2023,south,3C.2a1b.2a.2a.3a,0.024157,-0.732257,0.023087,-0.718211,0.023041,-0.958077,0.014087,-1.454905,0.021528,-3.507777,0.002011,-1.737152,0.011484,-2.469409,0.010873
H3N2,2023,south,3C.2a1b.2a.2a.3a.1,0.003668,-0.732257,0.003506,-0.709963,0.003528,-0.901918,0.002263,-1.446656,0.003296,-3.335149,0.000363,-1.652197,0.001899,-2.384455,0.001798
H3N2,2023,south,3C.2a1b.2a.2a.3b,0.02532,-0.732257,0.024199,-0.725774,0.023968,-0.842976,0.016567,-1.462468,0.022395,-3.159043,0.002987,-1.648879,0.013148,-2.381136,0.012448
H3N2,2023,south,3C.2a1b.2a.2b,0.086249,-0.661658,0.088461,-0.652847,0.08782,-1.090304,0.044068,-1.31107,0.088755,-2.053075,0.030751,-1.655673,0.044484,-2.317331,0.045198
H3N2,2024,north,3C.2a1b.2a.2a.3a.1,0.971669,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2024,south,3C.2a1b.2a.2a.1b,0.181946,-0.715758,0.183327,-0.74257,0.18118,-0.075782,0.356267,-1.458328,0.17505,-0.79154,0.355012,-0.942675,0.28562,-1.658433,0.28484
H3N2,2024,south,3C.2a1b.2a.2a.3,0.019394,-0.715758,0.019541,-0.672477,0.020714,-0.569325,0.023182,-1.388234,0.020013,-1.285083,0.0231,-1.195265,0.023648,-1.911022,0.023584
H3N2,2024,south,3C.2a1b.2a.2a.3a,0.014104,-0.715758,0.014211,-0.666167,0.01516,-0.885401,0.012291,-1.381925,0.014647,-1.601159,0.012247,-1.491518,0.012789,-2.207276,0.012754
H3N2,2024,south,3C.2a1b.2a.2a.3a.1,0.430536,-0.715758,0.433802,-0.637811,0.476072,-0.454425,0.577296,-1.353569,0.459965,-1.170183,0.575264,-0.975631,0.653947,-1.691389,0.652161
H3N2,2024,south,3C.2a1b.2a.2b,0.311001,-0.607699,0.349119,-0.751709,0.306874,-3.054696,0.030965,-1.359408,0.330325,-3.662395,0.034377,-3.955555,0.023996,-4.563254,0.026661
