subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-0.217622,0.882341,-1.925381,0.237363,-0.217622,0.882341,-2.569295,0.256131,-0.876038,0.889486,-0.946749,0.8748,-1.609241,0.881523
H3N2,2015,north,3C.3a,0.352688,-1.631835,0.117659,-0.157614,0.762637,-1.631835,0.117659,-0.902543,0.743869,-2.360963,0.110514,-2.290252,0.1252,-3.015598,0.118477
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.801528,0.786284,-0.876038,0.7148,-0.876038,0.7148,-1.530673,0.730543
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.67031,0.213716,-2.360963,0.2852,-2.360963,0.2852,-3.094165,0.269457
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-0.946749,0.914146,-2.290252,0.420271,-2.449762,0.347947,-3.023125,0.403146
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-2.290252,0.085854,-0.946749,0.579729,-0.799846,0.652053,-1.608912,0.596854
H3N2,2016,south,3C.2,0.740166,-1.631835,0.427277,-0.157614,0.947301,-0.693147,0.754219,-0.902543,0.942024,-1.422275,0.740877,-1.275372,0.795263,-2.084437,0.754219
H3N2,2016,south,3C.3a,0.241201,-0.217622,0.572723,-1.925381,0.052699,-0.693147,0.245781,-2.569295,0.057976,-1.351564,0.259123,-1.511074,0.204737,-2.084437,0.245781
H3N2,2017,north,3C.2,0.053462,-1.709428,0.014851,-1.533388,0.021209,-1.539049,0.026482,-2.428714,0.014307,-2.270654,0.024615,-2.369527,0.02551,-2.858761,0.025856
H3N2,2017,north,3C.2a,0.256619,-0.076838,0.364766,-2.080115,0.058929,-0.007342,0.58803,-0.809676,0.346689,-0.639299,0.603843,-0.913986,0.524905,-1.368268,0.550954
H3N2,2017,north,3C.2a1,0.337576,-0.134624,0.452899,-0.04418,0.593752,-1.96729,0.108965,-0.767742,0.475593,-2.613179,0.110347,-2.397924,0.156566,-2.841299,0.166138
H3N2,2017,north,3C.2a2,0.113544,-0.378548,0.11936,-1.634215,0.040724,-0.952193,0.101142,-1.10044,0.114693,-1.626124,0.099592,-1.797066,0.096037,-2.302691,0.095758
H3N2,2017,north,3C.2a3,0.147149,-2.090932,0.027911,-0.035301,0.261123,-1.6129,0.067699,-2.719767,0.029435,-2.356222,0.062193,-2.027757,0.09882,-2.761539,0.078432
H3N2,2017,north,3C.3a,0.090631,-1.928952,0.020213,-1.926715,0.024263,-0.664139,0.107683,-2.658111,0.019283,-1.402566,0.09941,-1.549791,0.098162,-2.221958,0.082861
H3N2,2017,south,3C.2,0.2253,-0.928737,0.197259,-2.993207,0.019695,-1.394123,0.110757,-2.121536,0.112897,-2.09798,0.113713,-2.163517,0.101213,-2.959818,0.097148
H3N2,2017,south,3C.2a,0.277008,-0.143806,0.531691,-0.205834,0.393205,-1.364258,0.140305,-0.618141,0.624209,-2.011831,0.15239,-2.021186,0.143477,-2.590496,0.172807
H3N2,2017,south,3C.2a1,0.128347,-0.265624,0.218096,-0.467638,0.140221,-1.181819,0.078019,-0.834315,0.232992,-1.845661,0.083371,-1.862121,0.077939,-2.484863,0.088988
H3N2,2017,south,3C.3a,0.355494,-2.6999,0.052954,-0.327338,0.446879,-0.048889,0.670919,-3.906137,0.029903,-0.809955,0.650525,-0.718602,0.677371,-1.529016,0.641056
H3N2,2018,north,3C.2,0.048538,-0.175303,0.066262,-3.494154,0.002614,-0.107641,0.07268,-0.940113,0.061101,-0.760333,0.074194,-1.058096,0.056293,-1.562826,0.065328
H3N2,2018,north,3C.2a1,0.149708,-0.474861,0.15147,-0.236697,0.209517,-1.77851,0.042163,-1.141951,0.154012,-2.459287,0.041849,-2.387506,0.045947,-3.0888,0.043806
H3N2,2018,north,3C.2a1b.1,0.172515,-0.502802,0.169736,-0.039839,0.293964,-1.355601,0.074161,-1.133941,0.178902,-2.038163,0.073478,-1.857846,0.089922,-2.600907,0.082226
H3N2,2018,north,3C.2a2,0.526901,-0.342843,0.608341,-0.72352,0.453188,-0.107641,0.788972,-1.037188,0.601917,-0.778684,0.790757,-0.804786,0.787243,-1.452623,0.791778
H3N2,2018,north,3C.2a3,0.08538,-3.50069,0.004191,-1.313295,0.040717,-1.866355,0.022024,-4.214038,0.004069,-2.650012,0.019723,-2.628393,0.020595,-3.48193,0.016862
H3N2,2018,south,3C.2,0.067641,-2.973583,0.005688,-1.434753,0.022158,-0.219908,0.085164,-3.690255,0.005364,-0.988747,0.07724,-0.93658,0.079921,-1.872439,0.059343
H3N2,2018,south,3C.2a,0.07036,-0.109935,0.103688,-3.830925,0.002099,-3.257873,0.004246,-0.882161,0.092508,-3.898657,0.004377,-4.030099,0.003769,-4.096691,0.006676
H3N2,2018,south,3C.2a1,0.4293,-0.17668,0.591797,-0.035008,0.570135,-0.134541,0.58868,-0.805357,0.609489,-0.787438,0.59954,-0.763218,0.603257,-1.37539,0.619131
H3N2,2018,south,3C.2a1b.1,0.050986,-0.17668,0.070285,-0.543601,0.040718,-0.479497,0.049517,-0.863339,0.068308,-1.132394,0.050431,-1.166156,0.047885,-1.812165,0.04751
H3N2,2018,south,3C.2a2,0.149558,-0.422385,0.161255,-0.508091,0.123757,-0.028648,0.227991,-1.10732,0.156991,-0.705844,0.226623,-0.713583,0.220856,-1.395595,0.211377
H3N2,2018,south,3C.2a3,0.17981,-1.691623,0.054487,-0.067106,0.231254,-2.029036,0.037082,-2.332838,0.055417,-2.760075,0.034927,-2.670251,0.037527,-3.072417,0.047514
H3N2,2018,south,3C.3a,0.049286,-1.845882,0.0128,-1.925927,0.009879,-2.3572,0.007321,-2.575022,0.011923,-3.093074,0.006862,-3.086341,0.006785,-3.505017,0.00845
H3N2,2019,north,3C.2a1,0.033562,-0.115542,0.057169,-2.059256,0.00853,-0.488692,0.041456,-0.847885,0.05605,-1.130722,0.042814,-1.31822,0.036777,-1.855365,0.041354
