subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-1.10794,0.458071,-1.10794,0.458071,-1.10794,0.458071,-2.215881,0.29417,-2.215881,0.29417,-2.215881,0.29417,-3.323821,0.170467
H3N2,2013,north,3C.3a,0.366154,-0.400834,0.541929,-0.400834,0.541929,-0.400834,0.541929,-0.801667,0.70583,-0.801667,0.70583,-0.801667,0.70583,-1.202501,0.829533
H3N2,2013,south,3C.2,0.7625,-0.400834,0.869915,-0.400834,0.869915,-1.10794,0.619163,-0.801667,0.931331,-1.508774,0.767296,-1.508774,0.767296,-1.909607,0.869915
H3N2,2013,south,3C.3a,0.23125,-1.10794,0.130085,-1.10794,0.130085,-0.400834,0.380837,-2.215881,0.068669,-1.508774,0.232704,-1.508774,0.232704,-2.616714,0.130085
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.925381,0.237363,-1.925381,0.237363,-0.217622,0.882341,-2.390961,0.255597,-0.946749,0.8748,-0.946749,0.8748,-1.675877,0.866848
H3N2,2015,north,3C.3a,0.352688,-0.157614,0.762637,-0.157614,0.762637,-1.631835,0.117659,-0.721403,0.744403,-2.290252,0.1252,-2.290252,0.1252,-2.948669,0.133152
H3N2,2015,south,3C.2,0.360759,-0.157614,0.768819,-0.157614,0.768819,-0.217622,0.700169,-0.721403,0.750905,-0.876038,0.7148,-0.876038,0.7148,-1.534455,0.728994
H3N2,2015,south,3C.3a,0.635443,-1.925381,0.231181,-1.925381,0.231181,-1.631835,0.299831,-2.390961,0.249095,-2.360963,0.2852,-2.360963,0.2852,-3.09009,0.271006
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-1.507077,0.753998,-2.21406,0.460912,-2.449762,0.347947,-3.001699,0.412905
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-1.605287,0.246002,-1.035548,0.539088,-0.799846,0.652053,-1.627892,0.587095
H3N2,2016,south,3C.2,0.740166,-1.925381,0.343774,-0.157614,0.947301,-0.693147,0.754219,-1.605287,0.735563,-1.511074,0.707969,-1.275372,0.795263,-2.137001,0.734032
H3N2,2016,south,3C.3a,0.241201,-0.157614,0.656226,-1.925381,0.052699,-0.693147,0.245781,-1.507077,0.264437,-1.275372,0.292031,-1.511074,0.204737,-2.030935,0.265968
H3N2,2017,north,3C.2,0.053462,-1.258564,0.041663,-1.533388,0.021209,-1.539049,0.026482,-2.053453,0.025199,-2.255574,0.026125,-2.369527,0.02551,-4.926744,0.007643
H3N2,2017,north,3C.2a,0.256619,-1.294181,0.192985,-2.080115,0.058929,-0.007342,0.58803,-2.466327,0.080041,-0.72513,0.579374,-0.913986,0.524905,-2.383271,0.466807
H3N2,2017,north,3C.2a1,0.337576,-1.377111,0.233663,-0.04418,0.593752,-1.96729,0.108965,-0.801262,0.556573,-2.687965,0.107052,-2.397924,0.156566,-5.676853,0.022795
H3N2,2017,north,3C.2a2,0.113544,-1.354244,0.080411,-1.634215,0.040724,-0.952193,0.101142,-2.132639,0.049443,-1.672079,0.099444,-1.797066,0.096037,-3.663291,0.057426
H3N2,2017,north,3C.2a3,0.147149,-0.667123,0.207166,-0.035301,0.261123,-1.6129,0.067699,-0.759379,0.252986,-2.304729,0.068457,-2.027757,0.09882,-3.916941,0.057748
H3N2,2017,north,3C.3a,0.090631,-0.018377,0.244111,-1.926715,0.024263,-0.664139,0.107683,-2.231262,0.035759,-1.26256,0.119549,-1.549791,0.098162,-1.52847,0.387581
H3N2,2017,south,3C.2,0.2253,-1.3785,0.111558,-2.993207,0.019695,-1.394123,0.110757,-2.147894,0.101924,-2.18206,0.088601,-2.163517,0.101213,-2.926988,0.085336
H3N2,2017,south,3C.2a,0.277008,-1.260756,0.154301,-0.205834,0.393205,-1.364258,0.140305,-1.917684,0.157757,-2.137678,0.113879,-2.021186,0.143477,-2.773979,0.122269
