scenario,dataset,strategy,combo,method,correct,total,accuracy,available_predictions
dms_total_escape_replacement,ma22,site_mean,E,fit,3,24,0.125,24
dms_total_escape_replacement,ma22,site_mean,E,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,site_mean,G,fit,6,24,0.25,24
dms_total_escape_replacement,ma22,site_mean,G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_mean,E+G,fit,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,site_mean,E+G,freq,4,24,0.16666666666666666,24
dms_total_escape_replacement,ma22,site_mean,E+D,fit,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,site_mean,E+D,freq,6,24,0.25,24
dms_total_escape_replacement,ma22,site_mean,G+D,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_mean,G+D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,site_mean,E+G+D,fit,6,24,0.25,24
dms_total_escape_replacement,ma22,site_mean,E+G+D,freq,7,24,0.2916666666666667,24
