subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-0.400834,0.869915,-0.400834,0.869915,-1.10794,0.619163,-0.801667,0.931331,-1.508774,0.767296,-1.508774,0.767296,-1.909607,0.869915
H3N2,2013,south,3C.3a,0.23125,-1.10794,0.130085,-1.10794,0.130085,-0.400834,0.380837,-2.215881,0.068669,-1.508774,0.232704,-1.508774,0.232704,-2.616714,0.130085
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-0.658417,0.661791,-1.925381,0.237363,-0.217622,0.882341,-2.569295,0.256131,-0.689528,0.938306,-0.946749,0.8748,-1.493646,0.923168
H3N2,2015,north,3C.3a,0.352688,-0.729127,0.338209,-0.157614,0.762637,-1.631835,0.117659,-0.902543,0.743869,-2.810849,0.061694,-2.290252,0.1252,-3.379264,0.076832
H3N2,2015,south,3C.2,0.360759,-0.729127,0.345965,-0.157614,0.768819,-0.217622,0.700169,-0.902543,0.75038,-1.043082,0.700169,-0.876038,0.7148,-1.611497,0.747213
H3N2,2015,south,3C.3a,0.635443,-0.658417,0.654035,-1.925381,0.231181,-1.631835,0.299831,-2.569295,0.24962,-2.457295,0.299831,-2.360963,0.2852,-3.261413,0.252787
H3N2,2016,north,3C.2,0.665537,-0.658417,0.748862,-1.631835,0.403146,-1.631835,0.403146,-2.569295,0.344137,-2.569295,0.344137,-2.449762,0.347947,-3.273961,0.342619
H3N2,2016,north,3C.2a,0.239548,-0.729127,0.251138,-0.217622,0.596854,-0.217622,0.596854,-0.902543,0.655863,-0.902543,0.655863,-0.799846,0.652053,-1.600475,0.657381
H3N2,2016,south,3C.2,0.740166,-0.729127,0.740877,-0.157614,0.947301,-0.693147,0.754219,-0.895931,0.942709,-1.438077,0.735017,-1.275372,0.795263,-2.136008,0.736327
H3N2,2016,south,3C.3a,0.241201,-0.658417,0.259123,-1.925381,0.052699,-0.693147,0.245781,-2.57531,0.057291,-1.337062,0.264983,-1.511074,0.204737,-2.041727,0.263673
H3N2,2017,north,3C.2,0.053462,-0.792121,0.047768,-1.533388,0.021209,-1.539049,0.026482,-2.35164,0.018268,-7.401526,0.00012,-2.369527,0.02551,-8.184388,0.000123
H3N2,2017,north,3C.2a,0.256619,-0.664188,0.260578,-2.080115,0.058929,-0.007342,0.58803,-2.737198,0.059634,-0.207092,0.767128,-0.913986,0.524905,-1.038415,0.750254
H3N2,2017,north,3C.2a1,0.337576,-0.672276,0.340023,-0.04418,0.593752,-1.96729,0.108965,-0.711308,0.594851,-3.95825,0.023705,-2.397924,0.156566,-4.466079,0.032039
H3N2,2017,north,3C.2a2,0.113544,-0.711188,0.110002,-1.634215,0.040724,-0.952193,0.101142,-2.349964,0.038863,-2.498947,0.034309,-1.797066,0.096037,-3.291028,0.034897
H3N2,2017,north,3C.2a3,0.147149,-0.6659,0.149163,-0.035301,0.261123,-1.6129,0.067699,-0.694508,0.263687,-3.065476,0.025232,-2.027757,0.09882,-3.561266,0.034516
H3N2,2017,north,3C.3a,0.090631,-0.659453,0.092466,-1.926715,0.024263,-0.664139,0.107683,-2.577928,0.024697,-0.801617,0.149506,-1.549791,0.098162,-1.61966,0.148172
H3N2,2017,south,3C.2,0.2253,-0.76187,0.211597,-2.993207,0.019695,-1.394123,0.110757,-4.494876,0.008033,-6.194138,0.001307,-2.163517,0.101213,-7.087955,0.001009
H3N2,2017,south,3C.2a,0.277008,-0.678406,0.282806,-0.205834,0.393205,-1.364258,0.140305,-0.818871,0.389999,-3.128837,0.034449,-2.021186,0.143477,-3.733983,0.035506
H3N2,2017,south,3C.2a1,0.128347,-0.694897,0.12889,-0.467638,0.140221,-1.181819,0.078019,-1.116928,0.134126,-2.898953,0.020087,-1.862121,0.077939,-3.560301,0.019571
H3N2,2017,south,3C.3a,0.355494,-0.641164,0.376706,-0.327338,0.446879,-0.048889,0.670919,-0.886346,0.467842,-0.067492,0.944157,-0.718602,0.677371,-0.703107,0.943914
H3N2,2018,north,3C.2,0.048538,-0.635836,0.051899,-3.494154,0.002614,-0.107641,0.07268,-4.123837,0.002771,-0.693583,0.078517,-1.058096,0.056293,-1.501503,0.068437
H3N2,2018,north,3C.2a1,0.149708,-0.684412,0.152484,-0.236697,0.209517,-1.77851,0.042163,-0.920143,0.210442,-2.80324,0.029371,-2.387506,0.045947,-3.420557,0.030975
H3N2,2018,north,3C.2a1b.1,0.172515,-0.709802,0.171309,-0.039839,0.293964,-1.355601,0.074161,-0.751508,0.287047,-2.269883,0.057694,-1.857846,0.089922,-2.839279,0.063833
H3N2,2018,north,3C.2a2,0.526901,-0.669853,0.544544,-0.72352,0.453188,-0.107641,0.788972,-1.390819,0.4626,-0.731199,0.820874,-0.804786,0.787243,-1.395997,0.825575
H3N2,2018,north,3C.2a3,0.08538,-0.770829,0.079764,-1.313295,0.040717,-1.866355,0.022024,-2.0931,0.03714,-3.015738,0.013544,-2.628393,0.020595,-3.878103,0.011179
H3N2,2018,south,3C.2,0.067641,-0.721051,0.065184,-1.434753,0.022158,-0.219908,0.085164,-2.15895,0.021021,-0.948053,0.081241,-0.93658,0.079921,-2.433798,0.022842
H3N2,2018,south,3C.2a,0.07036,-0.645709,0.073111,-3.830925,0.002099,-3.257873,0.004246,-4.471509,0.002165,-3.892091,0.004449,-4.030099,0.003769,-7.502161,0.00015
H3N2,2018,south,3C.2a1,0.4293,-0.63903,0.44907,-0.035008,0.570135,-0.134541,0.58868,-0.668217,0.592397,-0.760525,0.621965,-0.763218,0.603257,-0.575876,0.929313
H3N2,2018,south,3C.2a1b.1,0.050986,-0.689302,0.050719,-0.543601,0.040718,-0.479497,0.049517,-1.232477,0.040017,-1.16784,0.049154,-1.166156,0.047885,-1.594176,0.039866
H3N2,2018,south,3C.2a2,0.149558,-0.79004,0.134518,-0.508091,0.123757,-0.028648,0.227991,-1.309424,0.10869,-0.844244,0.199277,-0.713583,0.220856,-5.307113,0.002854
H3N2,2018,south,3C.2a3,0.17981,-0.694777,0.177892,-0.067106,0.231254,-2.029036,0.037082,-0.762065,0.225896,-2.72422,0.036559,-2.670251,0.037527,-5.064554,0.004373
H3N2,2018,south,3C.3a,0.049286,-0.679614,0.049506,-1.925927,0.009879,-2.3572,0.007321,-2.604049,0.009814,-3.03346,0.007355,-3.086341,0.006785,-5.753739,0.000602
H3N2,2019,north,3C.2a1,0.033562,-0.692335,0.034458,-2.059256,0.00853,-0.488692,0.041456,-2.751591,0.008843,-1.137968,0.044229,-1.31822,0.036777,-2.010555,0.03643
