subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-1.10794,0.458071,-1.10794,0.458071,-1.10794,0.458071,-2.215881,0.29417,-2.215881,0.29417,-2.215881,0.29417,-3.323821,0.170467
H3N2,2013,north,3C.3a,0.366154,-0.400834,0.541929,-0.400834,0.541929,-0.400834,0.541929,-0.801667,0.70583,-0.801667,0.70583,-0.801667,0.70583,-1.202501,0.829533
H3N2,2013,south,3C.2,0.7625,-0.400834,0.869915,-0.400834,0.869915,-1.10794,0.619163,-0.801667,0.931331,-1.508774,0.767296,-1.508774,0.767296,-1.909607,0.869915
H3N2,2013,south,3C.3a,0.23125,-1.10794,0.130085,-1.10794,0.130085,-0.400834,0.380837,-2.215881,0.068669,-1.508774,0.232704,-1.508774,0.232704,-2.616714,0.130085
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.925381,0.237363,-1.925381,0.237363,-0.217622,0.882341,-2.390961,0.255597,-0.946749,0.8748,-0.946749,0.8748,-1.675877,0.866848
H3N2,2015,north,3C.3a,0.352688,-0.157614,0.762637,-0.157614,0.762637,-1.631835,0.117659,-0.721403,0.744403,-2.290252,0.1252,-2.290252,0.1252,-2.948669,0.133152
H3N2,2015,south,3C.2,0.360759,-1.925381,0.088356,-0.157614,0.768819,-0.217622,0.700169,-1.605287,0.33977,-0.946749,0.685118,-0.876038,0.7148,-1.605166,0.700169
H3N2,2015,south,3C.3a,0.635443,-0.157614,0.911644,-1.925381,0.231181,-1.631835,0.299831,-1.507077,0.66023,-2.290252,0.314882,-2.360963,0.2852,-3.019379,0.299831
H3N2,2016,north,3C.2,0.665537,-0.658417,0.748862,-1.631835,0.403146,-1.631835,0.403146,-2.290252,0.420271,-2.57531,0.341293,-2.449762,0.347947,-3.261413,0.347947
H3N2,2016,north,3C.2a,0.239548,-0.729127,0.251138,-0.217622,0.596854,-0.217622,0.596854,-0.946749,0.579729,-0.895931,0.658707,-0.799846,0.652053,-1.611497,0.652053
H3N2,2016,south,3C.2,0.740166,-0.729127,0.740877,-0.157614,0.947301,-0.693147,0.754219,-0.886741,0.943657,-1.426349,0.739366,-1.275372,0.795263,-2.147031,0.731725
H3N2,2016,south,3C.3a,0.241201,-0.658417,0.259123,-1.925381,0.052699,-0.693147,0.245781,-2.583797,0.056343,-1.347782,0.260634,-1.511074,0.204737,-2.02918,0.268275
H3N2,2017,north,3C.2,0.053462,-0.720133,0.052594,-1.533388,0.021209,-1.539049,0.026482,-2.253521,0.020959,-4.232907,0.005842,-2.369527,0.02551,-5.063385,0.006034
H3N2,2017,north,3C.2a,0.256619,-0.712079,0.254492,-2.080115,0.058929,-0.007342,0.58803,-2.792194,0.058703,-1.268236,0.543719,-0.913986,0.524905,-2.17488,0.520408
H3N2,2017,north,3C.2a1,0.337576,-0.723328,0.331033,-0.04418,0.593752,-1.96729,0.108965,-0.767508,0.584866,-5.350156,0.01207,-2.397924,0.156566,-5.78079,0.018595
H3N2,2017,north,3C.2a2,0.113544,-0.727677,0.11086,-1.634215,0.040724,-0.952193,0.101142,-2.361892,0.039941,-3.127813,0.037467,-1.797066,0.096037,-3.972686,0.038145
H3N2,2017,north,3C.2a3,0.147149,-0.68024,0.15065,-0.035301,0.261123,-1.6129,0.067699,-0.715541,0.26854,-3.26156,0.042477,-2.027757,0.09882,-3.676418,0.066482
H3N2,2017,north,3C.3a,0.090631,-0.601668,0.100372,-1.926715,0.024263,-0.664139,0.107683,-2.528383,0.026991,-0.644157,0.358425,-1.549791,0.098162,-1.529809,0.350336
H3N2,2017,south,3C.2,0.2253,-0.718676,0.220257,-2.993207,0.019695,-1.394123,0.110757,-3.711883,0.018824,-4.343352,0.008191,-2.163517,0.101213,-5.3114,0.00578
H3N2,2017,south,3C.2a,0.277008,-0.71752,0.271121,-0.205834,0.393205,-1.364258,0.140305,-0.923354,0.376256,-4.206058,0.011553,-2.021186,0.143477,-4.783751,0.012046
