subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.67031,0.219565,-0.946749,0.8748,-0.946749,0.8748,-1.679951,0.865938
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.801528,0.780435,-2.290252,0.1252,-2.290252,0.1252,-2.944887,0.134062
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.801528,0.786284,-0.876038,0.7148,-0.876038,0.7148,-1.530673,0.730543
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.67031,0.213716,-2.360963,0.2852,-2.360963,0.2852,-3.094165,0.269457
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-2.290252,0.420271,-2.290252,0.420271,-2.449762,0.347947,-3.034148,0.397488
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-0.946749,0.579729,-0.946749,0.579729,-0.799846,0.652053,-1.596364,0.602512
H3N2,2016,south,3C.2,0.740166,-1.631835,0.427277,-0.157614,0.947301,-0.693147,0.754219,-0.902543,0.942024,-1.422275,0.740877,-1.275372,0.795263,-2.084437,0.754219
H3N2,2016,south,3C.3a,0.241201,-0.217622,0.572723,-1.925381,0.052699,-0.693147,0.245781,-2.569295,0.057976,-1.351564,0.259123,-1.511074,0.204737,-2.084437,0.245781
H3N2,2017,north,3C.2,0.053462,-0.338287,0.112031,-1.533388,0.021209,-1.539049,0.026482,-2.204045,0.022078,-2.209707,0.027873,-2.369527,0.02551,-2.992568,0.027177
H3N2,2017,north,3C.2a,0.256619,-2.323472,0.073862,-2.080115,0.058929,-0.007342,0.58803,-2.830312,0.056651,-0.757539,0.571597,-0.913986,0.524905,-1.588862,0.530973
H3N2,2017,north,3C.2a1,0.337576,-1.337003,0.26057,-0.04418,0.593752,-1.96729,0.108965,-0.763468,0.588725,-2.686579,0.109245,-2.397924,0.156566,-3.194407,0.140241
H3N2,2017,north,3C.2a2,0.113544,-1.362246,0.085458,-1.634215,0.040724,-0.952193,0.101142,-2.354378,0.040344,-1.672356,0.101313,-1.797066,0.096037,-2.464437,0.097879
H3N2,2017,north,3C.2a3,0.147149,-0.723585,0.209755,-0.035301,0.261123,-1.6129,0.067699,-0.729948,0.265371,-2.307547,0.069566,-2.027757,0.09882,-2.803337,0.090386
H3N2,2017,north,3C.3a,0.090631,-0.030667,0.258324,-1.926715,0.024263,-0.664139,0.107683,-2.536889,0.026831,-1.274313,0.120406,-1.549791,0.098162,-2.092356,0.113344
H3N2,2017,south,3C.2,0.2253,-1.401412,0.11008,-2.993207,0.019695,-1.394123,0.110757,-2.170806,0.100593,-2.115629,0.103356,-2.163517,0.101213,-2.958184,0.084605
H3N2,2017,south,3C.2a,0.277008,-1.37829,0.138511,-0.205834,0.393205,-1.364258,0.140305,-2.035218,0.141639,-2.084974,0.131034,-2.021186,0.143477,-2.7373,0.129736
H3N2,2017,south,3C.2a1,0.128347,-1.160658,0.07978,-0.467638,0.140221,-1.181819,0.078019,-1.84096,0.079697,-1.89478,0.07343,-1.862121,0.077939,-2.580034,0.070348
H3N2,2017,south,3C.3a,0.355494,-0.048993,0.671629,-0.327338,0.446879,-0.048889,0.670919,-0.718706,0.678072,-0.670043,0.692179,-0.718602,0.677371,-1.279541,0.715311
H3N2,2018,north,3C.2,0.048538,-0.101442,0.110903,-3.494154,0.002614,-0.107641,0.07268,-4.132936,0.002777,-0.746424,0.078237,-1.058096,0.056293,-1.627655,0.064932
H3N2,2018,north,3C.2a1,0.149708,-0.282525,0.285405,-0.236697,0.209517,-1.77851,0.042163,-0.902251,0.216636,-2.444064,0.044188,-2.387506,0.045947,-3.073374,0.047179
H3N2,2018,north,3C.2a1b.1,0.172515,-0.416736,0.287579,-0.039839,0.293964,-1.355601,0.074161,-0.71663,0.300557,-2.032391,0.076855,-1.857846,0.089922,-2.578162,0.089208
H3N2,2018,north,3C.2a2,0.526901,-1.478748,0.303692,-0.72352,0.453188,-0.107641,0.788972,-1.447635,0.441935,-0.831755,0.779834,-0.804786,0.787243,-1.527899,0.778805
H3N2,2018,north,3C.2a3,0.08538,-2.855404,0.012422,-1.313295,0.040717,-1.866355,0.022024,-2.078787,0.038096,-2.631847,0.020886,-2.628393,0.020595,-3.376246,0.019876
H3N2,2018,south,3C.2,0.067641,-0.35241,0.098032,-1.434753,0.022158,-0.219908,0.085164,-2.106592,0.022693,-0.891747,0.086754,-0.93658,0.079921,-1.673029,0.07809
H3N2,2018,south,3C.2a,0.07036,-4.01842,0.002608,-3.830925,0.002099,-3.257873,0.004246,-4.629071,0.001895,-4.056019,0.003812,-4.030099,0.003769,-4.22783,0.006312
H3N2,2018,south,3C.2a1,0.4293,-0.815046,0.391739,-0.035008,0.570135,-0.134541,0.58868,-0.733936,0.568313,-0.833468,0.583645,-0.763218,0.603257,-1.513141,0.581544
H3N2,2018,south,3C.2a1b.1,0.050986,-0.365107,0.072961,-0.543601,0.040718,-0.479497,0.049517,-1.216472,0.041659,-1.152367,0.05039,-1.166156,0.047885,-1.876431,0.048028
H3N2,2018,south,3C.2a2,0.149558,-0.412417,0.204129,-0.508091,0.123757,-0.028648,0.227991,-1.184569,0.126162,-0.705126,0.231173,-0.713583,0.220856,-1.417805,0.222862
H3N2,2018,south,3C.2a3,0.17981,-0.993122,0.137313,-0.067106,0.231254,-2.029036,0.037082,-0.773602,0.228777,-2.735531,0.036488,-2.670251,0.037527,-3.0521,0.052272
H3N2,2018,south,3C.3a,0.049286,-0.086193,0.093218,-1.925927,0.009879,-2.3572,0.007321,-2.560691,0.0105,-2.991964,0.007739,-3.086341,0.006785,-3.326266,0.010892
H3N2,2019,north,3C.2a1,0.033562,-2.159173,0.008999,-2.059256,0.00853,-0.488692,0.041456,-2.891515,0.008433,-1.234048,0.040111,-1.31822,0.036777,-2.041407,0.036275
