subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-0.400834,0.776625,-1.10794,0.458071,-1.10794,0.458071,-1.508774,0.631579,-1.508774,0.631579,-2.215881,0.29417,-2.616714,0.458071
H3N2,2013,north,3C.3a,0.366154,-1.10794,0.223375,-0.400834,0.541929,-0.400834,0.541929,-1.508774,0.368421,-1.508774,0.368421,-0.801667,0.70583,-1.909607,0.541929
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-1.631835,0.307116,-1.925381,0.237363,-0.217622,0.882341,-2.67031,0.219565,-0.946749,0.8748,-0.946749,0.8748,-1.679951,0.865938
H3N2,2015,north,3C.3a,0.352688,-0.217622,0.692884,-0.157614,0.762637,-1.631835,0.117659,-0.801528,0.780435,-2.290252,0.1252,-2.290252,0.1252,-2.944887,0.134062
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.801528,0.786284,-0.876038,0.7148,-0.876038,0.7148,-1.530673,0.730543
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.67031,0.213716,-2.360963,0.2852,-2.360963,0.2852,-3.094165,0.269457
H3N2,2016,north,3C.2,0.665537,-1.631835,0.403146,-1.631835,0.403146,-1.631835,0.403146,-2.360963,0.386254,-2.360963,0.386254,-2.449762,0.347947,-3.151999,0.342619
H3N2,2016,north,3C.2a,0.239548,-0.217622,0.596854,-0.217622,0.596854,-0.217622,0.596854,-0.876038,0.613746,-0.876038,0.613746,-0.799846,0.652053,-1.478513,0.657381
H3N2,2016,south,3C.2,0.740166,-1.631835,0.427277,-0.157614,0.947301,-0.693147,0.754219,-0.902543,0.942024,-1.422275,0.740877,-1.275372,0.795263,-2.084437,0.754219
H3N2,2016,south,3C.3a,0.241201,-0.217622,0.572723,-1.925381,0.052699,-0.693147,0.245781,-2.569295,0.057976,-1.351564,0.259123,-1.511074,0.204737,-2.084437,0.245781
H3N2,2017,north,3C.2,0.053462,-1.42264,0.033116,-1.533388,0.021209,-1.539049,0.026482,-2.430226,0.026328,-2.273992,0.025475,-2.369527,0.02551,-3.078412,0.023866
H3N2,2017,north,3C.2a,0.256619,-0.946811,0.255816,-2.080115,0.058929,-0.007342,0.58803,-1.849407,0.225895,-0.716901,0.580212,-0.913986,0.524905,-1.513239,0.547989
H3N2,2017,north,3C.2a1,0.337576,-1.107676,0.286516,-0.04418,0.593752,-1.96729,0.108965,-1.737202,0.332445,-2.685995,0.106538,-2.397924,0.156566,-3.297973,0.120991
H3N2,2017,north,3C.2a2,0.113544,-1.128758,0.094359,-1.634215,0.040724,-0.952193,0.101142,-2.049312,0.08184,-1.672046,0.098775,-1.797066,0.096037,-2.460173,0.094058
H3N2,2017,north,3C.2a3,0.147149,-1.317018,0.101302,-0.035301,0.261123,-1.6129,0.067699,-2.002712,0.111121,-2.342589,0.065468,-2.027757,0.09882,-2.962238,0.073781
H3N2,2017,north,3C.3a,0.090631,-0.01723,0.228891,-1.926715,0.024263,-0.664139,0.107683,-0.824333,0.222372,-1.222992,0.123533,-1.549791,0.098162,-1.841973,0.139314
H3N2,2017,south,3C.2,0.2253,-1.297139,0.118469,-2.993207,0.019695,-1.394123,0.110757,-2.066532,0.108258,-2.112016,0.10368,-2.163517,0.101213,-2.95206,0.085059
H3N2,2017,south,3C.2a,0.277008,-1.094697,0.178343,-0.205834,0.393205,-1.364258,0.140305,-1.751625,0.182369,-2.074735,0.132318,-2.021186,0.143477,-2.719989,0.131898
H3N2,2017,south,3C.2a1,0.128347,-1.549225,0.052451,-0.467638,0.140221,-1.181819,0.078019,-2.229527,0.052396,-1.908264,0.072412,-1.862121,0.077939,-2.60289,0.068705
H3N2,2017,south,3C.3a,0.355494,-0.049758,0.650738,-0.327338,0.446879,-0.048889,0.670919,-0.719471,0.656977,-0.670411,0.69159,-0.718602,0.677371,-1.280121,0.714338
H3N2,2018,north,3C.2,0.048538,-0.038646,0.120702,-3.494154,0.002614,-0.107641,0.07268,-0.803457,0.112276,-0.723205,0.079023,-1.058096,0.056293,-1.493353,0.073872
H3N2,2018,north,3C.2a1,0.149708,-0.510151,0.23233,-0.236697,0.209517,-1.77851,0.042163,-1.177241,0.238297,-2.46153,0.042852,-2.387506,0.045947,-3.093236,0.046007
H3N2,2018,north,3C.2a1b.1,0.172515,-1.878166,0.068166,-0.039839,0.293964,-1.355601,0.074161,-2.509305,0.072476,-2.092471,0.071422,-1.857846,0.089922,-2.711237,0.077679
H3N2,2018,north,3C.2a2,0.526901,-0.927479,0.5387,-0.72352,0.453188,-0.107641,0.788972,-1.621823,0.537679,-0.811446,0.785378,-0.804786,0.787243,-1.517759,0.782578
H3N2,2018,north,3C.2a3,0.08538,-1.705312,0.040102,-1.313295,0.040717,-1.866355,0.022024,-2.41866,0.039273,-2.597829,0.021325,-2.628393,0.020595,-3.371517,0.019865
H3N2,2018,south,3C.2,0.067641,-2.604724,0.008016,-1.434753,0.022158,-0.219908,0.085164,-3.321396,0.007571,-1.007408,0.074943,-0.93658,0.079921,-1.850118,0.060451
H3N2,2018,south,3C.2a,0.07036,-0.13974,0.09809,-3.830925,0.002099,-3.257873,0.004246,-0.911966,0.087639,-3.885554,0.004384,-4.030099,0.003769,-4.108159,0.006575
H3N2,2018,south,3C.2a1,0.4293,-0.13974,0.598493,-0.035008,0.570135,-0.134541,0.58868,-0.768418,0.617264,-0.762222,0.607802,-0.763218,0.603257,-1.363834,0.623939
H3N2,2018,south,3C.2a1b.1,0.050986,-2.323461,0.008005,-0.543601,0.040718,-0.479497,0.049517,-3.01012,0.007791,-1.255085,0.044096,-1.166156,0.047885,-2.00815,0.038905
H3N2,2018,south,3C.2a2,0.149558,-0.349105,0.169115,-0.508091,0.123757,-0.028648,0.227991,-1.03404,0.164878,-0.691111,0.22735,-0.713583,0.220856,-1.384553,0.212908
H3N2,2018,south,3C.2a3,0.17981,-1.697273,0.052806,-0.067106,0.231254,-2.029036,0.037082,-2.338488,0.053784,-2.776998,0.033948,-2.670251,0.037527,-3.072789,0.047316
H3N2,2018,south,3C.3a,0.049286,-0.187986,0.065474,-1.925927,0.009879,-2.3572,0.007321,-0.917126,0.061073,-2.995647,0.007478,-3.086341,0.006785,-3.342121,0.009907
H3N2,2019,north,3C.2a1,0.033562,-1.349716,0.026206,-2.059256,0.00853,-0.488692,0.041456,-2.082059,0.025236,-1.208422,0.040794,-1.31822,0.036777,-1.99954,0.037647
