subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2013,north,3C.2,0.627692,-1.10794,0.458071,-1.10794,0.458071,-1.10794,0.458071,-2.215881,0.29417,-2.215881,0.29417,-2.215881,0.29417,-3.323821,0.170467
H3N2,2013,north,3C.3a,0.366154,-0.400834,0.541929,-0.400834,0.541929,-0.400834,0.541929,-0.801667,0.70583,-0.801667,0.70583,-0.801667,0.70583,-1.202501,0.829533
H3N2,2013,south,3C.2,0.7625,-1.10794,0.619163,-0.400834,0.869915,-1.10794,0.619163,-1.508774,0.767296,-2.215881,0.444947,-1.508774,0.767296,-2.616714,0.619163
H3N2,2013,south,3C.3a,0.23125,-0.400834,0.380837,-1.10794,0.130085,-0.400834,0.380837,-1.508774,0.232704,-0.801667,0.555053,-1.508774,0.232704,-1.909607,0.380837
H3N2,2014,north,3C.3a,0.752577,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2014,south,3C.3a,0.554377,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2015,north,3C.2,0.643011,-0.217622,0.882341,-1.925381,0.237363,-0.217622,0.882341,-0.946749,0.8748,-0.801667,0.882341,-0.946749,0.8748,-1.607386,0.882341
H3N2,2015,north,3C.3a,0.352688,-1.631835,0.117659,-0.157614,0.762637,-1.631835,0.117659,-2.290252,0.1252,-2.215881,0.117659,-2.290252,0.1252,-3.0216,0.117659
H3N2,2015,south,3C.2,0.360759,-0.217622,0.700169,-0.157614,0.768819,-0.217622,0.700169,-0.876038,0.7148,-0.801667,0.700169,-0.876038,0.7148,-1.489535,0.747213
H3N2,2015,south,3C.3a,0.635443,-1.631835,0.299831,-1.925381,0.231181,-1.631835,0.299831,-2.360963,0.2852,-2.215881,0.299831,-2.360963,0.2852,-3.139451,0.252787
H3N2,2016,north,3C.2,0.665537,-0.217622,0.919536,-1.631835,0.403146,-1.631835,0.403146,-1.035548,0.900281,-1.035548,0.900281,-2.449762,0.347947,-1.750333,0.895968
H3N2,2016,north,3C.2a,0.239548,-1.631835,0.080464,-0.217622,0.596854,-0.217622,0.596854,-2.21406,0.099719,-2.21406,0.099719,-0.799846,0.652053,-2.881704,0.104032
H3N2,2016,south,3C.2,0.740166,-0.217622,0.92659,-0.157614,0.947301,-0.693147,0.754219,-0.799846,0.941097,-1.068711,0.870673,-1.275372,0.795263,-1.535703,0.935648
H3N2,2016,south,3C.3a,0.241201,-1.631835,0.07341,-1.925381,0.052699,-0.693147,0.245781,-2.449762,0.058903,-1.854385,0.129327,-1.511074,0.204737,-3.091338,0.064352
H3N2,2017,north,3C.2,0.053462,-2.47879,0.009919,-1.533388,0.021209,-1.539049,0.026482,-3.261652,0.009079,-2.0959,0.02851,-2.369527,0.02551,-2.885014,0.026641
H3N2,2017,north,3C.2a,0.256619,-0.644566,0.298048,-2.080115,0.058929,-0.007342,0.58803,-1.47589,0.259901,-0.710143,0.547089,-0.913986,0.524905,-1.482531,0.519846
H3N2,2017,north,3C.2a1,0.337576,-1.032562,0.26599,-0.04418,0.593752,-1.96729,0.108965,-1.540391,0.320538,-2.371484,0.136656,-2.397924,0.156566,-2.958462,0.156304
H3N2,2017,north,3C.2a2,0.113544,-0.590173,0.139246,-1.634215,0.040724,-0.952193,0.101142,-1.382254,0.126284,-1.583877,0.101036,-1.797066,0.096037,-2.331713,0.098391
H3N2,2017,north,3C.2a3,0.147149,-1.268636,0.091564,-0.035301,0.261123,-1.6129,0.067699,-1.764426,0.111678,-2.113609,0.077092,-2.027757,0.09882,-2.698664,0.088345
H3N2,2017,north,3C.3a,0.090631,-0.026835,0.195233,-1.926715,0.024263,-0.664139,0.107683,-0.844878,0.172521,-1.276958,0.109618,-1.549791,0.098162,-1.990486,0.110474
H3N2,2017,south,3C.2,0.2253,-0.099849,0.405508,-2.993207,0.019695,-1.394123,0.110757,-0.869242,0.379764,-2.032513,0.11879,-2.163517,0.101213,-2.820981,0.106819
H3N2,2017,south,3C.2a,0.277008,-0.297987,0.40896,-0.205834,0.393205,-1.364258,0.140305,-0.954915,0.428586,-2.031305,0.14623,-2.021186,0.143477,-2.64783,0.156164
