mode,subtype,combo,method,correct,total,accuracy,available_predictions
baseline_ha1,H1N1,E,fit,10,24,0.4166666666666667,24
baseline_ha1,H3N2,E,fit,9,24,0.375,24
baseline_ha1,Victoria,E,fit,17,24,0.7083333333333334,23
baseline_ha1,All,E,fit,36,72,0.5,71
baseline_ha1,H1N1,E,freq,12,24,0.5,24
baseline_ha1,H3N2,E,freq,7,24,0.2916666666666667,24
baseline_ha1,Victoria,E,freq,20,24,0.8333333333333334,23
baseline_ha1,All,E,freq,39,72,0.5416666666666666,71
baseline_ha1,H1N1,G,fit,13,24,0.5416666666666666,24
baseline_ha1,H3N2,G,fit,6,24,0.25,24
baseline_ha1,Victoria,G,fit,17,24,0.7083333333333334,23
baseline_ha1,All,G,fit,36,72,0.5,71
baseline_ha1,H1N1,G,freq,15,24,0.625,24
baseline_ha1,H3N2,G,freq,5,24,0.20833333333333334,24
baseline_ha1,Victoria,G,freq,17,24,0.7083333333333334,23
baseline_ha1,All,G,freq,37,72,0.5138888888888888,71
baseline_ha1,H1N1,D,fit,13,24,0.5416666666666666,24
baseline_ha1,H3N2,D,fit,8,24,0.3333333333333333,24
baseline_ha1,Victoria,D,fit,15,24,0.625,23
baseline_ha1,All,D,fit,36,72,0.5,71
baseline_ha1,H1N1,D,freq,14,24,0.5833333333333334,24
baseline_ha1,H3N2,D,freq,7,24,0.2916666666666667,24
baseline_ha1,Victoria,D,freq,16,24,0.6666666666666666,23
baseline_ha1,All,D,freq,37,72,0.5138888888888888,71
baseline_ha1,H1N1,E+G,fit,13,24,0.5416666666666666,24
baseline_ha1,H3N2,E+G,fit,8,24,0.3333333333333333,24
baseline_ha1,Victoria,E+G,fit,20,24,0.8333333333333334,23
baseline_ha1,All,E+G,fit,41,72,0.5694444444444444,71
baseline_ha1,H1N1,E+G,freq,14,24,0.5833333333333334,24
baseline_ha1,H3N2,E+G,freq,7,24,0.2916666666666667,24
baseline_ha1,Victoria,E+G,freq,20,24,0.8333333333333334,23
baseline_ha1,All,E+G,freq,41,72,0.5694444444444444,71
baseline_ha1,H1N1,E+D,fit,13,24,0.5416666666666666,24
baseline_ha1,H3N2,E+D,fit,10,24,0.4166666666666667,24
baseline_ha1,Victoria,E+D,fit,17,24,0.7083333333333334,23
baseline_ha1,All,E+D,fit,40,72,0.5555555555555556,71
baseline_ha1,H1N1,E+D,freq,15,24,0.625,24
baseline_ha1,H3N2,E+D,freq,8,24,0.3333333333333333,24
baseline_ha1,Victoria,E+D,freq,18,24,0.75,23
baseline_ha1,All,E+D,freq,41,72,0.5694444444444444,71
baseline_ha1,H1N1,G+D,fit,16,24,0.6666666666666666,24
baseline_ha1,H3N2,G+D,fit,7,24,0.2916666666666667,24
baseline_ha1,Victoria,G+D,fit,18,24,0.75,23
baseline_ha1,All,G+D,fit,41,72,0.5694444444444444,71
baseline_ha1,H1N1,G+D,freq,15,24,0.625,24
baseline_ha1,H3N2,G+D,freq,7,24,0.2916666666666667,24
baseline_ha1,Victoria,G+D,freq,16,24,0.6666666666666666,23
baseline_ha1,All,G+D,freq,38,72,0.5277777777777778,71
baseline_ha1,H1N1,E+G+D,fit,16,24,0.6666666666666666,24
baseline_ha1,H3N2,E+G+D,fit,10,24,0.4166666666666667,24
baseline_ha1,Victoria,E+G+D,fit,20,24,0.8333333333333334,23
baseline_ha1,All,E+G+D,fit,46,72,0.6388888888888888,71
baseline_ha1,H1N1,E+G+D,freq,16,24,0.6666666666666666,24
baseline_ha1,H3N2,E+G+D,freq,7,24,0.2916666666666667,24
baseline_ha1,Victoria,E+G+D,freq,20,24,0.8333333333333334,23
baseline_ha1,All,E+G+D,freq,43,72,0.5972222222222222,71
ha_full,H1N1,E,fit,11,24,0.4583333333333333,24
ha_full,H3N2,E,fit,7,24,0.2916666666666667,24
ha_full,Victoria,E,fit,16,24,0.6666666666666666,24
ha_full,All,E,fit,34,72,0.4722222222222222,72
ha_full,H1N1,E,freq,13,24,0.5416666666666666,24
ha_full,H3N2,E,freq,6,24,0.25,24
ha_full,Victoria,E,freq,19,24,0.7916666666666666,24
ha_full,All,E,freq,38,72,0.5277777777777778,72
ha_full,H1N1,G,fit,14,24,0.5833333333333334,24
ha_full,H3N2,G,fit,4,24,0.16666666666666666,24
ha_full,Victoria,G,fit,19,24,0.7916666666666666,24
ha_full,All,G,fit,37,72,0.5138888888888888,72
ha_full,H1N1,G,freq,15,24,0.625,24
ha_full,H3N2,G,freq,4,24,0.16666666666666666,24
ha_full,Victoria,G,freq,18,24,0.75,24
ha_full,All,G,freq,37,72,0.5138888888888888,72
ha_full,H1N1,D,fit,12,24,0.5,24
ha_full,H3N2,D,fit,6,24,0.25,24
ha_full,Victoria,D,fit,15,24,0.625,24
ha_full,All,D,fit,33,72,0.4583333333333333,72
ha_full,H1N1,D,freq,14,24,0.5833333333333334,24
ha_full,H3N2,D,freq,5,24,0.20833333333333334,24
ha_full,Victoria,D,freq,16,24,0.6666666666666666,24
ha_full,All,D,freq,35,72,0.4861111111111111,72
ha_full,H1N1,E+G,fit,14,24,0.5833333333333334,24
ha_full,H3N2,E+G,fit,6,24,0.25,24
ha_full,Victoria,E+G,fit,19,24,0.7916666666666666,24
ha_full,All,E+G,fit,39,72,0.5416666666666666,72
ha_full,H1N1,E+G,freq,15,24,0.625,24
ha_full,H3N2,E+G,freq,6,24,0.25,24
ha_full,Victoria,E+G,freq,20,24,0.8333333333333334,24
ha_full,All,E+G,freq,41,72,0.5694444444444444,72
ha_full,H1N1,E+D,fit,12,24,0.5,24
ha_full,H3N2,E+D,fit,7,24,0.2916666666666667,24
ha_full,Victoria,E+D,fit,17,24,0.7083333333333334,24
ha_full,All,E+D,fit,36,72,0.5,72
ha_full,H1N1,E+D,freq,13,24,0.5416666666666666,24
ha_full,H3N2,E+D,freq,7,24,0.2916666666666667,24
ha_full,Victoria,E+D,freq,18,24,0.75,24
ha_full,All,E+D,freq,38,72,0.5277777777777778,72
ha_full,H1N1,G+D,fit,14,24,0.5833333333333334,24
ha_full,H3N2,G+D,fit,6,24,0.25,24
ha_full,Victoria,G+D,fit,20,24,0.8333333333333334,24
ha_full,All,G+D,fit,40,72,0.5555555555555556,72
ha_full,H1N1,G+D,freq,14,24,0.5833333333333334,24
ha_full,H3N2,G+D,freq,5,24,0.20833333333333334,24
ha_full,Victoria,G+D,freq,18,24,0.75,24
ha_full,All,G+D,freq,37,72,0.5138888888888888,72
ha_full,H1N1,E+G+D,fit,13,24,0.5416666666666666,24
ha_full,H3N2,E+G+D,fit,7,24,0.2916666666666667,24
ha_full,Victoria,E+G+D,fit,20,24,0.8333333333333334,24
ha_full,All,E+G+D,fit,40,72,0.5555555555555556,72
ha_full,H1N1,E+G+D,freq,14,24,0.5833333333333334,24
ha_full,H3N2,E+G+D,freq,6,24,0.25,24
ha_full,Victoria,E+G+D,freq,20,24,0.8333333333333334,24
ha_full,All,E+G+D,freq,40,72,0.5555555555555556,72
ha_full_na_full,H1N1,E,fit,12,24,0.5,24
ha_full_na_full,H3N2,E,fit,8,24,0.3333333333333333,24
ha_full_na_full,Victoria,E,fit,15,24,0.625,24
ha_full_na_full,All,E,fit,35,72,0.4861111111111111,72
ha_full_na_full,H1N1,E,freq,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,E,freq,6,24,0.25,24
ha_full_na_full,Victoria,E,freq,17,24,0.7083333333333334,24
ha_full_na_full,All,E,freq,37,72,0.5138888888888888,72
ha_full_na_full,H1N1,G,fit,13,24,0.5416666666666666,24
ha_full_na_full,H3N2,G,fit,5,24,0.20833333333333334,24
ha_full_na_full,Victoria,G,fit,18,24,0.75,24
ha_full_na_full,All,G,fit,36,72,0.5,72
ha_full_na_full,H1N1,G,freq,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,G,freq,5,24,0.20833333333333334,24
ha_full_na_full,Victoria,G,freq,17,24,0.7083333333333334,24
ha_full_na_full,All,G,freq,36,72,0.5,72
ha_full_na_full,H1N1,D,fit,13,24,0.5416666666666666,24
ha_full_na_full,H3N2,D,fit,5,24,0.20833333333333334,24
ha_full_na_full,Victoria,D,fit,15,24,0.625,24
ha_full_na_full,All,D,fit,33,72,0.4583333333333333,72
ha_full_na_full,H1N1,D,freq,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,D,freq,4,24,0.16666666666666666,24
ha_full_na_full,Victoria,D,freq,16,24,0.6666666666666666,24
ha_full_na_full,All,D,freq,34,72,0.4722222222222222,72
ha_full_na_full,H1N1,E+G,fit,13,24,0.5416666666666666,24
ha_full_na_full,H3N2,E+G,fit,7,24,0.2916666666666667,24
ha_full_na_full,Victoria,E+G,fit,20,24,0.8333333333333334,24
ha_full_na_full,All,E+G,fit,40,72,0.5555555555555556,72
ha_full_na_full,H1N1,E+G,freq,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,E+G,freq,6,24,0.25,24
ha_full_na_full,Victoria,E+G,freq,21,24,0.875,24
ha_full_na_full,All,E+G,freq,41,72,0.5694444444444444,72
ha_full_na_full,H1N1,E+D,fit,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,E+D,fit,7,24,0.2916666666666667,24
ha_full_na_full,Victoria,E+D,fit,15,24,0.625,24
ha_full_na_full,All,E+D,fit,36,72,0.5,72
ha_full_na_full,H1N1,E+D,freq,14,24,0.5833333333333334,24
ha_full_na_full,H3N2,E+D,freq,6,24,0.25,24
ha_full_na_full,Victoria,E+D,freq,17,24,0.7083333333333334,24
ha_full_na_full,All,E+D,freq,37,72,0.5138888888888888,72
ha_full_na_full,H1N1,G+D,fit,16,24,0.6666666666666666,24
ha_full_na_full,H3N2,G+D,fit,4,24,0.16666666666666666,24
ha_full_na_full,Victoria,G+D,fit,16,24,0.6666666666666666,24
ha_full_na_full,All,G+D,fit,36,72,0.5,72
ha_full_na_full,H1N1,G+D,freq,15,24,0.625,24
ha_full_na_full,H3N2,G+D,freq,4,24,0.16666666666666666,24
ha_full_na_full,Victoria,G+D,freq,17,24,0.7083333333333334,24
ha_full_na_full,All,G+D,freq,36,72,0.5,72
ha_full_na_full,H1N1,E+G+D,fit,16,24,0.6666666666666666,24
ha_full_na_full,H3N2,E+G+D,fit,8,24,0.3333333333333333,24
ha_full_na_full,Victoria,E+G+D,fit,20,24,0.8333333333333334,24
ha_full_na_full,All,E+G+D,fit,44,72,0.6111111111111112,72
ha_full_na_full,H1N1,E+G+D,freq,16,24,0.6666666666666666,24
ha_full_na_full,H3N2,E+G+D,freq,6,24,0.25,24
ha_full_na_full,Victoria,E+G+D,freq,19,24,0.7916666666666666,24
ha_full_na_full,All,E+G+D,freq,41,72,0.5694444444444444,72
ha1_na_full,H1N1,E,fit,10,24,0.4166666666666667,24
ha1_na_full,H3N2,E,fit,7,24,0.2916666666666667,23
ha1_na_full,Victoria,E,fit,17,24,0.7083333333333334,24
ha1_na_full,All,E,fit,34,72,0.4722222222222222,71
ha1_na_full,H1N1,E,freq,14,24,0.5833333333333334,24
ha1_na_full,H3N2,E,freq,6,24,0.25,23
ha1_na_full,Victoria,E,freq,18,24,0.75,24
ha1_na_full,All,E,freq,38,72,0.5277777777777778,71
ha1_na_full,H1N1,G,fit,12,24,0.5,24
ha1_na_full,H3N2,G,fit,5,24,0.20833333333333334,23
ha1_na_full,Victoria,G,fit,18,24,0.75,24
ha1_na_full,All,G,fit,35,72,0.4861111111111111,71
ha1_na_full,H1N1,G,freq,14,24,0.5833333333333334,24
ha1_na_full,H3N2,G,freq,5,24,0.20833333333333334,23
ha1_na_full,Victoria,G,freq,17,24,0.7083333333333334,24
ha1_na_full,All,G,freq,36,72,0.5,71
ha1_na_full,H1N1,D,fit,12,24,0.5,24
ha1_na_full,H3N2,D,fit,5,24,0.20833333333333334,23
ha1_na_full,Victoria,D,fit,15,24,0.625,24
ha1_na_full,All,D,fit,32,72,0.4444444444444444,71
ha1_na_full,H1N1,D,freq,14,24,0.5833333333333334,24
ha1_na_full,H3N2,D,freq,4,24,0.16666666666666666,23
ha1_na_full,Victoria,D,freq,16,24,0.6666666666666666,24
ha1_na_full,All,D,freq,34,72,0.4722222222222222,71
ha1_na_full,H1N1,E+G,fit,12,24,0.5,24
ha1_na_full,H3N2,E+G,fit,6,24,0.25,23
ha1_na_full,Victoria,E+G,fit,19,24,0.7916666666666666,24
ha1_na_full,All,E+G,fit,37,72,0.5138888888888888,71
ha1_na_full,H1N1,E+G,freq,14,24,0.5833333333333334,24
ha1_na_full,H3N2,E+G,freq,6,24,0.25,23
ha1_na_full,Victoria,E+G,freq,21,24,0.875,24
ha1_na_full,All,E+G,freq,41,72,0.5694444444444444,71
ha1_na_full,H1N1,E+D,fit,13,24,0.5416666666666666,24
ha1_na_full,H3N2,E+D,fit,6,24,0.25,23
ha1_na_full,Victoria,E+D,fit,15,24,0.625,24
ha1_na_full,All,E+D,fit,34,72,0.4722222222222222,71
ha1_na_full,H1N1,E+D,freq,14,24,0.5833333333333334,24
ha1_na_full,H3N2,E+D,freq,6,24,0.25,23
ha1_na_full,Victoria,E+D,freq,18,24,0.75,24
ha1_na_full,All,E+D,freq,38,72,0.5277777777777778,71
ha1_na_full,H1N1,G+D,fit,15,24,0.625,24
ha1_na_full,H3N2,G+D,fit,4,24,0.16666666666666666,23
ha1_na_full,Victoria,G+D,fit,18,24,0.75,24
ha1_na_full,All,G+D,fit,37,72,0.5138888888888888,71
ha1_na_full,H1N1,G+D,freq,15,24,0.625,24
ha1_na_full,H3N2,G+D,freq,4,24,0.16666666666666666,23
ha1_na_full,Victoria,G+D,freq,17,24,0.7083333333333334,24
ha1_na_full,All,G+D,freq,36,72,0.5,71
ha1_na_full,H1N1,E+G+D,fit,15,24,0.625,24
ha1_na_full,H3N2,E+G+D,fit,8,24,0.3333333333333333,23
ha1_na_full,Victoria,E+G+D,fit,19,24,0.7916666666666666,24
ha1_na_full,All,E+G+D,fit,42,72,0.5833333333333334,71
ha1_na_full,H1N1,E+G+D,freq,16,24,0.6666666666666666,24
ha1_na_full,H3N2,E+G+D,freq,6,24,0.25,23
ha1_na_full,Victoria,E+G+D,freq,19,24,0.7916666666666666,24
