source,subtype,hemisphere,year,season_label,display_method,combo_type,combo,component,component_definition,method,score_column,truth_clade,pred_clade,score,correct,available_prediction,filled_from_previous_year,prediction_fill_note,n_candidate_clades,n_tied_max
EVEscape,H1N1,south,2013,2013-S,EVEscape accessibility_wcn,evescape_single_component,,accessibility_wcn,accessibility_wcn,fit_max,fit_accessibility_wcn,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
EVEscape,H1N1,south,2013,2013-S,EVEscape antigenic_novelty,evescape_single_component,,antigenic_novelty,antigenic_novelty,fit_max,fit_antigenic_novelty,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
EVEscape,H1N1,south,2013,2013-S,EVEscape dissimilarity_charge_hydro,evescape_single_component,,dissimilarity_charge_hydro,dissimilarity_charge_hydro,fit_max,fit_dissimilarity_charge_hydro,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
EVEscape,H1N1,south,2013,2013-S,EVEscape fitness_eve,evescape_single_component,,fitness_eve,fitness_eve,fit_max,fit_fitness_eve,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
EVEscape,H1N1,south,2013,2013-S,EVEscape total_escape,evescape_single_component,,total_escape,total_escape,fit_max,fit_total_escape,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu D fit,single,D,D,mutual_information,fit,D_pre_fit,6B.1,6B.1,-0.693147,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu D freq,single,D,D,mutual_information,freq,D_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E fit,single,E,E,total_escape,fit,E_pre_fit,6B.1,6B.1,-0.693147,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E freq,single,E,E,total_escape,freq,E_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+D fit,two,E+D,E+D,total_escape + mutual_information,fit,E+D_pre_fit,6B.1,6B.1,-1.386294,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+D freq,two,E+D,E+D,total_escape + mutual_information,freq,E+D_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+G fit,two,E+G,E+G,total_escape + predicted_prevalence,fit,E+G_pre_fit,6B.1,6B.1,-1.386294,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+G freq,two,E+G,E+G,total_escape + predicted_prevalence,freq,E+G_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+G+D fit,three,E+G+D,E+G+D,total_escape + predicted_prevalence + mutual_information,fit,E+G+D_pre_fit,6B.1,6B.1,-2.079442,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu E+G+D freq,three,E+G+D,E+G+D,total_escape + predicted_prevalence + mutual_information,freq,E+G+D_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu G fit,single,G,G,predicted_prevalence,fit,G_pre_fit,6B.1,6B.1,-0.693147,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu G freq,single,G,G,predicted_prevalence,freq,G_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu G+D fit,two,G+D,G+D,predicted_prevalence + mutual_information,fit,G+D_pre_fit,6B.1,6B.1,-1.386294,True,True,False,,,
FutureFlu_HA1,H1N1,south,2013,2013-S,FutureFlu G+D freq,two,G+D,G+D,predicted_prevalence + mutual_information,freq,G+D_pre_freq,6B.1,6B.1,1.0,True,True,False,,,
EVEscape,H1N1,north,2013,2013-N,EVEscape accessibility_wcn,evescape_single_component,,accessibility_wcn,accessibility_wcn,fit_max,fit_accessibility_wcn,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
EVEscape,H1N1,north,2013,2013-N,EVEscape antigenic_novelty,evescape_single_component,,antigenic_novelty,antigenic_novelty,fit_max,fit_antigenic_novelty,6B.1,6B.1,0.0,True,True,False,,1.0,1.0
