subtype,repo,sha,commit_date,message
H1N1,seasonal_A-H1N1pdm_HA,ac496f507222e5f0c527a10277fd976191cc291c,2026-02-23T08:21:30Z,add citation to readme
H1N1,seasonal_A-H1N1pdm_HA,8dd321c17429f9ba75dea98192b4bedee0bbab63,2025-12-18T14:24:48Z,chore: root the subclade nwk in 'unassigned'
H1N1,seasonal_A-H1N1pdm_HA,25b6a5e0752a70864b2bb4ff38f7825419da5266,2025-11-27T17:33:36Z,Merge pull request #6 from influenza-clade-nomenclature/2025-11_add_D.3.1.1
H1N1,seasonal_A-H1N1pdm_HA,342271cc520e4bda3e8e9bac9d5d6c0dcd1462f3,2025-11-26T19:35:25Z,update date in changelog
H1N1,seasonal_A-H1N1pdm_HA,c175a1d8afdf9df7efe30f799659dda1f9e368fb,2025-11-23T18:08:58Z,update changelog
H1N1,seasonal_A-H1N1pdm_HA,faf6fe982a54f0d6343e0f0c40351144f3d773b6,2025-11-23T18:08:20Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,0a0d90ba5b93d567c2676b6edcfc41f826c50012,2025-11-23T18:08:12Z,add subclade D.3.1.1
H1N1,seasonal_A-H1N1pdm_HA,75eb5b1c4cd22ca925fdedd6629b6fb5a34bc499,2025-11-02T16:12:50Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,0c471d82476f082a102d41c884311064af66c0e0,2025-11-01T10:32:31Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,d2154611ad7b31caf3c4c4086e34d822449b0fe4,2025-11-01T10:19:37Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,1f70be8c2e0e8ccd16eaae5d326b144c659a7274,2025-11-01T10:19:26Z,add aliases to yml
H1N1,seasonal_A-H1N1pdm_HA,83398079b8ebb4c3ea38079193ed8c23d1b16ce3,2025-08-05T18:24:32Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,2765236a972fac5e636e84ad0419750e70d155fb,2025-08-05T18:24:18Z,adjust D.3.1 definition
H1N1,seasonal_A-H1N1pdm_HA,6243d8e24ccf2567034e4ecc22bafc4c53d164b6,2025-07-31T12:29:33Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,e30d88fe4179b4c370d9c75a0036802a265e0886,2025-07-31T12:29:23Z,fix d.3.1 definition
H1N1,seasonal_A-H1N1pdm_HA,33cc1c0b48db9647ba8af902bc22cff6a21c67cb,2025-07-31T12:19:37Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,6dd9481a3a84489a6e127dac0780e970db3629dd,2025-07-31T12:19:37Z,update D.2 definition
H1N1,seasonal_A-H1N1pdm_HA,958e6489187af0367226254017d7b9f412eec152,2025-07-31T11:56:41Z,Merge pull request #5 from influenza-clade-nomenclature/update-2025-06
H1N1,seasonal_A-H1N1pdm_HA,7b051bb2af321b0e0b9608c976d6e35185da2b38,2025-07-31T11:55:29Z,update changelog
H1N1,seasonal_A-H1N1pdm_HA,a9f4ed806c17fc6a0dc7fc7fc02896a48f60cf25,2025-07-31T11:54:01Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,843480cb9c372b363dac20fbe8364791418461df,2025-07-31T11:53:38Z,add D.3.1
H1N1,seasonal_A-H1N1pdm_HA,d25dd89599b44681307a4139d1206c9966f8bfda,2025-01-18T17:27:56Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,00650495af8cf984cd7abaa02954c536a95c9b9c,2025-01-18T17:27:09Z,add to changelog
H1N1,seasonal_A-H1N1pdm_HA,d1c94c246a44eb532c353e7b8e6620c4d778558d,2025-01-18T17:23:49Z,add new C.1.9 subclades
H1N1,seasonal_A-H1N1pdm_HA,96020454d8f139621f4daae1e02e7add3bb7c35c,2024-12-16T19:54:54Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,b55eeaf5e148142ce612ee873f5229640ad704f5,2024-12-16T19:54:53Z,fix file name
H1N1,seasonal_A-H1N1pdm_HA,c08a5b0d0308094fea59774c243f8945770e68e3,2024-12-16T19:54:21Z,add additional subclade proposal
H1N1,seasonal_A-H1N1pdm_HA,393fc57103f5dfc3ec67ff3afb9b186fd5645431,2024-12-14T13:30:16Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,d491626cf6ec52452842600160477b90239e39ec,2024-12-14T13:30:11Z,add subclade proposals
H1N1,seasonal_A-H1N1pdm_HA,7d958bfb6b49df5f96aaedd92b39feb054c551ff,2024-11-12T09:17:29Z,remove erroneously committed file
H1N1,seasonal_A-H1N1pdm_HA,96d21ce31fa107eab10ede910ed4a4e630189491,2024-11-12T09:14:33Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,e923aa6b03d00e6e5f903a3f6a5436041c34dc4a,2024-11-12T09:13:28Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,559e603680f7d3ef499c69d74b10041f68e34dc9,2024-11-12T09:13:21Z,add D.5
H1N1,seasonal_A-H1N1pdm_HA,b2a393a2576b9e9695f3de8ca54a866ae4f5ba90,2024-11-06T19:41:03Z,update flu repo path
H1N1,seasonal_A-H1N1pdm_HA,565f018d3c13742bceaef2db792184c7ff95fce6,2024-11-03T21:37:47Z,update D.5
H1N1,seasonal_A-H1N1pdm_HA,3d06e398c94f4cf25e7242a00ca30dc301b4e50d,2024-11-03T21:37:22Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,68a6bf0a2ca888b2c5efc42ac084ac1b6a5bd0ae,2024-11-03T21:36:59Z,"update D.1, add D.5 proposal"
H1N1,seasonal_A-H1N1pdm_HA,911d8e77f4abc5ba500ae3527eca0063c5b6822e,2024-11-03T21:14:38Z,rename subclade proposals
H1N1,seasonal_A-H1N1pdm_HA,1ceebccfce0a68a3ae0a927e9ba54cf67da0331a,2024-10-26T14:06:39Z,Merge pull request #4 from influenza-clade-nomenclature/clade-proposals
H1N1,seasonal_A-H1N1pdm_HA,72ca9ddc8c6785dc669c72fc24233f942f1474e8,2024-10-26T14:00:59Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,27aed59f089601d7a0e40c795ff0bd38a8247d79,2024-10-26T14:00:53Z,add proposal of D.5
H1N1,seasonal_A-H1N1pdm_HA,6182f588bd5c95475702081a69ce4c26ae58178e,2024-06-25T16:20:37Z,Merge pull request #3 from influenza-clade-nomenclature/add-clade-1
H1N1,seasonal_A-H1N1pdm_HA,f081764a05f86ac14e54a8a5f3810b19070cfe4c,2024-06-24T18:04:11Z,Add pandemic-era clade 1 definition
H1N1,seasonal_A-H1N1pdm_HA,379c656306e1d33193529a033d4392769cf48ec9,2024-04-16T16:12:21Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,7dee2356c8cd1487ca7c17abe56c63c0be802c81,2024-04-16T16:12:09Z,rename files
H1N1,seasonal_A-H1N1pdm_HA,6ac9e8e407bb21c08bd6c005cb9f167aa7216c62,2024-04-16T16:09:59Z,add alias and remove some clades
H1N1,seasonal_A-H1N1pdm_HA,4b6eb5e545611f81732ec66f6fff91e9a3fe250d,2024-04-14T13:26:07Z,add clades
H1N1,seasonal_A-H1N1pdm_HA,96fc43e7e52c966f28a26d1f7db42427e0a651cf,2024-04-14T11:31:42Z,add subclades
H1N1,seasonal_A-H1N1pdm_HA,92cececcc65b7f2f8a46cf0b4abb812459205a50,2023-11-10T20:14:03Z,add changelog
H1N1,seasonal_A-H1N1pdm_HA,3b1734ba4e279d6a3bb3b5ff552973ea81dc3c63,2023-11-10T14:04:18Z,add to readme
H1N1,seasonal_A-H1N1pdm_HA,d7cf7295d47f067fe6852fec1e2b4fa8b4822299,2023-11-10T14:04:08Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,e9b00fe2660c08a58647ceca0d27753adb9d1b96,2023-11-09T16:43:46Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,f31218f8efc0356282028471d2b8b4b38ab590f9,2023-11-09T16:42:43Z,clades: add C.1.7
H1N1,seasonal_A-H1N1pdm_HA,fdb31930dad7c008d42c59dcedd51ee27488663d,2023-11-09T16:41:11Z,"algo: swap tree, adjust params"
H1N1,seasonal_A-H1N1pdm_HA,74c9ffc2cd70361f750e416bd78afb1e73a707cf,2023-11-08T07:43:45Z,add config files
H1N1,seasonal_A-H1N1pdm_HA,79491842b725112b497c027d88210ae283e81a48,2023-08-28T21:06:32Z,add missing clades.tsv
H1N1,seasonal_A-H1N1pdm_HA,ff9cacf82a03c2011a9b8a1499b53974bb22908e,2023-08-28T20:57:33Z,update auto-generated files
H1N1,seasonal_A-H1N1pdm_HA,c922ec31d46a010df301554f138f71ba85d3dc36,2023-08-28T20:57:16Z,fix off-by-one error
H1N1,seasonal_A-H1N1pdm_HA,696cd5f4e5000936fa78dba7bc17aa78f7f198b8,2023-08-28T19:20:31Z,add to readme
H1N1,seasonal_A-H1N1pdm_HA,89611d7852daad760e4fcfae7489b6dd35d8d138,2023-08-28T19:10:28Z,initial import
H3N2,seasonal_A-H3N2_HA,6e6df48abaf6c57464607021bebae33d73cbe37e,2026-02-23T08:20:34Z,add citation to readme
H3N2,seasonal_A-H3N2_HA,3480dcc5855424c604bdb460fe0a7d8968f727b3,2025-12-18T14:21:55Z,chore: root the subclade nwk in 'unassigned'
H3N2,seasonal_A-H3N2_HA,6ba61ff98cf0c21e9f8d44f84e13bf619796ea11,2025-11-15T16:37:58Z,add the alias to config
H3N2,seasonal_A-H3N2_HA,84be5e47c52a9b32f5fefba61d55ebbb2df62e89,2025-11-02T16:09:52Z,update auto-generated files
H3N2,seasonal_A-H3N2_HA,a84f2c9b125e7bbd7ddc562c205b01e2a2003ee5,2025-11-01T10:30:47Z,update auto-generated files
H3N2,seasonal_A-H3N2_HA,c601d11a0ca098851df057cd54d11fb1e97d80ad,2025-11-01T10:12:55Z,update autogenerated files
H3N2,seasonal_A-H3N2_HA,5f846cc76a26b2770e4d88ddfa3b0913e1b3ec4c,2025-10-28T19:52:45Z,update auto-generated files
H3N2,seasonal_A-H3N2_HA,625313d289a8a18f127d7859c5f8e28f3d30bad8,2025-10-28T19:52:27Z,alias J.2.4.1
