run_name	lineage	mode	mode_zh	input_file	input_role	input_role_zh	release_path	direct_source_path	upstream_metadata_path	upstream_fasta_path	upstream_sequence_table_path	processing_script_path	launcher_script_path	record_count	record_unit	sha256_match_source	sha256	total_bytes
H1N1	A/H1N1pdm09	no HI or DMS predictors	不启用 HI 或 DMS predictor	normalized_metadata.tsv	metadata pool after date, sequence, and gap filters	经过日期、序列和 gap 过滤后的 metadata 池	omitted_from_final_package:data/run_inputs/H1N1/normalized_metadata.tsv	omitted_from_final_package:results/futureflu/runs/H1N1/inputs/normalized_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	104525	rows	True	bc3f4d2ec39819b50db49192da46aa6aea178f270c1e2a7a0d5a27ef51258775	32335144
H1N1	A/H1N1pdm09	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_strains.txt	balanced global strain list used by all issue dates	供所有 issue date 使用的全局平衡抽样 strain 列表	omitted_from_final_package:data/run_inputs/H1N1/global_subsampled_strains.txt	omitted_from_final_package:results/futureflu/runs/H1N1/inputs/global_subsampled_strains.txt	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14651	lines	True	9fef5c1dbe13cd27deb47619cb949850985be10eb9fa92438df3ebe134fea019	548329
H1N1	A/H1N1pdm09	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_metadata.tsv	metadata subset for globally selected strains	全局抽样 strain 对应的 metadata 子集	omitted_from_final_package:data/run_inputs/H1N1/global_subsampled_metadata.tsv	omitted_from_final_package:results/futureflu/runs/H1N1/inputs/global_subsampled_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14651	rows	True	0b3acffa496d12a9d92842c4f0f5f8ceb8f43d6e1ea15d76be9c16b110d7009c	4428775
H1N1	A/H1N1pdm09	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_aa_sequences.fasta	amino-acid FASTA for globally selected strains	全局抽样 strain 对应的氨基酸 FASTA	omitted_from_final_package:data/run_inputs/H1N1/global_subsampled_aa_sequences.fasta	omitted_from_final_package:results/futureflu/runs/H1N1/inputs/global_subsampled_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14651	fasta_records	True	504af795e79c35f83a1c15af7b7d85d012a0d3fe5af22e3d63721eff5ff32367	9001956
H1N1	A/H1N1pdm09	no HI or DMS predictors	不启用 HI 或 DMS predictor	issue_manifest.tsv	issue-date schedule and HI fallback resolution table	issue-date 时间表和 HI fallback 解析表	data/run_inputs/H1N1/issue_manifest.tsv	data/run_inputs/H1N1/issue_manifest.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h1n1pdm_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h1n1pdm_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	30	rows	True	218916fc4c7dbb180522b446a153217eb201d58bc68c7433b1eabf4e4d4befea	1410
H3N2	A/H3N2	HI fallback enabled	启用 HI fallback	normalized_metadata.tsv	metadata pool after date, sequence, and gap filters	经过日期、序列和 gap 过滤后的 metadata 池	omitted_from_final_package:data/run_inputs/H3N2/normalized_metadata.tsv	omitted_from_final_package:results/futureflu/runs/H3N2/inputs/normalized_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	148604	rows	True	3e2093e91d373eb8cefd92bb0c65afbc0bd40043b43cf52ce6da4341ccb2b991	41050360
H3N2	A/H3N2	HI fallback enabled	启用 HI fallback	global_subsampled_strains.txt	balanced global strain list used by all issue dates	供所有 issue date 使用的全局平衡抽样 strain 列表	omitted_from_final_package:data/run_inputs/H3N2/global_subsampled_strains.txt	omitted_from_final_package:results/futureflu/runs/H3N2/inputs/global_subsampled_strains.txt	omitted_from_final_package:data/sequences/h3n2_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14800	lines	True	e6201b35b5abdc9663f570fdcb7392772e72f22c15ba5f9359e1b812c6176e70	484076
H3N2	A/H3N2	HI fallback enabled	启用 HI fallback	global_subsampled_metadata.tsv	metadata subset for globally selected strains	全局抽样 strain 对应的 metadata 子集	omitted_from_final_package:data/run_inputs/H3N2/global_subsampled_metadata.tsv	omitted_from_final_package:results/futureflu/runs/H3N2/inputs/global_subsampled_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14800	rows	True	3160121689104ef60afaf3fb4da82521a05d810341b37e0d96acaa159fba6e02	3971230
H3N2	A/H3N2	HI fallback enabled	启用 HI fallback	global_subsampled_aa_sequences.fasta	amino-acid FASTA for globally selected strains	全局抽样 strain 对应的氨基酸 FASTA	omitted_from_final_package:data/run_inputs/H3N2/global_subsampled_aa_sequences.fasta	omitted_from_final_package:results/futureflu/runs/H3N2/inputs/global_subsampled_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	14800	fasta_records	True	b442b068b2844864099a767f6f32a26e6c57ba3d479599c2c9aad73b7714d20d	9023676
H3N2	A/H3N2	HI fallback enabled	启用 HI fallback	issue_manifest.tsv	issue-date schedule and HI fallback resolution table	issue-date 时间表和 HI fallback 解析表	data/run_inputs/H3N2/issue_manifest.tsv	data/run_inputs/H3N2/issue_manifest.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/h3n2_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/h3n2_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	30	rows	True	bc13418beacb9e6fb6921a3e1768d3dc78e20f4120ed070d0fa6b4306501091c	1611
Victoria	B/Victoria	no HI or DMS predictors	不启用 HI 或 DMS predictor	normalized_metadata.tsv	metadata pool after date, sequence, and gap filters	经过日期、序列和 gap 过滤后的 metadata 池	omitted_from_final_package:data/run_inputs/Victoria/normalized_metadata.tsv	omitted_from_final_package:results/futureflu/runs/Victoria/inputs/normalized_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/victoria_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	48511	rows	True	0e20388075514ff4b87f3a4c68d2dbcebd2bdada12e23eb0cb5163e144a20264	15968002
Victoria	B/Victoria	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_strains.txt	balanced global strain list used by all issue dates	供所有 issue date 使用的全局平衡抽样 strain 列表	omitted_from_final_package:data/run_inputs/Victoria/global_subsampled_strains.txt	omitted_from_final_package:results/futureflu/runs/Victoria/inputs/global_subsampled_strains.txt	omitted_from_final_package:data/sequences/victoria_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/victoria_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	12159	lines	True	508730f4d5677d3754fef1298c612c07df36b2a0819a0176f368845d707caf61	464627
Victoria	B/Victoria	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_metadata.tsv	metadata subset for globally selected strains	全局抽样 strain 对应的 metadata 子集	omitted_from_final_package:data/run_inputs/Victoria/global_subsampled_metadata.tsv	omitted_from_final_package:results/futureflu/runs/Victoria/inputs/global_subsampled_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/victoria_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	12159	rows	True	92962b53579f019aa8037cc6be01cbd5b67ca819e3a3d936549f57dcd8a24f5e	3916967
Victoria	B/Victoria	no HI or DMS predictors	不启用 HI 或 DMS predictor	global_subsampled_aa_sequences.fasta	amino-acid FASTA for globally selected strains	全局抽样 strain 对应的氨基酸 FASTA	omitted_from_final_package:data/run_inputs/Victoria/global_subsampled_aa_sequences.fasta	omitted_from_final_package:results/futureflu/runs/Victoria/inputs/global_subsampled_aa_sequences.fasta	omitted_from_final_package:data/sequences/victoria_futureflu_metadata.tsv	omitted_from_final_package:data/sequences/victoria_futureflu_aa_sequences.fasta	omitted_from_final_package:data/sequences/victoria_sequence_table.tsv	scripts/futureflu/run_issue_date_pipeline.py	scripts/run_futureflu_workflow.py	12159	fasta_records	True	767143d87441182323e53cb1fe31e19bf1ca95caf085515337047c3fd3838ae8	7711391
