issue_date	hemisphere	forecast_year	requested_titer_model_timepoint	original_titer_model_timepoint	titer_model_fallback
2010-02-01	north	2010	2009-10-01	N/A	False
2010-09-01	south	2011	2010-04-01	N/A	False
2011-02-01	north	2011	2010-10-01	N/A	False
2011-09-01	south	2012	2011-04-01	N/A	False
2012-02-01	north	2012	2011-10-01	N/A	False
2012-09-01	south	2013	2012-04-01	N/A	False
2013-02-01	north	2013	2012-10-01	N/A	False
2013-09-01	south	2014	2013-04-01	N/A	False
2014-02-01	north	2014	2013-10-01	N/A	False
2014-09-01	south	2015	2014-04-01	N/A	False
2015-02-01	north	2015	2014-10-01	N/A	False
2015-09-01	south	2016	2015-04-01	N/A	False
2016-02-01	north	2016	2015-10-01	N/A	False
2016-09-01	south	2017	2016-04-01	N/A	False
2017-02-01	north	2017	2016-10-01	N/A	False
2017-09-01	south	2018	2017-04-01	N/A	False
2018-02-01	north	2018	2017-10-01	N/A	False
2018-09-01	south	2019	2018-04-01	N/A	False
2019-02-01	north	2019	2018-10-01	N/A	False
2019-09-01	south	2020	2019-04-01	N/A	False
2020-02-01	north	2020	2019-10-01	N/A	False
2020-09-01	south	2021	2020-04-01	N/A	False
2021-02-01	north	2021	2020-10-01	N/A	False
2021-09-01	south	2022	2021-04-01	N/A	False
2022-02-01	north	2022	2021-10-01	N/A	False
2022-09-01	south	2023	2022-04-01	N/A	False
2023-02-01	north	2023	2022-10-01	N/A	False
2023-09-01	south	2024	2023-04-01	N/A	False
2024-02-01	north	2024	2023-10-01	N/A	False
2024-09-01	south	2025	2024-04-01	N/A	False
