subtype,region,year,ep_x-ne_star,cTiterSub_x-ne_star
Victoria,north,2013,V1A,
Victoria,north,2014,V1A,
Victoria,north,2015,V1A,
Victoria,north,2016,V1A,
Victoria,north,2017,V1A,
Victoria,north,2018,V1A,
Victoria,north,2019,V1A.1,
Victoria,north,2020,V1A.3,
Victoria,north,2021,V1A.3a.1,
Victoria,north,2022,V1A.3a.2,
Victoria,north,2023,V1A.3a.2,
Victoria,north,2024,V1A.3a.2,
Victoria,south,2013,V1A,
Victoria,south,2014,V1A,
Victoria,south,2015,V1A,
Victoria,south,2016,V1A,
Victoria,south,2017,V1A,
Victoria,south,2018,V1A,
Victoria,south,2019,V1A.1,
Victoria,south,2020,V1A.3,
Victoria,south,2021,V1A.3,
Victoria,south,2022,V1A.3a.2,
Victoria,south,2023,V1A.3a.2,
Victoria,south,2024,V1A.3a.2,
H3N2,north,2013,3C.2,3C.2
H3N2,north,2014,3C.3a,3C.3a
H3N2,north,2015,3C.2,3C.2
H3N2,north,2016,3C.2,3C.2
H3N2,north,2017,3C.2,3C.2a
H3N2,north,2018,3C.2a2,3C.2a2
H3N2,north,2019,3C.2a1b.1,3C.2a1b.1
H3N2,north,2020,3C.2a1b.1,3C.2a1b.2
H3N2,north,2021,3C.2a1b.2a.2,3C.2a1b.2a.2
H3N2,north,2022,3C.2a1b.2a.2a,3C.2a1b.2a.2a
H3N2,north,2023,3C.2a1b.2a.2a.3a,3C.2a1b.2a.2b
H3N2,north,2024,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1
H3N2,south,2013,3C.2,3C.2
H3N2,south,2014,3C.3a,3C.3a
H3N2,south,2015,3C.3a,3C.3a
H3N2,south,2016,3C.3a,3C.2
H3N2,south,2017,3C.2a,3C.2a
H3N2,south,2018,3C.2a,3C.2a
H3N2,south,2019,3C.2a2,3C.2
H3N2,south,2020,3C.2a1b.2,3C.2a1b.1b
H3N2,south,2021,3C.2a1b.1b,3C.2a1b.1b
H3N2,south,2022,3C.2a1b.2a.1,3C.2a1b.2a.2
H3N2,south,2023,3C.2a1b.2a.1a,3C.2a1b.2a.2a.3a
H3N2,south,2024,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1
H1N1,north,2013,6B.1,
H1N1,north,2014,6B.1,
H1N1,north,2015,6B.1,
H1N1,north,2016,6B.1,
H1N1,north,2017,6B.1,
H1N1,north,2018,6B.1A,
H1N1,north,2019,6B.1A,
H1N1,north,2020,6B.1A.5a,
H1N1,north,2021,6B.1A.5a.1,
H1N1,north,2022,6B.1A.5a.1,
H1N1,north,2023,6B.1A.5a.2a,
H1N1,north,2024,6B.1A.5a.2a,
H1N1,south,2013,6B.1,
H1N1,south,2014,6B.1,
H1N1,south,2015,6B.1,
H1N1,south,2016,6B.1,
H1N1,south,2017,6B.1,
H1N1,south,2018,6B.1,
H1N1,south,2019,6B.1A,
H1N1,south,2020,6B.1A.5a,
H1N1,south,2021,6B.1A.5a.2,
H1N1,south,2022,6B.1A.5a.1,
H1N1,south,2023,6B.1A.5a.2a,
H1N1,south,2024,6B.1A.5a.2a,
