predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_star	north	2013	ep_star	-0.007635010502069021	2013-02-01
ep_star	north	2014	ep_star	-0.053161325661881954	2014-02-01
ep_star	north	2015	ep_star	-0.09447211746457597	2015-02-01
ep_star	north	2016	ep_star	-0.053902347996267086	2016-02-01
ep_star	north	2017	ep_star	-0.012776164971185406	2017-02-01
ep_star	north	2018	ep_star	-0.007485181937587262	2018-02-01
ep_star	north	2019	ep_star	-0.02549449627422134	2019-02-01
ep_star	north	2020	ep_star	-0.01932350508980665	2020-02-01
ep_star	north	2021	ep_star	0.006917910246960103	2021-02-01
ep_star	north	2022	ep_star	-0.006343889736637518	2022-02-01
ep_star	north	2023	ep_star	0.009026106635193574	2023-02-01
ep_star	north	2024	ep_star	0.038426689564413016	2024-02-01
