predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x-ne_star	north	2013	ep_x	0.14644191622806985	2013-02-01
ep_x-ne_star	north	2013	ne_star	-0.19561060387359885	2013-02-01
ep_x-ne_star	north	2014	ep_x	0.14227069799323727	2014-02-01
ep_x-ne_star	north	2014	ne_star	-0.20914542575594192	2014-02-01
ep_x-ne_star	north	2015	ep_x	0.1522216463151197	2015-02-01
ep_x-ne_star	north	2015	ne_star	-0.21251087833749438	2015-02-01
ep_x-ne_star	north	2016	ep_x	0.14060282318737616	2016-02-01
ep_x-ne_star	north	2016	ne_star	-0.27570503431938287	2016-02-01
ep_x-ne_star	north	2017	ep_x	0.1768056622181033	2017-02-01
ep_x-ne_star	north	2017	ne_star	-0.23279817297551375	2017-02-01
ep_x-ne_star	north	2018	ep_x	0.18164487157349585	2018-02-01
ep_x-ne_star	north	2018	ne_star	-0.23388710054073608	2018-02-01
ep_x-ne_star	north	2019	ep_x	-0.08957883350115212	2019-02-01
ep_x-ne_star	north	2019	ne_star	-0.459539700068664	2019-02-01
ep_x-ne_star	north	2020	ep_x	-0.07334699221368024	2020-02-01
ep_x-ne_star	north	2020	ne_star	-0.4950507123949669	2020-02-01
ep_x-ne_star	north	2021	ep_x	-0.07103252058994701	2021-02-01
ep_x-ne_star	north	2021	ne_star	-0.5606471773534951	2021-02-01
ep_x-ne_star	north	2022	ep_x	-0.11274966864092667	2022-02-01
ep_x-ne_star	north	2022	ne_star	-0.5998180817489365	2022-02-01
ep_x-ne_star	north	2023	ep_x	-0.08994991419104645	2023-02-01
ep_x-ne_star	north	2023	ne_star	-0.6582764798021801	2023-02-01
ep_x-ne_star	north	2024	ep_x	-0.10163861944238348	2024-02-01
ep_x-ne_star	north	2024	ne_star	-0.7000281647283138	2024-02-01
