predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x	north	2013	ep_x	0.26135263956526433	2013-02-01
ep_x	north	2014	ep_x	0.28218315197588983	2014-02-01
ep_x	north	2015	ep_x	-0.15815234251877816	2015-02-01
ep_x	north	2016	ep_x	-0.163788582264216	2016-02-01
ep_x	north	2017	ep_x	-0.21841438154354187	2017-02-01
ep_x	north	2018	ep_x	-0.27736109094328065	2018-02-01
ep_x	north	2019	ep_x	-0.28418025816179715	2019-02-01
ep_x	north	2020	ep_x	-0.34513214511232176	2020-02-01
ep_x	north	2021	ep_x	-0.33760077257195564	2021-02-01
ep_x	north	2022	ep_x	-0.2684832841297533	2022-02-01
ep_x	north	2023	ep_x	0.0009885099237720869	2023-02-01
ep_x	north	2024	ep_x	0.04296698504939775	2024-02-01
