predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_star-ne_star	south	2013	ep_star	-0.9106588460494447	2012-09-01
ep_star-ne_star	south	2013	ne_star	-2.0020209779308678	2012-09-01
ep_star-ne_star	south	2014	ep_star	-0.5672657209015444	2013-09-01
ep_star-ne_star	south	2014	ne_star	-0.35467275251857144	2013-09-01
ep_star-ne_star	south	2015	ep_star	-0.46570168028383785	2014-09-01
ep_star-ne_star	south	2015	ne_star	-0.5448915150134203	2014-09-01
ep_star-ne_star	south	2016	ep_star	-0.40688938853831913	2015-09-01
ep_star-ne_star	south	2016	ne_star	-0.47272777194507354	2015-09-01
ep_star-ne_star	south	2017	ep_star	-0.2528848803267702	2016-09-01
ep_star-ne_star	south	2017	ne_star	-0.4770443797550534	2016-09-01
ep_star-ne_star	south	2018	ep_star	-0.20172993139176287	2017-09-01
ep_star-ne_star	south	2018	ne_star	-0.46254115108580346	2017-09-01
ep_star-ne_star	south	2019	ep_star	-0.19917486298463935	2018-09-01
ep_star-ne_star	south	2019	ne_star	-0.41416373892973035	2018-09-01
ep_star-ne_star	south	2020	ep_star	-0.24005171072667456	2019-09-01
ep_star-ne_star	south	2020	ne_star	-0.41384466337052356	2019-09-01
ep_star-ne_star	south	2021	ep_star	-0.2459536288387827	2020-09-01
ep_star-ne_star	south	2021	ne_star	-0.42928363482837817	2020-09-01
ep_star-ne_star	south	2022	ep_star	-0.25366048082445436	2021-09-01
ep_star-ne_star	south	2022	ne_star	-0.43005776771973625	2021-09-01
ep_star-ne_star	south	2023	ep_star	-0.11224937555376105	2022-09-01
ep_star-ne_star	south	2023	ne_star	-0.683176124409457	2022-09-01
ep_star-ne_star	south	2024	ep_star	-0.11183857437093023	2023-09-01
ep_star-ne_star	south	2024	ne_star	-0.5982680151182922	2023-09-01
