predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x-ne_star	south	2013	ep_x	-3.870304193489532	2012-09-01
ep_x-ne_star	south	2013	ne_star	-1.8156927926296493	2012-09-01
ep_x-ne_star	south	2014	ep_x	-3.561904983630025	2013-09-01
ep_x-ne_star	south	2014	ne_star	-0.3807341782940281	2013-09-01
ep_x-ne_star	south	2015	ep_x	-3.559545005493185	2014-09-01
ep_x-ne_star	south	2015	ne_star	-0.3682223056610221	2014-09-01
ep_x-ne_star	south	2016	ep_x	-3.497403127042075	2015-09-01
ep_x-ne_star	south	2016	ne_star	-0.4519169871805213	2015-09-01
ep_x-ne_star	south	2017	ep_x	-3.1309245128346266	2016-09-01
ep_x-ne_star	south	2017	ne_star	-0.4755428333095382	2016-09-01
ep_x-ne_star	south	2018	ep_x	-0.9725284891391468	2017-09-01
ep_x-ne_star	south	2018	ne_star	-0.5955067559431335	2017-09-01
ep_x-ne_star	south	2019	ep_x	-0.6434480558624205	2018-09-01
ep_x-ne_star	south	2019	ne_star	-0.69585631393775	2018-09-01
ep_x-ne_star	south	2020	ep_x	-0.49977078962343513	2019-09-01
ep_x-ne_star	south	2020	ne_star	-0.7042390755338415	2019-09-01
ep_x-ne_star	south	2021	ep_x	-0.21262208460077187	2020-09-01
ep_x-ne_star	south	2021	ne_star	-0.7620112203923346	2020-09-01
ep_x-ne_star	south	2022	ep_x	-0.26867023598895856	2021-09-01
ep_x-ne_star	south	2022	ne_star	-0.7348987823218905	2021-09-01
ep_x-ne_star	south	2023	ep_x	-0.3237489466948289	2022-09-01
ep_x-ne_star	south	2023	ne_star	-0.3801238773370247	2022-09-01
ep_x-ne_star	south	2024	ep_x	-0.01307453363461832	2023-09-01
ep_x-ne_star	south	2024	ne_star	-0.45478750867636253	2023-09-01
