predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x	south	2013	ep_x	-3.599563795378831	2012-09-01
ep_x	south	2014	ep_x	-3.4168470879744075	2013-09-01
ep_x	south	2015	ep_x	-3.393408525293195	2014-09-01
ep_x	south	2016	ep_x	-3.181942748013671	2015-09-01
ep_x	south	2017	ep_x	-3.134643940815644	2016-09-01
ep_x	south	2018	ep_x	-1.0982953344747683	2017-09-01
ep_x	south	2019	ep_x	-0.6799811951854815	2018-09-01
ep_x	south	2020	ep_x	-0.6799590259893769	2019-09-01
ep_x	south	2021	ep_x	-0.2782950874079035	2020-09-01
ep_x	south	2022	ep_x	-0.27909751254991766	2021-09-01
ep_x	south	2023	ep_x	-0.7043268812613983	2022-09-01
ep_x	south	2024	ep_x	-0.11601547355185626	2023-09-01
