predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ne_star-lbi	south	2013	ne_star	-0.9018998953002159	2012-09-01
ne_star-lbi	south	2013	lbi	1.8084181296293202	2012-09-01
ne_star-lbi	south	2014	ne_star	-0.00016985287353834437	2013-09-01
ne_star-lbi	south	2014	lbi	1.111953330007931	2013-09-01
ne_star-lbi	south	2015	ne_star	-0.3283629276159308	2014-09-01
ne_star-lbi	south	2015	lbi	1.2562269752473059	2014-09-01
ne_star-lbi	south	2016	ne_star	-0.009194668295479581	2015-09-01
ne_star-lbi	south	2016	lbi	2.0497433258815043	2015-09-01
ne_star-lbi	south	2017	ne_star	-0.00010197295683480592	2016-09-01
ne_star-lbi	south	2017	lbi	2.1592965189162325	2016-09-01
ne_star-lbi	south	2018	ne_star	-5.9475695223126405e-06	2017-09-01
ne_star-lbi	south	2018	lbi	2.1632646895063106	2017-09-01
ne_star-lbi	south	2019	ne_star	-0.018392867683274035	2018-09-01
ne_star-lbi	south	2019	lbi	2.157651747496153	2018-09-01
ne_star-lbi	south	2020	ne_star	0.023331852401669576	2019-09-01
ne_star-lbi	south	2020	lbi	2.0333612123371285	2019-09-01
ne_star-lbi	south	2021	ne_star	0.029786298047732012	2020-09-01
ne_star-lbi	south	2021	lbi	1.495206569164034	2020-09-01
ne_star-lbi	south	2022	ne_star	0.07272770733044345	2021-09-01
ne_star-lbi	south	2022	lbi	1.4825454162433376	2021-09-01
ne_star-lbi	south	2023	ne_star	0.053328215053260394	2022-09-01
ne_star-lbi	south	2023	lbi	1.484490128962881	2022-09-01
ne_star-lbi	south	2024	ne_star	0.012118064236268175	2023-09-01
ne_star-lbi	south	2024	lbi	1.4389790781592562	2023-09-01
