predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
delta_frequency	north	2013	2013-02-01	6.670938014984131	6.127384662628174	1.7210240364074707	5.84577735265096	225
delta_frequency	north	2014	2014-02-01	2.860821008682251	2.8937954902648926	1.093138575553894	6.014386296272278	313
delta_frequency	north	2015	2015-02-01	2.6367340087890625	2.6397767066955566	1.5445789098739624	5.385873699188233	208
delta_frequency	north	2016	2016-02-01	3.5936081409454346	3.6169416904449463	0.8871075510978699	4.9283924500147505	257
delta_frequency	north	2017	2017-02-01	4.181794166564941	4.155170917510986	2.0590147972106934	4.728791543415615	370
delta_frequency	north	2018	2018-02-01	4.332021236419678	4.33680534362793	2.0147392749786377	4.664500683546066	392
delta_frequency	north	2019	2019-02-01	5.4790940284729	5.455116271972656	1.6506149768829346	4.637442694769965	350
delta_frequency	north	2020	2020-02-01	7.565258979797363	7.562774181365967	1.7621612548828125	4.713042521476746	395
delta_frequency	north	2021	2021-02-01	8.841362953186035	8.833800315856934	7.5682291984558105	4.9793971235101875	30
delta_frequency	north	2022	2022-02-01	8.537447929382324	8.549668312072754	1.876719355583191	5.295960923035939	214
delta_frequency	north	2023	2023-02-01	4.666068077087402	4.729650974273682	1.6098887920379639	5.543923121232253	359
delta_frequency	north	2024	2024-02-01	6.706515789031982	6.72469425201416	1.522411823272705	5.484411137444632	385
