predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
distance_from_consensus	north	2013	2013-02-01	4.6545729637146	6.127384662628174	1.7210240364074707	5.256017843882243	225
distance_from_consensus	north	2014	2014-02-01	1.8894352912902832	2.8937954902648926	1.093138575553894	5.031255125999451	313
distance_from_consensus	north	2015	2015-02-01	2.4556539058685303	2.6397767066955566	1.5445789098739624	4.39809033870697	208
distance_from_consensus	north	2016	2016-02-01	3.10945463180542	3.6169416904449463	0.8871075510978699	4.074536323547363	257
distance_from_consensus	north	2017	2017-02-01	3.3135104179382324	4.155170917510986	2.0590147972106934	3.952365585735866	370
distance_from_consensus	north	2018	2018-02-01	3.9162018299102783	4.33680534362793	2.0147392749786377	3.8679347038269043	392
distance_from_consensus	north	2019	2019-02-01	4.935996055603027	5.455116271972656	1.6506149768829346	3.873291360007392	350
distance_from_consensus	north	2020	2020-02-01	6.316318988800049	7.562774181365967	1.7621612548828125	3.9848056197166444	395
distance_from_consensus	north	2021	2021-02-01	8.561829566955566	8.833800315856934	7.5682291984558105	4.190066294236616	30
distance_from_consensus	north	2022	2022-02-01	9.983154296875	8.549668312072754	1.876719355583191	4.555503229300181	214
distance_from_consensus	north	2023	2023-02-01	3.379608154296875	4.729650974273682	1.6098887920379639	4.995136371025672	359
distance_from_consensus	north	2024	2024-02-01	4.759592533111572	6.72469425201416	1.522411823272705	4.864557879311698	385
