predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star-ne_star	north	2013	2013-02-01	6.253101825714111	6.127384662628174	1.7210240364074707	6.073952356974284	225
ep_star-ne_star	north	2014	2014-02-01	2.847468137741089	2.8937954902648926	1.093138575553894	6.115260720252991	313
ep_star-ne_star	north	2015	2015-02-01	2.7646429538726807	2.6397767066955566	1.5445789098739624	5.459158897399902	208
ep_star-ne_star	north	2016	2016-02-01	3.770448684692383	3.6169416904449463	0.8871075510978699	5.019767006238301	257
ep_star-ne_star	north	2017	2017-02-01	4.019830226898193	4.155170917510986	2.0590147972106934	4.627572570528303	370
ep_star-ne_star	north	2018	2018-02-01	4.255234718322754	4.33680534362793	2.0147392749786377	4.549164265394211	392
ep_star-ne_star	north	2019	2019-02-01	5.3579182624816895	5.455116271972656	1.6506149768829346	4.52007261912028	350
ep_star-ne_star	north	2020	2020-02-01	7.251652240753174	7.562774181365967	1.7621612548828125	4.602010774612427	395
ep_star-ne_star	north	2021	2021-02-01	8.636165618896484	8.833800315856934	7.5682291984558105	4.834578882564198	30
ep_star-ne_star	north	2022	2022-02-01	8.060025215148926	8.549668312072754	1.876719355583191	5.155488808949788	214
ep_star-ne_star	north	2023	2023-02-01	4.4063897132873535	4.729650974273682	1.6098887920379639	5.377100155903743	359
ep_star-ne_star	north	2024	2024-02-01	6.180239677429199	6.72469425201416	1.522411823272705	5.296379021235874	385
