predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star	north	2013	2013-02-01	6.151852130889893	6.127384662628174	1.7210240364074707	5.975901126861572	225
ep_star	north	2014	2014-02-01	2.8742949962615967	2.8937954902648926	1.093138575553894	6.01120400428772	313
ep_star	north	2015	2015-02-01	2.631913423538208	2.6397767066955566	1.5445789098739624	5.375730514526367	208
ep_star	north	2016	2016-02-01	3.591917037963867	3.6169416904449463	0.8871075510978699	4.925455490748088	257
ep_star	north	2017	2017-02-01	4.153331756591797	4.155170917510986	2.0590147972106934	4.74258473941258	370
ep_star	north	2018	2018-02-01	4.336844444274902	4.33680534362793	2.0147392749786377	4.672259569168091	392
ep_star	north	2019	2019-02-01	5.455678462982178	5.455116271972656	1.6506149768829346	4.630311091740926	350
ep_star	north	2020	2020-02-01	7.55522346496582	7.562774181365967	1.7621612548828125	4.715497899055481	395
ep_star	north	2021	2021-02-01	8.833232879638672	8.833800315856934	7.5682291984558105	4.977384068749168	30
ep_star	north	2022	2022-02-01	8.53298282623291	8.549668312072754	1.876719355583191	5.296040713787079	214
ep_star	north	2023	2023-02-01	4.705111026763916	4.729650974273682	1.6098887920379639	5.552244314780602	359
ep_star	north	2024	2024-02-01	6.825389385223389	6.72469425201416	1.522411823272705	5.50391720022474	385
