predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x	north	2013	2013-02-01	6.0807719230651855	6.127384662628174	1.7210240364074707	6.0396474202473955	225
ep_x	north	2014	2014-02-01	3.1308560371398926	2.8937954902648926	1.093138575553894	6.050114393234253	313
ep_x	north	2015	2015-02-01	2.619936943054199	2.6397767066955566	1.5445789098739624	5.374651575088501	208
ep_x	north	2016	2016-02-01	3.6288583278656006	3.6169416904449463	0.8871075510978699	4.913230538368225	257
ep_x	north	2017	2017-02-01	4.048737049102783	4.155170917510986	2.0590147972106934	4.725893838065011	370
ep_x	north	2018	2018-02-01	4.351404190063477	4.33680534362793	2.0147392749786377	4.635461747646332	392
ep_x	north	2019	2019-02-01	5.681700229644775	5.455116271972656	1.6506149768829346	4.6028511259290905	350
ep_x	north	2020	2020-02-01	7.420495510101318	7.562774181365967	1.7621612548828125	4.713492894172669	395
ep_x	north	2021	2021-02-01	9.026203155517578	8.833800315856934	7.5682291984558105	4.9610233740373095	30
ep_x	north	2022	2022-02-01	8.746670722961426	8.549668312072754	1.876719355583191	5.292868415514628	214
ep_x	north	2023	2023-02-01	4.690130233764648	4.729650974273682	1.6098887920379639	5.546214305437529	359
ep_x	north	2024	2024-02-01	6.821427822113037	6.72469425201416	1.522411823272705	5.4885101318359375	385
