predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
lbi	north	2013	2013-02-01	6.3460917472839355	6.127384662628174	1.7210240364074707	5.936074097951253	225
lbi	north	2014	2014-02-01	3.109564781188965	2.8937954902648926	1.093138575553894	6.0407246351242065	313
lbi	north	2015	2015-02-01	2.6599159240722656	2.6397767066955566	1.5445789098739624	5.449793863296509	208
lbi	north	2016	2016-02-01	4.216960906982422	3.6169416904449463	0.8871075510978699	4.558349053064982	257
lbi	north	2017	2017-02-01	4.0704145431518555	4.155170917510986	2.0590147972106934	4.513817480632237	370
lbi	north	2018	2018-02-01	3.809748411178589	4.33680534362793	2.0147392749786377	4.458383917808533	392
lbi	north	2019	2019-02-01	5.450855255126953	5.455116271972656	1.6506149768829346	4.382953961690267	350
lbi	north	2020	2020-02-01	7.112770080566406	7.562774181365967	1.7621612548828125	4.502475666999817	395
lbi	north	2021	2021-02-01	8.721704483032227	8.833800315856934	7.5682291984558105	4.723272301933982	30
lbi	north	2022	2022-02-01	7.317370414733887	8.549668312072754	1.876719355583191	5.06132298707962	214
lbi	north	2023	2023-02-01	5.162896156311035	4.729650974273682	1.6098887920379639	5.218994232324453	359
lbi	north	2024	2024-02-01	7.484964370727539	6.72469425201416	1.522411823272705	5.22163770880018	385
