predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
naive	north	2013	2013-02-01	6.127384662628174	6.127384662628174	1.7210240364074707	5.9799431165059405	225
naive	north	2014	2014-02-01	2.8937954902648926	2.8937954902648926	1.093138575553894	6.016803503036499	313
naive	north	2015	2015-02-01	2.6397767066955566	2.6397767066955566	1.5445789098739624	5.392201900482178	208
naive	north	2016	2016-02-01	3.6169416904449463	3.6169416904449463	0.8871075510978699	4.933464368184407	257
naive	north	2017	2017-02-01	4.155170917510986	4.155170917510986	2.0590147972106934	4.745389699935913	370
naive	north	2018	2018-02-01	4.33680534362793	4.33680534362793	2.0147392749786377	4.671612352132797	392
naive	north	2019	2019-02-01	5.455116271972656	5.455116271972656	1.6506149768829346	4.634411573410034	350
naive	north	2020	2020-02-01	7.562774181365967	7.562774181365967	1.7621612548828125	4.716482043266296	395
naive	north	2021	2021-02-01	8.833800315856934	8.833800315856934	7.5682291984558105	4.97523587400263	30
naive	north	2022	2022-02-01	8.549668312072754	8.549668312072754	1.876719355583191	5.296782910823822	214
naive	north	2023	2023-02-01	4.729650974273682	4.729650974273682	1.6098887920379639	5.5470048647660475	359
naive	north	2024	2024-02-01	6.72469425201416	6.72469425201416	1.522411823272705	5.488622444016593	385
