predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star-lbi	north	2013	2013-02-01	6.043843746185303	6.127384662628174	1.7210240364074707	5.98422114054362	225
ne_star-lbi	north	2014	2014-02-01	3.02707576751709	2.8937954902648926	1.093138575553894	6.0050987005233765	313
ne_star-lbi	north	2015	2015-02-01	2.651909828186035	2.6397767066955566	1.5445789098739624	5.38869161605835	208
ne_star-lbi	north	2016	2016-02-01	3.7067809104919434	3.6169416904449463	0.8871075510978699	4.932825764020284	257
ne_star-lbi	north	2017	2017-02-01	4.190861701965332	4.155170917510986	2.0590147972106934	4.75328050340925	370
ne_star-lbi	north	2018	2018-02-01	3.7856507301330566	4.33680534362793	2.0147392749786377	4.391003459692001	392
ne_star-lbi	north	2019	2019-02-01	5.358186721801758	5.455116271972656	1.6506149768829346	4.312720576922099	350
ne_star-lbi	north	2020	2020-02-01	6.869478225708008	7.562774181365967	1.7621612548828125	4.4241516351699826	395
ne_star-lbi	north	2021	2021-02-01	8.663333892822266	8.833800315856934	7.5682291984558105	4.6352152607657695	30
ne_star-lbi	north	2022	2022-02-01	7.512632369995117	8.549668312072754	1.876719355583191	4.9719676574071245	214
ne_star-lbi	north	2023	2023-02-01	5.001026630401611	4.729650974273682	1.6098887920379639	5.179493207197923	359
ne_star-lbi	north	2024	2024-02-01	7.125236988067627	6.72469425201416	1.522411823272705	5.165150591305324	385
