predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star	north	2013	2013-02-01	6.141735076904297	6.127384662628174	1.7210240364074707	5.968276182810466	225
ne_star	north	2014	2014-02-01	3.135765552520752	2.8937954902648926	1.093138575553894	6.0152329206466675	313
ne_star	north	2015	2015-02-01	2.678302526473999	2.6397767066955566	1.5445789098739624	5.444492244720459	208
ne_star	north	2016	2016-02-01	3.4104771614074707	3.6169416904449463	0.8871075510978699	4.859204093615214	257
ne_star	north	2017	2017-02-01	4.011118412017822	4.155170917510986	2.0590147972106934	4.6481373991285055	370
ne_star	north	2018	2018-02-01	4.216528415679932	4.33680534362793	2.0147392749786377	4.572589308023453	392
ne_star	north	2019	2019-02-01	5.461698055267334	5.455116271972656	1.6506149768829346	4.537207841873169	350
ne_star	north	2020	2020-02-01	7.293309211730957	7.562774181365967	1.7621612548828125	4.626912641525268	395
ne_star	north	2021	2021-02-01	8.592653274536133	8.833800315856934	7.5682291984558105	4.862204638394442	30
ne_star	north	2022	2022-02-01	8.007843017578125	8.549668312072754	1.876719355583191	5.171869993209839	214
ne_star	north	2023	2023-02-01	4.345798015594482	4.729650974273682	1.6098887920379639	5.391122341156006	359
ne_star	north	2024	2024-02-01	6.175178527832031	6.72469425201416	1.522411823272705	5.315375804901123	385
