predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
delta_frequency	south	2013	2012-09-01	7.091372013092041	7.091372013092041	3.678729295730591	5.945382595062256	291
delta_frequency	south	2014	2013-09-01	3.8106913566589355	3.8303117752075195	1.42604660987854	6.324756940205892	280
delta_frequency	south	2015	2014-09-01	1.8725731372833252	1.8975292444229126	0.713344931602478	5.365689218044281	227
delta_frequency	south	2016	2015-09-01	4.325152397155762	4.837120056152344	2.0981860160827637	4.668520450592041	312
delta_frequency	south	2017	2016-09-01	2.6522200107574463	2.9119975566864014	1.2633378505706787	4.610778331756592	294
delta_frequency	south	2018	2017-09-01	3.017019748687744	3.838002920150757	1.9085588455200195	4.325498751231602	329
delta_frequency	south	2019	2018-09-01	5.2513556480407715	4.800722599029541	2.6538572311401367	4.136476963758469	268
delta_frequency	south	2020	2019-09-01	3.456883430480957	3.887760639190674	1.5522016286849976	4.262981136639913	332
delta_frequency	south	2021	2020-09-01	11.053340911865234	9.435065269470215	3.0058016777038574	4.195988154411316	273
delta_frequency	south	2022	2021-09-01	7.13277006149292	5.461917400360107	3.219543218612671	4.848049749027599	193
delta_frequency	south	2023	2022-09-01	6.237616539001465	6.237616539001465	1.9870951175689697	4.990213721990585	373
delta_frequency	south	2024	2023-09-01	5.115248203277588	5.108541965484619	2.766967296600342	5.0904768246870775	383
