predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star-ne_star	south	2013	2012-09-01	7.311967372894287	7.091372013092041	3.678729295730591	5.469340085983276	291
ep_star-ne_star	south	2014	2013-09-01	3.6804568767547607	3.8303117752075195	1.42604660987854	6.197367827097575	280
ep_star-ne_star	south	2015	2014-09-01	1.813690185546875	1.8975292444229126	0.713344931602478	5.556172668933868	227
ep_star-ne_star	south	2016	2015-09-01	4.804759979248047	4.837120056152344	2.0981860160827637	4.820340824127197	312
ep_star-ne_star	south	2017	2016-09-01	2.718001365661621	2.9119975566864014	1.2633378505706787	4.83006223042806	294
ep_star-ne_star	south	2018	2017-09-01	3.793262243270874	3.838002920150757	1.9085588455200195	4.534911598478045	329
ep_star-ne_star	south	2019	2018-09-01	4.657074451446533	4.800722599029541	2.6538572311401367	4.446068987250328	268
ep_star-ne_star	south	2020	2019-09-01	3.9072248935699463	3.887760639190674	1.5522016286849976	4.465724958313836	332
ep_star-ne_star	south	2021	2020-09-01	9.309751510620117	9.435065269470215	3.0058016777038574	4.4069989085197445	273
ep_star-ne_star	south	2022	2021-09-01	4.665689468383789	5.461917400360107	3.219543218612671	4.852030190554532	193
ep_star-ne_star	south	2023	2022-09-01	7.262226581573486	6.237616539001465	1.9870951175689697	4.786156912644704	373
ep_star-ne_star	south	2024	2023-09-01	5.222178936004639	5.108541965484619	2.766967296600342	4.983749967354995	383
