predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star	south	2013	2012-09-01	7.059427261352539	7.091372013092041	3.678729295730591	5.929128170013428	291
ep_star	south	2014	2013-09-01	3.822425603866577	3.8303117752075195	1.42604660987854	6.315927346547444	280
ep_star	south	2015	2014-09-01	1.8584132194519043	1.8975292444229126	0.713344931602478	5.62739223241806	227
ep_star	south	2016	2015-09-01	4.882147789001465	4.837120056152344	2.0981860160827637	4.87926561832428	312
ep_star	south	2017	2016-09-01	2.841442584991455	2.9119975566864014	1.2633378505706787	4.896551251411438	294
ep_star	south	2018	2017-09-01	3.8226163387298584	3.838002920150757	1.9085588455200195	4.606727855546134	329
ep_star	south	2019	2018-09-01	4.770665645599365	4.800722599029541	2.6538572311401367	4.510942757129669	268
ep_star	south	2020	2019-09-01	3.930668354034424	3.887760639190674	1.5522016286849976	4.543433931138781	332
ep_star	south	2021	2020-09-01	9.428997993469238	9.435065269470215	3.0058016777038574	4.486438298225403	273
ep_star	south	2022	2021-09-01	5.516443252563477	5.461917400360107	3.219543218612671	4.933547312563116	193
ep_star	south	2023	2022-09-01	6.451122283935547	6.237616539001465	1.9870951175689697	4.980992545684178	373
ep_star	south	2024	2023-09-01	5.105027198791504	5.108541965484619	2.766967296600342	5.088655233383179	383
