predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x-ne_star	south	2013	2012-09-01	6.819223880767822	7.091372013092041	3.678729295730591	4.621525764465332	291
ep_x-ne_star	south	2014	2013-09-01	3.3622076511383057	3.8303117752075195	1.42604660987854	5.383991559346517	280
ep_x-ne_star	south	2015	2014-09-01	1.7876105308532715	1.8975292444229126	0.713344931602478	4.885358989238739	227
ep_x-ne_star	south	2016	2015-09-01	4.689332485198975	4.837120056152344	2.0981860160827637	4.262017869949341	312
ep_x-ne_star	south	2017	2016-09-01	4.567743301391602	2.9119975566864014	1.2633378505706787	4.3670013546943665	294
ep_x-ne_star	south	2018	2017-09-01	4.212169170379639	3.838002920150757	1.9085588455200195	4.352490493229458	329
ep_x-ne_star	south	2019	2018-09-01	4.6566901206970215	4.800722599029541	2.6538572311401367	4.3458166271448135	268
ep_x-ne_star	south	2020	2019-09-01	4.083889007568359	3.887760639190674	1.5522016286849976	4.390465047624376	332
ep_x-ne_star	south	2021	2020-09-01	9.208702087402344	9.435065269470215	3.0058016777038574	4.371800518035888	273
ep_x-ne_star	south	2022	2021-09-01	4.68186092376709	5.461917400360107	3.219543218612671	4.808959549123591	193
ep_x-ne_star	south	2023	2022-09-01	7.663580417633057	6.237616539001465	1.9870951175689697	4.785360902547836	373
ep_x-ne_star	south	2024	2023-09-01	5.2328948974609375	5.108541965484619	2.766967296600342	4.9998747660563545	383
