predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
lbi	south	2013	2012-09-01	7.997833251953125	7.091372013092041	3.678729295730591	5.291522741317749	291
lbi	south	2014	2013-09-01	3.3168346881866455	3.8303117752075195	1.42604660987854	6.135727405548096	280
lbi	south	2015	2014-09-01	1.6443349123001099	1.8975292444229126	0.713344931602478	5.422693848609924	227
lbi	south	2016	2015-09-01	3.981642961502075	4.837120056152344	2.0981860160827637	4.551669025421143	312
lbi	south	2017	2016-09-01	1.925523042678833	2.9119975566864014	1.2633378505706787	4.431500593821208	294
lbi	south	2018	2017-09-01	3.84352970123291	3.838002920150757	1.9085588455200195	4.074644531522479	329
lbi	south	2019	2018-09-01	5.306825637817383	4.800722599029541	2.6538572311401367	4.047306686639786	268
lbi	south	2020	2019-09-01	3.7522432804107666	3.887760639190674	1.5522016286849976	4.193856252564324	332
lbi	south	2021	2020-09-01	10.449886322021484	9.435065269470215	3.0058016777038574	4.167772591114044	273
lbi	south	2022	2021-09-01	5.053677558898926	5.461917400360107	3.219543218612671	4.74445396119898	193
lbi	south	2023	2022-09-01	6.779413223266602	6.237616539001465	1.9870951175689697	4.762830217679341	373
lbi	south	2024	2023-09-01	6.2353410720825195	5.108541965484619	2.766967296600342	4.9188196292290325	383
