predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
naive	south	2013	2012-09-01	7.091372013092041	7.091372013092041	3.678729295730591	5.945382595062256	291
naive	south	2014	2013-09-01	3.8303117752075195	3.8303117752075195	1.42604660987854	6.327379067738851	280
naive	south	2015	2014-09-01	1.8975292444229126	1.8975292444229126	0.713344931602478	5.703112244606018	227
naive	south	2016	2015-09-01	4.837120056152344	4.837120056152344	2.0981860160827637	4.941995644569397	312
naive	south	2017	2016-09-01	2.9119975566864014	2.9119975566864014	1.2633378505706787	4.924516379833221	294
naive	south	2018	2017-09-01	3.838002920150757	3.838002920150757	1.9085588455200195	4.637013690812247	329
naive	south	2019	2018-09-01	4.800722599029541	4.800722599029541	2.6538572311401367	4.537137344479561	268
naive	south	2020	2019-09-01	3.887760639190674	3.887760639190674	1.5522016286849976	4.566424594985114	332
naive	south	2021	2020-09-01	9.435065269470215	9.435065269470215	3.0058016777038574	4.49855819940567	273
naive	south	2022	2021-09-01	5.461917400360107	5.461917400360107	3.219543218612671	4.947331569411538	193
naive	south	2023	2022-09-01	6.237616539001465	6.237616539001465	1.9870951175689697	4.990213721990585	373
naive	south	2024	2023-09-01	5.108541965484619	5.108541965484619	2.766967296600342	5.086167784837576	383
