predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
cTiterSub_x-ne_star	north	2013	cTiterSub_x	0.11313425198300565	2013-02-01
cTiterSub_x-ne_star	north	2013	ne_star	0.009940481659965677	2013-02-01
cTiterSub_x-ne_star	north	2014	cTiterSub_x	0.08071514042401087	2014-02-01
cTiterSub_x-ne_star	north	2014	ne_star	0.022885640150892575	2014-02-01
cTiterSub_x-ne_star	north	2015	cTiterSub_x	0.05314755674144728	2015-02-01
cTiterSub_x-ne_star	north	2015	ne_star	0.030999854437948768	2015-02-01
cTiterSub_x-ne_star	north	2016	cTiterSub_x	0.0248988684215705	2016-02-01
cTiterSub_x-ne_star	north	2016	ne_star	0.04281180237978109	2016-02-01
cTiterSub_x-ne_star	north	2017	cTiterSub_x	0.03442037036366209	2017-02-01
cTiterSub_x-ne_star	north	2017	ne_star	0.020546136650332874	2017-02-01
cTiterSub_x-ne_star	north	2018	cTiterSub_x	0.010460675545458053	2018-02-01
cTiterSub_x-ne_star	north	2018	ne_star	-0.015405884056377479	2018-02-01
cTiterSub_x-ne_star	north	2019	cTiterSub_x	0.041743356263041834	2019-02-01
cTiterSub_x-ne_star	north	2019	ne_star	-0.03428706425476148	2019-02-01
cTiterSub_x-ne_star	north	2020	cTiterSub_x	0.07516506183068958	2020-02-01
cTiterSub_x-ne_star	north	2020	ne_star	-0.020319772218305568	2020-02-01
cTiterSub_x-ne_star	north	2021	cTiterSub_x	0.04211020068456174	2021-02-01
cTiterSub_x-ne_star	north	2021	ne_star	0.013121884449888668	2021-02-01
cTiterSub_x-ne_star	north	2022	cTiterSub_x	0.053900216714080615	2022-02-01
cTiterSub_x-ne_star	north	2022	ne_star	0.0012313252938624356	2022-02-01
cTiterSub_x-ne_star	north	2023	cTiterSub_x	0.042151355429228175	2023-02-01
cTiterSub_x-ne_star	north	2023	ne_star	0.01483385619613449	2023-02-01
cTiterSub_x-ne_star	north	2024	cTiterSub_x	0.09342853169505332	2024-02-01
cTiterSub_x-ne_star	north	2024	ne_star	-0.041678081585721366	2024-02-01
