predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_star-ne_star	north	2013	ep_star	-0.260705276832116	2013-02-01
ep_star-ne_star	north	2013	ne_star	0.3180412837278016	2013-02-01
ep_star-ne_star	north	2014	ep_star	-0.21880716919239987	2014-02-01
ep_star-ne_star	north	2014	ne_star	0.2781117559213315	2014-02-01
ep_star-ne_star	north	2015	ep_star	-0.21753487670845473	2015-02-01
ep_star-ne_star	north	2015	ne_star	0.25749200857551013	2015-02-01
ep_star-ne_star	north	2016	ep_star	-0.19064323686003473	2016-02-01
ep_star-ne_star	north	2016	ne_star	0.22037391738982914	2016-02-01
ep_star-ne_star	north	2017	ep_star	-0.19185675250906603	2017-02-01
ep_star-ne_star	north	2017	ne_star	0.19445537349466327	2017-02-01
ep_star-ne_star	north	2018	ep_star	-0.09264556857424694	2018-02-01
ep_star-ne_star	north	2018	ne_star	0.15197028426728926	2018-02-01
ep_star-ne_star	north	2019	ep_star	-0.10036160201260191	2019-02-01
ep_star-ne_star	north	2019	ne_star	0.13576149742547342	2019-02-01
ep_star-ne_star	north	2020	ep_star	-0.11442574198650107	2020-02-01
ep_star-ne_star	north	2020	ne_star	0.15950333643116266	2020-02-01
ep_star-ne_star	north	2021	ep_star	-0.09015713668533165	2021-02-01
ep_star-ne_star	north	2021	ne_star	0.11538485794216022	2021-02-01
ep_star-ne_star	north	2022	ep_star	-0.07409817799684754	2022-02-01
ep_star-ne_star	north	2022	ne_star	0.062460733008938646	2022-02-01
ep_star-ne_star	north	2023	ep_star	-0.05986872678994437	2023-02-01
ep_star-ne_star	north	2023	ne_star	0.05976063489878623	2023-02-01
ep_star-ne_star	north	2024	ep_star	-0.10901778123879773	2024-02-01
ep_star-ne_star	north	2024	ne_star	0.02824909641708885	2024-02-01
