predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
lbi	north	2013	lbi	-0.2255210625810708	2013-02-01
lbi	north	2014	lbi	0.023500746622796415	2014-02-01
lbi	north	2015	lbi	0.06660679019455562	2015-02-01
lbi	north	2016	lbi	0.04048076862806607	2016-02-01
lbi	north	2017	lbi	0.009682713811822058	2017-02-01
lbi	north	2018	lbi	-0.02478911923886379	2018-02-01
lbi	north	2019	lbi	0.011211226722400975	2019-02-01
lbi	north	2020	lbi	0.02712233154636995	2020-02-01
lbi	north	2021	lbi	0.06311177778622952	2021-02-01
lbi	north	2022	lbi	0.06693669678397249	2022-02-01
lbi	north	2023	lbi	0.11487298211464479	2023-02-01
lbi	north	2024	lbi	0.1012422056395072	2024-02-01
