predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ne_star-lbi	north	2013	ne_star	0.17345357195669409	2013-02-01
ne_star-lbi	north	2013	lbi	0.3947628512549889	2013-02-01
ne_star-lbi	north	2014	ne_star	0.15465014281390402	2014-02-01
ne_star-lbi	north	2014	lbi	0.3344526827382313	2014-02-01
ne_star-lbi	north	2015	ne_star	0.15482504057683755	2015-02-01
ne_star-lbi	north	2015	lbi	0.33498204617938754	2015-02-01
ne_star-lbi	north	2016	ne_star	0.1487420568640156	2016-02-01
ne_star-lbi	north	2016	lbi	0.3423429465432748	2016-02-01
ne_star-lbi	north	2017	ne_star	0.12218055558362342	2017-02-01
ne_star-lbi	north	2017	lbi	0.3851010292433855	2017-02-01
ne_star-lbi	north	2018	ne_star	0.13055288781000124	2018-02-01
ne_star-lbi	north	2018	lbi	0.34608465853473847	2018-02-01
ne_star-lbi	north	2019	ne_star	0.11180603300695327	2019-02-01
ne_star-lbi	north	2019	lbi	0.37160652408047046	2019-02-01
ne_star-lbi	north	2020	ne_star	0.1076629652488025	2020-02-01
ne_star-lbi	north	2020	lbi	0.3133306190093139	2020-02-01
ne_star-lbi	north	2021	ne_star	0.08673266927507525	2021-02-01
ne_star-lbi	north	2021	lbi	0.2592091213784923	2021-02-01
ne_star-lbi	north	2022	ne_star	-0.177890838242093	2022-02-01
ne_star-lbi	north	2022	lbi	0.5973377049129782	2022-02-01
ne_star-lbi	north	2023	ne_star	-0.18102295856408873	2023-02-01
ne_star-lbi	north	2023	lbi	0.27486785242046696	2023-02-01
ne_star-lbi	north	2024	ne_star	-0.2073176480057627	2024-02-01
ne_star-lbi	north	2024	lbi	0.2869873686339026	2024-02-01
