predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
cTiterSub_x-ne_star	south	2013	cTiterSub_x	1.8431058798798627	2012-09-01
cTiterSub_x-ne_star	south	2013	ne_star	-0.4531258566039178	2012-09-01
cTiterSub_x-ne_star	south	2014	cTiterSub_x	3.6811131068748777	2013-09-01
cTiterSub_x-ne_star	south	2014	ne_star	-0.18973794063309382	2013-09-01
cTiterSub_x-ne_star	south	2015	cTiterSub_x	4.266304102566399	2014-09-01
cTiterSub_x-ne_star	south	2015	ne_star	-0.0739990574589604	2014-09-01
cTiterSub_x-ne_star	south	2016	cTiterSub_x	4.110929701952454	2015-09-01
cTiterSub_x-ne_star	south	2016	ne_star	-0.10589855398211014	2015-09-01
cTiterSub_x-ne_star	south	2017	cTiterSub_x	3.8527732784874598	2016-09-01
cTiterSub_x-ne_star	south	2017	ne_star	-0.15697071561606646	2016-09-01
cTiterSub_x-ne_star	south	2018	cTiterSub_x	3.693024762906864	2017-09-01
cTiterSub_x-ne_star	south	2018	ne_star	-0.1934452743073041	2017-09-01
cTiterSub_x-ne_star	south	2019	cTiterSub_x	3.6930415273595076	2018-09-01
cTiterSub_x-ne_star	south	2019	ne_star	-0.19339104656112724	2018-09-01
cTiterSub_x-ne_star	south	2020	cTiterSub_x	2.1906675240109563	2019-09-01
cTiterSub_x-ne_star	south	2020	ne_star	-0.4162170590436767	2019-09-01
cTiterSub_x-ne_star	south	2021	cTiterSub_x	1.8967965739656867	2020-09-01
cTiterSub_x-ne_star	south	2021	ne_star	-0.44578366079678133	2020-09-01
cTiterSub_x-ne_star	south	2022	cTiterSub_x	3.502057823888854	2021-09-01
cTiterSub_x-ne_star	south	2022	ne_star	-6.096507536744596	2021-09-01
cTiterSub_x-ne_star	south	2023	cTiterSub_x	3.3842766314041715	2022-09-01
cTiterSub_x-ne_star	south	2023	ne_star	-5.603431822808362	2022-09-01
cTiterSub_x-ne_star	south	2024	cTiterSub_x	2.804518614806604	2023-09-01
cTiterSub_x-ne_star	south	2024	ne_star	-4.960944654305861	2023-09-01
