predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
lbi	south	2013	lbi	0.6531088581089721	2012-09-01
lbi	south	2014	lbi	2.208871903793953	2013-09-01
lbi	south	2015	lbi	3.6026551282614485	2014-09-01
lbi	south	2016	lbi	3.4969446425308663	2015-09-01
lbi	south	2017	lbi	3.4506984275199653	2016-09-01
lbi	south	2018	lbi	3.2355534456862998	2017-09-01
lbi	south	2019	lbi	3.0700867413128394	2018-09-01
lbi	south	2020	lbi	3.0712077211429216	2019-09-01
lbi	south	2021	lbi	2.9470241218539384	2020-09-01
lbi	south	2022	lbi	3.048022759822928	2021-09-01
lbi	south	2023	lbi	2.9988985830137835	2022-09-01
lbi	south	2024	lbi	2.95911637330986	2023-09-01
