predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
cTiterSub_x-ne_star	north	2013	2013-02-01	20.452789306640625	20.622169494628906	1.5338447093963623	11.162708520889282	280
cTiterSub_x-ne_star	north	2014	2014-02-01	4.925147533416748	4.926414489746094	1.4762194156646729	14.258727868398031	238
cTiterSub_x-ne_star	north	2015	2015-02-01	4.755161285400391	4.7815752029418945	1.6711385250091553	11.925909280776978	282
cTiterSub_x-ne_star	north	2016	2016-02-01	5.476434230804443	5.44045352935791	3.1794910430908203	10.519701766967774	346
cTiterSub_x-ne_star	north	2017	2017-02-01	4.728836536407471	4.738064765930176	2.5845072269439697	9.675235509872437	348
cTiterSub_x-ne_star	north	2018	2018-02-01	4.560937404632568	4.576595306396484	1.9351741075515747	8.992646217346191	324
cTiterSub_x-ne_star	north	2019	2019-02-01	7.402839660644531	7.3432207107543945	2.4808132648468018	8.415170967578888	315
cTiterSub_x-ne_star	north	2020	2020-02-01	28.927762985229492	29.027301788330078	25.403484344482422	8.291221300760904	375
cTiterSub_x-ne_star	north	2021	2021-02-01	9.349111557006836	9.024409294128418	4.031442165374756	10.370469522476196	134
cTiterSub_x-ne_star	north	2022	2022-02-01	7.141424655914307	7.1721367835998535	3.4737846851348877	10.266011151400479	259
cTiterSub_x-ne_star	north	2023	2023-02-01	6.857112884521484	6.940134048461914	1.6655232906341553	10.015016794204712	342
cTiterSub_x-ne_star	north	2024	2024-02-01	4.207302093505859	4.203873634338379	1.8197375535964966	9.729518560262827	395
