predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
dms_nonepitope	north	2013	2013-02-01	20.627126693725586	20.622169494628906	1.5338447093963623	11.11845088005066	280
dms_nonepitope	north	2014	2014-02-01	4.923389911651611	4.926414489746094	1.4762194156646729	14.323808828989664	238
dms_nonepitope	north	2015	2015-02-01	4.799254894256592	4.7815752029418945	1.6711385250091553	11.94105064868927	282
dms_nonepitope	north	2016	2016-02-01	5.496423244476318	5.44045352935791	3.1794910430908203	10.50898780822754	346
dms_nonepitope	north	2017	2017-02-01	4.731093406677246	4.738064765930176	2.5845072269439697	9.699585994084677	348
dms_nonepitope	north	2018	2018-02-01	4.609117031097412	4.576595306396484	1.9351741075515747	8.970439842769078	324
dms_nonepitope	north	2019	2019-02-01	7.3340067863464355	7.3432207107543945	2.4808132648468018	8.42444223165512	315
dms_nonepitope	north	2020	2020-02-01	29.019248962402344	29.027301788330078	25.403484344482422	8.317191706763374	375
dms_nonepitope	north	2021	2021-02-01	9.350162506103516	9.024409294128418	4.031442165374756	10.373377323150635	134
dms_nonepitope	north	2022	2022-02-01	7.1673736572265625	7.1721367835998535	3.4737846851348877	10.273521033200351	259
dms_nonepitope	north	2023	2023-02-01	6.918102741241455	6.940134048461914	1.6655232906341553	10.005207498868307	342
dms_nonepitope	north	2024	2024-02-01	4.2260966300964355	4.203873634338379	1.8197375535964966	9.762674258305477	395
