predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
dms_star	north	2013	2013-02-01	20.61060905456543	20.622169494628906	1.5338447093963623	11.136314153671265	280
dms_star	north	2014	2014-02-01	4.883863925933838	4.926414489746094	1.4762194156646729	14.294421672821045	238
dms_star	north	2015	2015-02-01	4.763242721557617	4.7815752029418945	1.6711385250091553	11.980275511741638	282
dms_star	north	2016	2016-02-01	5.462961196899414	5.44045352935791	3.1794910430908203	10.564809417724609	346
dms_star	north	2017	2017-02-01	4.748495578765869	4.738064765930176	2.5845072269439697	9.71380122502645	348
dms_star	north	2018	2018-02-01	4.587525367736816	4.576595306396484	1.9351741075515747	8.982525757380895	324
dms_star	north	2019	2019-02-01	7.326455593109131	7.3432207107543945	2.4808132648468018	8.455843269824982	315
dms_star	north	2020	2020-02-01	29.017763137817383	29.027301788330078	25.403484344482422	8.314566559261745	375
dms_star	north	2021	2021-02-01	9.256117820739746	9.024409294128418	4.031442165374756	10.384591960906983	134
dms_star	north	2022	2022-02-01	7.148860931396484	7.1721367835998535	3.4737846851348877	10.2821044921875	259
dms_star	north	2023	2023-02-01	6.917852878570557	6.940134048461914	1.6655232906341553	10.008444945017496	342
dms_star	north	2024	2024-02-01	4.219346046447754	4.203873634338379	1.8197375535964966	9.772252816420336	395
