predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x-ne_star	north	2013	2013-02-01	10.619909286499023	20.622169494628906	1.5338447093963623	5.5668416023254395	280
ep_x-ne_star	north	2014	2014-02-01	13.953423500061035	4.926414489746094	1.4762194156646729	7.25248908996582	238
ep_x-ne_star	north	2015	2015-02-01	3.713320732116699	4.7815752029418945	1.6711385250091553	8.926322340965271	282
ep_x-ne_star	north	2016	2016-02-01	6.004274368286133	5.44045352935791	3.1794910430908203	7.879663562774658	346
ep_x-ne_star	north	2017	2017-02-01	5.007876396179199	4.738064765930176	2.5845072269439697	7.567648371060689	348
ep_x-ne_star	north	2018	2018-02-01	6.367502212524414	4.576595306396484	1.9351741075515747	7.2062176295689175	324
ep_x-ne_star	north	2019	2019-02-01	8.06318473815918	7.3432207107543945	2.4808132648468018	7.102855563163757	315
ep_x-ne_star	north	2020	2020-02-01	28.340560913085938	29.027301788330078	25.403484344482422	7.206146081288655	375
ep_x-ne_star	north	2021	2021-02-01	7.045243263244629	9.024409294128418	4.031442165374756	9.324849891662598	134
ep_x-ne_star	north	2022	2022-02-01	7.786134243011475	7.1721367835998535	3.4737846851348877	9.095417022705078	259
ep_x-ne_star	north	2023	2023-02-01	5.116856575012207	6.940134048461914	1.6655232906341553	8.966242949167887	342
ep_x-ne_star	north	2024	2024-02-01	4.8639044761657715	4.203873634338379	1.8197375535964966	8.664974964582003	395
