predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x_koel	north	2013	2013-02-01	20.645986557006836	20.622169494628906	1.5338447093963623	11.253542423248291	280
ep_x_koel	north	2014	2014-02-01	45.42430114746094	4.926414489746094	1.4762194156646729	11.008413632710775	238
ep_x_koel	north	2015	2015-02-01	4.75687313079834	4.7815752029418945	1.6711385250091553	11.863163113594055	282
ep_x_koel	north	2016	2016-02-01	5.446400165557861	5.44045352935791	3.1794910430908203	10.46348819732666	346
ep_x_koel	north	2017	2017-02-01	4.821929931640625	4.738064765930176	2.5845072269439697	9.656172593434652	348
ep_x_koel	north	2018	2018-02-01	4.454115390777588	4.576595306396484	1.9351741075515747	8.921716826302665	324
ep_x_koel	north	2019	2019-02-01	7.369518280029297	7.3432207107543945	2.4808132648468018	8.3838911652565	315
ep_x_koel	north	2020	2020-02-01	28.946067810058594	29.027301788330078	25.403484344482422	8.250627835591635	375
ep_x_koel	north	2021	2021-02-01	9.384869575500488	9.024409294128418	4.031442165374756	10.31552014350891	134
ep_x_koel	north	2022	2022-02-01	7.221353054046631	7.1721367835998535	3.4737846851348877	10.237662315368652	259
ep_x_koel	north	2023	2023-02-01	6.770657539367676	6.940134048461914	1.6655232906341553	9.980385065078735	342
ep_x_koel	north	2024	2024-02-01	4.258072376251221	4.203873634338379	1.8197375535964966	9.734587889451246	395
