predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x_wolf	north	2013	2013-02-01	18.812297821044922	20.622169494628906	1.5338447093963623	11.037163734436035	280
ep_x_wolf	north	2014	2014-02-01	15.2284517288208	4.926414489746094	1.4762194156646729	11.179898897806803	238
ep_x_wolf	north	2015	2015-02-01	6.143375873565674	4.7815752029418945	1.6711385250091553	11.732166767120361	282
ep_x_wolf	north	2016	2016-02-01	5.4883198738098145	5.44045352935791	3.1794910430908203	10.434902763366699	346
ep_x_wolf	north	2017	2017-02-01	4.764440536499023	4.738064765930176	2.5845072269439697	9.608526150385538	348
ep_x_wolf	north	2018	2018-02-01	4.561237335205078	4.576595306396484	1.9351741075515747	8.973582199641637	324
ep_x_wolf	north	2019	2019-02-01	7.383811950683594	7.3432207107543945	2.4808132648468018	8.368341624736786	315
ep_x_wolf	north	2020	2020-02-01	29.011131286621094	29.027301788330078	25.403484344482422	8.303535832299126	375
ep_x_wolf	north	2021	2021-02-01	9.057916641235352	9.024409294128418	4.031442165374756	10.375591659545899	134
ep_x_wolf	north	2022	2022-02-01	7.177764892578125	7.1721367835998535	3.4737846851348877	10.255736351013184	259
ep_x_wolf	north	2023	2023-02-01	7.014272212982178	6.940134048461914	1.6655232906341553	10.020877917607626	342
ep_x_wolf	north	2024	2024-02-01	4.227429389953613	4.203873634338379	1.8197375535964966	9.774687730349028	395
