predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
distance_from_consensus	south	2013	2012-09-01	12.534348487854004	16.67378044128418	1.5093624591827393	7.285720109939575	250
distance_from_consensus	south	2014	2013-09-01	4.590449333190918	22.117616653442383	1.2792418003082275	7.324406623840332	252
distance_from_consensus	south	2015	2014-09-01	7.850635528564453	6.742931842803955	1.3398475646972656	6.579222202301025	251
distance_from_consensus	south	2016	2015-09-01	4.61271333694458	4.428267955780029	2.0399227142333984	6.829616928100586	224
distance_from_consensus	south	2017	2016-09-01	3.656132459640503	6.1481781005859375	1.8321000337600708	6.459556897481282	293
distance_from_consensus	south	2018	2017-09-01	5.7750139236450195	5.12608003616333	1.649245262145996	6.059809514454433	335
distance_from_consensus	south	2019	2018-09-01	10.30334758758545	9.473979949951172	2.926644802093506	6.0322573482990265	235
distance_from_consensus	south	2020	2019-09-01	5.490046501159668	3.9090120792388916	1.2356590032577515	6.499295632044475	326
distance_from_consensus	south	2021	2020-09-01	19.088844299316406	35.7303581237793	7.155646800994873	6.398380446434021	254
distance_from_consensus	south	2022	2021-09-01	6.109358310699463	7.1116838455200195	3.2969682216644287	7.536907802928578	189
distance_from_consensus	south	2023	2022-09-01	5.799760341644287	7.0933380126953125	1.328515887260437	7.428877552350362	377
distance_from_consensus	south	2024	2023-09-01	3.7766902446746826	5.952847480773926	1.4991406202316284	7.301595174349272	367
