predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
dms_nonepitope	south	2013	2012-09-01	17.26296043395996	16.67378044128418	1.5093624591827393	6.978652715682983	250
dms_nonepitope	south	2014	2013-09-01	22.005327224731445	22.117616653442383	1.2792418003082275	10.399122397104898	252
dms_nonepitope	south	2015	2014-09-01	6.708654403686523	6.742931842803955	1.3398475646972656	13.300662398338318	251
dms_nonepitope	south	2016	2015-09-01	4.464423656463623	4.428267955780029	2.0399227142333984	11.990141296386719	224
dms_nonepitope	south	2017	2016-09-01	5.114076614379883	6.1481781005859375	1.8321000337600708	10.729880968729654	293
dms_nonepitope	south	2018	2017-09-01	5.170374393463135	5.12608003616333	1.649245262145996	9.927646500723702	335
dms_nonepitope	south	2019	2018-09-01	9.273943901062012	9.473979949951172	2.926644802093506	9.331680297851562	235
dms_nonepitope	south	2020	2019-09-01	3.8439180850982666	3.9090120792388916	1.2356590032577515	9.324468559688992	326
dms_nonepitope	south	2021	2020-09-01	29.143198013305664	35.7303581237793	7.155646800994873	8.7764155626297	254
dms_nonepitope	south	2022	2021-09-01	6.374290466308594	7.1116838455200195	3.2969682216644287	9.790017908269709	189
dms_nonepitope	south	2023	2022-09-01	5.266566753387451	7.0933380126953125	1.328515887260437	9.506882111231485	377
dms_nonepitope	south	2024	2023-09-01	5.725241661071777	5.952847480773926	1.4991406202316284	9.178860811086802	367
