predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star-lbi	south	2013	2012-09-01	22.722856521606445	16.67378044128418	1.5093624591827393	6.79669451713562	250
ne_star-lbi	south	2014	2013-09-01	12.13720989227295	22.117616653442383	1.2792418003082275	7.4565761884053545	252
ne_star-lbi	south	2015	2014-09-01	3.347153425216675	6.742931842803955	1.3398475646972656	7.048835754394531	251
ne_star-lbi	south	2016	2015-09-01	4.823897838592529	4.428267955780029	2.0399227142333984	6.3353839874267575	224
ne_star-lbi	south	2017	2016-09-01	5.181704521179199	6.1481781005859375	1.8321000337600708	6.090541839599609	293
ne_star-lbi	south	2018	2017-09-01	11.30880355834961	5.12608003616333	1.649245262145996	5.960103409630912	335
ne_star-lbi	south	2019	2018-09-01	10.184017181396484	9.473979949951172	2.926644802093506	6.627825319766998	235
ne_star-lbi	south	2020	2019-09-01	8.585894584655762	3.9090120792388916	1.2356590032577515	7.009397188822429	326
ne_star-lbi	south	2021	2020-09-01	15.736115455627441	35.7303581237793	7.155646800994873	7.17036759853363	254
ne_star-lbi	south	2022	2021-09-01	10.015997886657715	7.1116838455200195	3.2969682216644287	7.942536267367276	189
ne_star-lbi	south	2023	2022-09-01	8.555574417114258	7.0933380126953125	1.328515887260437	8.113466600577036	377
ne_star-lbi	south	2024	2023-09-01	3.7698700428009033	5.952847480773926	1.4991406202316284	8.21067789884714	367
