predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
oracle_x	south	2013	2012-09-01	17.432323455810547	16.67378044128418	1.5093624591827393	7.908124923706055	250
oracle_x	south	2014	2013-09-01	7.036362171173096	22.117616653442383	1.2792418003082275	8.438472747802734	252
oracle_x	south	2015	2014-09-01	8.91699504852295	6.742931842803955	1.3398475646972656	7.510727286338806	251
oracle_x	south	2016	2015-09-01	13.091609001159668	4.428267955780029	2.0399227142333984	7.790326976776123	224
oracle_x	south	2017	2016-09-01	4.3761467933654785	6.1481781005859375	1.8321000337600708	8.438787619272867	293
oracle_x	south	2018	2017-09-01	5.105381965637207	5.12608003616333	1.649245262145996	7.864532743181501	335
oracle_x	south	2019	2018-09-01	8.132819175720215	9.473979949951172	2.926644802093506	7.511552333831787	235
oracle_x	south	2020	2019-09-01	6.594300270080566	3.9090120792388916	1.2356590032577515	7.576280064053005	326
oracle_x	south	2021	2020-09-01	23.787240982055664	35.7303581237793	7.155646800994873	7.460441255569458	254
oracle_x	south	2022	2021-09-01	10.534870147705078	7.1116838455200195	3.2969682216644287	8.728384364734996	189
oracle_x	south	2023	2022-09-01	6.386916160583496	7.0933380126953125	1.328515887260437	8.866403539975485	377
oracle_x	south	2024	2023-09-01	8.953397750854492	5.952847480773926	1.4991406202316284	8.682949799757738	367
