predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_star-ne_star	north	2013	ep_star	-1.0622497979050625e-05	2013-02-01
ep_star-ne_star	north	2013	ne_star	-1.2565072055729196	2013-02-01
ep_star-ne_star	north	2014	ep_star	-0.11134547374843093	2014-02-01
ep_star-ne_star	north	2014	ne_star	-1.1865945978201329	2014-02-01
ep_star-ne_star	north	2015	ep_star	-0.15826605569325314	2015-02-01
ep_star-ne_star	north	2015	ne_star	-1.09427686202448	2015-02-01
ep_star-ne_star	north	2016	ep_star	-0.10072186500877488	2016-02-01
ep_star-ne_star	north	2016	ne_star	-0.9457460308163017	2016-02-01
ep_star-ne_star	north	2017	ep_star	-0.06693344924101069	2017-02-01
ep_star-ne_star	north	2017	ne_star	-0.8622580997460584	2017-02-01
ep_star-ne_star	north	2018	ep_star	-0.027585208683932754	2018-02-01
ep_star-ne_star	north	2018	ne_star	-0.8375921157496535	2018-02-01
ep_star-ne_star	north	2019	ep_star	-0.06758675496652078	2019-02-01
ep_star-ne_star	north	2019	ne_star	-0.7068013695228499	2019-02-01
ep_star-ne_star	north	2020	ep_star	-0.0557844517383448	2020-02-01
ep_star-ne_star	north	2020	ne_star	-0.6900257996341845	2020-02-01
ep_star-ne_star	north	2021	ep_star	-0.058659195441566454	2021-02-01
ep_star-ne_star	north	2021	ne_star	-0.7371799670879307	2021-02-01
ep_star-ne_star	north	2022	ep_star	-0.026297924736040458	2022-02-01
ep_star-ne_star	north	2022	ne_star	-0.6996094002574614	2022-02-01
ep_star-ne_star	north	2023	ep_star	-0.050338879029011914	2023-02-01
ep_star-ne_star	north	2023	ne_star	-0.6537635360675207	2023-02-01
ep_star-ne_star	north	2024	ep_star	-0.08997703463956004	2024-02-01
ep_star-ne_star	north	2024	ne_star	-0.6839059136696074	2024-02-01
