predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x-ne_star	north	2013	ep_x	-0.48854817458583055	2013-02-01
ep_x-ne_star	north	2013	ne_star	-1.473929249106447	2013-02-01
ep_x-ne_star	north	2014	ep_x	-0.43718294024511206	2014-02-01
ep_x-ne_star	north	2014	ne_star	-1.3638913397177816	2014-02-01
ep_x-ne_star	north	2015	ep_x	-0.39029254453242906	2015-02-01
ep_x-ne_star	north	2015	ne_star	-1.233550197550686	2015-02-01
ep_x-ne_star	north	2016	ep_x	-0.3862938399617365	2016-02-01
ep_x-ne_star	north	2016	ne_star	-1.165784628338804	2016-02-01
ep_x-ne_star	north	2017	ep_x	-0.254038048284905	2017-02-01
ep_x-ne_star	north	2017	ne_star	-1.0007680219037154	2017-02-01
ep_x-ne_star	north	2018	ep_x	-0.17049222820762738	2018-02-01
ep_x-ne_star	north	2018	ne_star	-0.8924252504870154	2018-02-01
ep_x-ne_star	north	2019	ep_x	-1.1498995277901575e-06	2019-02-01
ep_x-ne_star	north	2019	ne_star	-0.7126075050131877	2019-02-01
ep_x-ne_star	north	2020	ep_x	0.028362129817674768	2020-02-01
ep_x-ne_star	north	2020	ne_star	-0.6216670774280509	2020-02-01
ep_x-ne_star	north	2021	ep_x	0.02694356838791701	2021-02-01
ep_x-ne_star	north	2021	ne_star	-0.691415398878876	2021-02-01
ep_x-ne_star	north	2022	ep_x	-0.013403150188604992	2022-02-01
ep_x-ne_star	north	2022	ne_star	-0.7244052791451272	2022-02-01
ep_x-ne_star	north	2023	ep_x	0.011301308029873995	2023-02-01
ep_x-ne_star	north	2023	ne_star	-0.7040223915527957	2023-02-01
ep_x-ne_star	north	2024	ep_x	0.001853713276490171	2024-02-01
ep_x-ne_star	north	2024	ne_star	-0.7097680249074126	2024-02-01
